date,ts_code,name,action,price,shares,amount,commission,reason,category
2019-03-29,600642.SH,申能股份,sell,5.614,4900,27510.46,55.02,清仓，评分37(⏸️ 暂缓)，低于观察阈值，当前权重2.5%,基础设施红利
2019-03-29,603156.SH,养元饮品,sell,57.752,500,28876.1,57.75,减仓，评分58(👀 观察等待)，权重6.8%→3.8%,消费红利
2019-03-29,600873.SH,梅花生物,buy,5.205,10500,54654.6,54.65,加仓，评分81(🔥 大胆攒股)，股息率6.35%，权重6.5%→11.5%,消费红利
2019-03-29,002756.SZ,永兴材料,buy,15.916,2400,38198.16,38.2,新买入，评分81(🔥 大胆攒股)，股息率6.29%，目标权重3.5%,周期资源红利
2019-03-29,000513.SZ,丽珠集团,buy,35.025,700,24517.49,24.52,加仓，评分77(✅ 积极布局)，股息率5.72%，权重5.4%→7.6%,消费红利
2019-03-29,601098.SH,中南传媒,buy,12.883,3200,41225.18,41.23,新买入，评分58(👀 观察等待)，股息率4.66%，目标权重3.8%,消费红利
2019-03-29,603858.SH,步长制药,buy,28.999,900,26099.07,26.1,加仓，评分76(✅ 积极布局)，股息率5.57%，权重5.3%→7.6%,消费红利
2019-03-29,000429.SZ,粤高速Ａ,buy,9.089,3400,30902.87,30.9,加仓，评分76(✅ 积极布局)，股息率5.57%，权重4.8%→7.6%,基础设施红利
2019-03-29,603766.SH,隆鑫通用,buy,5.065,7300,36974.94,36.97,加仓，评分81(🔥 大胆攒股)，股息率6.52%，权重8.1%→11.5%,消费红利
2019-03-29,511880.SH,银华日利,sell,114.37,100,11437.0,22.87,释放现金用于调仓,现金管理
2019-03-29,600516.SH,方大炭素,buy,22.613,1500,33918.88,33.92,新买入，评分85(🔥 大胆攒股)，股息率8.41%，目标权重3.5%,周期资源红利
2019-06-28,600873.SH,梅花生物,sell,4.785,8600,41152.81,82.31,减仓，评分81(🔥 大胆攒股)，权重12.4%→8.0%,消费红利
