index_code,con_code,trade_date,weight
000300.SH,300413.SZ,20250630,0.078
000300.SH,600018.SH,20250630,0.077
000300.SH,601607.SH,20250630,0.072
000300.SH,600026.SH,20250630,0.069
000300.SH,688303.SH,20250630,0.066
000300.SH,603806.SH,20250630,0.065
000300.SH,688472.SH,20250630,0.065
000300.SH,688009.SH,20250630,0.064
000300.SH,603195.SH,20250630,0.063
000300.SH,601699.SH,20250630,0.061
000300.SH,601236.SH,20250630,0.058
000300.SH,000708.SZ,20250630,0.057
000300.SH,601865.SH,20250630,0.056
000300.SH,688187.SH,20250630,0.053
000300.SH,601136.SH,20250630,0.052
000300.SH,603833.SH,20250630,0.05
000300.SH,688082.SH,20250630,0.048
000300.SH,601808.SH,20250630,0.039
000300.SH,300979.SZ,20250630,0.038
000300.SH,600377.SH,20250630,0.037
000300.SH,000800.SZ,20250630,0.032
000300.SH,001391.SZ,20250630,0.028
000300.SH,001289.SZ,20250630,0.012
000300.SH,600519.SH,20250603,4.6841
000300.SH,300750.SZ,20250603,3.2794
000300.SH,601318.SH,20250603,2.8643
000300.SH,600036.SH,20250603,2.6897
000300.SH,000333.SZ,20250603,1.8344
000300.SH,600900.SH,20250603,1.8229
000300.SH,601166.SH,20250603,1.704
000300.SH,002594.SZ,20250603,1.5934
000300.SH,601899.SH,20250603,1.4701
000300.SH,300059.SZ,20250603,1.2894
000300.SH,600030.SH,20250603,1.2344
000300.SH,601398.SH,20250603,1.2316
000300.SH,600276.SH,20250603,1.2111
000300.SH,000858.SZ,20250603,1.1959
000300.SH,000651.SZ,20250603,0.9961
000300.SH,600887.SH,20250603,0.9618
000300.SH,601211.SH,20250603,0.9531
000300.SH,601328.SH,20250603,0.8962
000300.SH,601288.SH,20250603,0.8788
000300.SH,601816.SH,20250603,0.8562
000300.SH,688981.SH,20250603,0.8104
000300.SH,600919.SH,20250603,0.8039
000300.SH,603259.SH,20250603,0.7968
000300.SH,002475.SZ,20250603,0.758
000300.SH,600000.SH,20250603,0.7276
000300.SH,300760.SZ,20250603,0.6971
000300.SH,000725.SZ,20250603,0.694
000300.SH,300124.SZ,20250603,0.6902
000300.SH,002371.SZ,20250603,0.6688
000300.SH,601088.SH,20250603,0.6385
000300.SH,688041.SH,20250603,0.6255
000300.SH,688256.SH,20250603,0.6147
000300.SH,601728.SH,20250603,0.61
000300.SH,601668.SH,20250603,0.5851
000300.SH,601601.SH,20250603,0.5836
000300.SH,601988.SH,20250603,0.575
000300.SH,002352.SZ,20250603,0.5703
000300.SH,000001.SZ,20250603,0.5663
000300.SH,002714.SZ,20250603,0.561
000300.SH,600016.SH,20250603,0.5496
000300.SH,601127.SH,20250603,0.5433
000300.SH,601229.SH,20250603,0.5416
000300.SH,600031.SH,20250603,0.5401
000300.SH,600941.SH,20250603,0.525
000300.SH,603501.SH,20250603,0.5242
000300.SH,002415.SZ,20250603,0.5118
000300.SH,601919.SH,20250603,0.5115
000300.SH,600309.SH,20250603,0.5041
000300.SH,000063.SZ,20250603,0.4954
000300.SH,601169.SH,20250603,0.4718
000300.SH,601857.SH,20250603,0.4649
000300.SH,600660.SH,20250603,0.4599
000300.SH,600690.SH,20250603,0.4586
000300.SH,688008.SH,20250603,0.4558
000300.SH,300498.SZ,20250603,0.4496
000300.SH,603019.SH,20250603,0.4476
000300.SH,002142.SZ,20250603,0.4442
000300.SH,002230.SZ,20250603,0.4376
000300.SH,600809.SH,20250603,0.4368
000300.SH,600406.SH,20250603,0.4337
000300.SH,601766.SH,20250603,0.4334
000300.SH,300274.SZ,20250603,0.4318
000300.SH,601012.SH,20250603,0.4299
000300.SH,300502.SZ,20250603,0.4235
000300.SH,601688.SH,20250603,0.422
