index_code,con_code,trade_date,weight
000300.SH,000807.SZ,20241231,0.137
000300.SH,000596.SZ,20241231,0.137
000300.SH,601021.SH,20241231,0.137
000300.SH,601100.SH,20241231,0.137
000300.SH,002180.SZ,20241231,0.136
000300.SH,600741.SH,20241231,0.135
000300.SH,600085.SH,20241231,0.135
000300.SH,300832.SZ,20241231,0.135
000300.SH,300896.SZ,20241231,0.134
000300.SH,600482.SH,20241231,0.134
000300.SH,600176.SH,20241231,0.133
000300.SH,002493.SZ,20241231,0.133
000300.SH,601998.SH,20241231,0.133
000300.SH,002459.SZ,20241231,0.132
000300.SH,600219.SH,20241231,0.132
000300.SH,300661.SZ,20241231,0.131
000300.SH,000895.SZ,20241231,0.131
000300.SH,300759.SZ,20241231,0.13
000300.SH,603392.SH,20241231,0.13
000300.SH,301269.SZ,20241231,0.128
000300.SH,002709.SZ,20241231,0.128
000300.SH,600515.SH,20241231,0.126
000300.SH,002916.SZ,20241231,0.124
000300.SH,000975.SZ,20241231,0.124
000300.SH,002271.SZ,20241231,0.123
000300.SH,600188.SH,20241231,0.123
000300.SH,002938.SZ,20241231,0.123
000300.SH,600845.SH,20241231,0.123
000300.SH,601877.SH,20241231,0.122
000300.SH,688396.SH,20241231,0.121
000300.SH,000630.SZ,20241231,0.12
000300.SH,600233.SH,20241231,0.119
000300.SH,600161.SH,20241231,0.118
000300.SH,601319.SH,20241231,0.118
000300.SH,002555.SZ,20241231,0.118
000300.SH,601607.SH,20241231,0.114
000300.SH,601618.SH,20241231,0.114
000300.SH,000983.SZ,20241231,0.113
000300.SH,002074.SZ,20241231,0.111
000300.SH,600023.SH,20241231,0.11
000300.SH,000999.SZ,20241231,0.11
000300.SH,601898.SH,20241231,0.108
000300.SH,600588.SH,20241231,0.107
000300.SH,300450.SZ,20241231,0.106
000300.SH,000408.SZ,20241231,0.106
000300.SH,605117.SH,20241231,0.106
000300.SH,603296.SH,20241231,0.105
000300.SH,000301.SZ,20241231,0.105
000300.SH,600362.SH,20241231,0.104
000300.SH,688599.SH,20241231,0.102
000300.SH,300316.SZ,20241231,0.101
000300.SH,601872.SH,20241231,0.101
000300.SH,601238.SH,20241231,0.1
000300.SH,000876.SZ,20241231,0.099
000300.SH,600803.SH,20241231,0.098
000300.SH,300413.SZ,20241231,0.098
000300.SH,600332.SH,20241231,0.097
000300.SH,603260.SH,20241231,0.096
000300.SH,300628.SZ,20241231,0.095
000300.SH,600061.SH,20241231,0.094
000300.SH,300999.SZ,20241231,0.094
000300.SH,600027.SH,20241231,0.093
000300.SH,601799.SH,20241231,0.092
000300.SH,600039.SH,20241231,0.092
000300.SH,002007.SZ,20241231,0.09
000300.SH,002812.SZ,20241231,0.09
000300.SH,688472.SH,20241231,0.09
000300.SH,600918.SH,20241231,0.089
000300.SH,600875.SH,20241231,0.086
000300.SH,000617.SZ,20241231,0.085
000300.SH,600018.SH,20241231,0.083
000300.SH,600025.SH,20241231,0.083
000300.SH,601699.SH,20241231,0.083
000300.SH,603659.SH,20241231,0.082
000300.SH,688009.SH,20241231,0.079
000300.SH,600026.SH,20241231,0.078
000300.SH,688506.SH,20241231,0.075
000300.SH,603806.SH,20241231,0.075
000300.SH,688303.SH,20241231,0.075
000300.SH,601865.SH,20241231,0.073
000300.SH,601059.SH,20241231,0.071
000300.SH,603195.SH,20241231,0.066
000300.SH,601698.SH,20241231,0.063
000300.SH,603833.SH,20241231,0.061
000300.SH,688187.SH,20241231,0.061
000300.SH,300979.SZ,20241231,0.058
000300.SH,601236.SH,20241231,0.058
000300.SH,601136.SH,20241231,0.058
000300.SH,000708.SZ,20241231,0.056
000300.SH,601808.SH,20241231,0.044
000300.SH,688082.SH,20241231,0.043
000300.SH,000800.SZ,20241231,0.039
000300.SH,600377.SH,20241231,0.037
000300.SH,001289.SZ,20241231,0.012
