index_code,con_code,trade_date,weight
000985.SH,600122.SH,20150630,0.061
000985.SH,601021.SH,20150630,0.061
000985.SH,600634.SH,20150630,0.061
000985.SH,000901.SZ,20150630,0.06
000985.SH,600316.SH,20150630,0.06
000985.SH,000650.SZ,20150630,0.06
000985.SH,000875.SZ,20150630,0.06
000985.SH,600675.SH,20150630,0.06
000985.SH,000616.SZ,20150630,0.06
000985.SH,601216.SH,20150630,0.06
000985.SH,601519.SH,20150630,0.06
000985.SH,000983.SZ,20150630,0.06
000985.SH,600521.SH,20150630,0.06
000985.SH,600166.SH,20150630,0.06
000985.SH,002266.SZ,20150630,0.059
000985.SH,000729.SZ,20150630,0.059
000985.SH,600511.SH,20150630,0.059
000985.SH,002657.SZ,20150630,0.059
000985.SH,000027.SZ,20150630,0.059
000985.SH,002152.SZ,20150630,0.059
000985.SH,002004.SZ,20150630,0.059
000985.SH,600038.SH,20150630,0.059
000985.SH,600497.SH,20150630,0.059
000985.SH,000720.SZ,20150630,0.059
000985.SH,000930.SZ,20150630,0.059
000985.SH,000066.SZ,20150630,0.058
000985.SH,300147.SZ,20150630,0.058
000985.SH,600704.SH,20150630,0.058
000985.SH,603000.SH,20150630,0.058
000985.SH,300199.SZ,20150630,0.058
000985.SH,002422.SZ,20150630,0.058
000985.SH,600597.SH,20150630,0.057
000985.SH,600058.SH,20150630,0.057
000985.SH,600151.SH,20150630,0.057
000985.SH,600125.SH,20150630,0.057
000985.SH,600653.SH,20150630,0.057
000985.SH,000511.SZ,20150630,0.057
000985.SH,600649.SH,20150630,0.057
000985.SH,300170.SZ,20150630,0.057
000985.SH,600651.SH,20150630,0.057
000985.SH,600522.SH,20150630,0.056
000985.SH,600498.SH,20150630,0.056
000985.SH,600266.SH,20150630,0.056
000985.SH,000960.SZ,20150630,0.056
000985.SH,002073.SZ,20150630,0.056
000985.SH,600664.SH,20150630,0.056
000985.SH,000887.SZ,20150630,0.056
000985.SH,600008.SH,20150630,0.056
000985.SH,000732.SZ,20150630,0.056
000985.SH,600428.SH,20150630,0.055
000985.SH,600391.SH,20150630,0.055
000985.SH,002368.SZ,20150630,0.055
000985.SH,002104.SZ,20150630,0.055
000985.SH,002522.SZ,20150630,0.055
000985.SH,000410.SZ,20150630,0.055
000985.SH,300096.SZ,20150630,0.055
000985.SH,002002.SZ,20150630,0.055
000985.SH,000661.SZ,20150630,0.055
000985.SH,002470.SZ,20150630,0.055
000985.SH,300142.SZ,20150630,0.055
000985.SH,000543.SZ,20150630,0.055
000985.SH,300072.SZ,20150630,0.054
000985.SH,600436.SH,20150630,0.054
000985.SH,600759.SH,20150630,0.054
000985.SH,002219.SZ,20150630,0.054
000985.SH,300273.SZ,20150630,0.054
000985.SH,300244.SZ,20150630,0.054
000985.SH,300291.SZ,20150630,0.054
000985.SH,601929.SH,20150630,0.054
000985.SH,600685.SH,20150630,0.054
000985.SH,000898.SZ,20150630,0.054
000985.SH,000415.SZ,20150630,0.054
000985.SH,600567.SH,20150630,0.054
000985.SH,601608.SH,20150630,0.054
000985.SH,601928.SH,20150630,0.053
000985.SH,002573.SZ,20150630,0.053
000985.SH,600366.SH,20150630,0.053
000985.SH,002250.SZ,20150630,0.053
000985.SH,600171.SH,20150630,0.053
000985.SH,600755.SH,20150630,0.053
000985.SH,600175.SH,20150630,0.053
000985.SH,600240.SH,20150630,0.053
000985.SH,000938.SZ,20150630,0.053
000985.SH,600343.SH,20150630,0.053
000985.SH,600373.SH,20150630,0.053
000985.SH,300418.SZ,20150630,0.053
000985.SH,601992.SH,20150630,0.052
000985.SH,002161.SZ,20150630,0.052
000985.SH,000078.SZ,20150630,0.052
000985.SH,002340.SZ,20150630,0.052
000985.SH,600765.SH,20150630,0.052
000985.SH,002007.SZ,20150630,0.052
000985.SH,300010.SZ,20150630,0.052
000985.SH,000630.SZ,20150630,0.052
000985.SH,002013.SZ,20150630,0.052
000985.SH,000006.SZ,20150630,0.052
000985.SH,002308.SZ,20150630,0.052
000985.SH,300015.SZ,20150630,0.051
000985.SH,600255.SH,20150630,0.051
000985.SH,600717.SH,20150630,0.051
000985.SH,600808.SH,20150630,0.051
000985.SH,601000.SH,20150630,0.05
000985.SH,600528.SH,20150630,0.05
000985.SH,002325.SZ,20150630,0.05
000985.SH,300267.SZ,20150630,0.05
000985.SH,600317.SH,20150630,0.05
000985.SH,002318.SZ,20150630,0.05
000985.SH,600516.SH,20150630,0.05
000985.SH,300216.SZ,20150630,0.05
000985.SH,002285.SZ,20150630,0.05
000985.SH,600056.SH,20150630,0.05
000985.SH,600578.SH,20150630,0.05
000985.SH,600017.SH,20150630,0.05
000985.SH,601588.SH,20150630,0.05
000985.SH,600426.SH,20150630,0.05
000985.SH,600348.SH,20150630,0.05
000985.SH,002044.SZ,20150630,0.05
000985.SH,000897.SZ,20150630,0.05
000985.SH,000627.SZ,20150630,0.049
000985.SH,601877.SH,20150630,0.049
000985.SH,600611.SH,20150630,0.049
000985.SH,002023.SZ,20150630,0.049
000985.SH,601311.SH,20150630,0.049
000985.SH,600673.SH,20150630,0.049
000985.SH,300274.SZ,20150630,0.049
000985.SH,600086.SH,20150630,0.049
000985.SH,002269.SZ,20150630,0.049
000985.SH,000667.SZ,20150630,0.049
000985.SH,300020.SZ,20150630,0.048
000985.SH,000718.SZ,20150630,0.048
000985.SH,002424.SZ,20150630,0.048
000985.SH,600433.SH,20150630,0.048
000985.SH,002085.SZ,20150630,0.048
000985.SH,000516.SZ,20150630,0.048
000985.SH,000999.SZ,20150630,0.048
000985.SH,600880.SH,20150630,0.048
000985.SH,000782.SZ,20150630,0.048
000985.SH,300203.SZ,20150630,0.048
000985.SH,001696.SZ,20150630,0.048
000985.SH,600176.SH,20150630,0.048
000985.SH,600220.SH,20150630,0.048
000985.SH,002501.SZ,20150630,0.048
000985.SH,600325.SH,20150630,0.048
000985.SH,600868.SH,20150630,0.048
000985.SH,002063.SZ,20150630,0.047
000985.SH,002051.SZ,20150630,0.047
000985.SH,002625.SZ,20150630,0.047
000985.SH,000758.SZ,20150630,0.047
000985.SH,002049.SZ,20150630,0.047
000985.SH,300212.SZ,20150630,0.047
000985.SH,600517.SH,20150630,0.047
000985.SH,601118.SH,20150630,0.047
000985.SH,300178.SZ,20150630,0.047
000985.SH,002489.SZ,20150630,0.047
000985.SH,600633.SH,20150630,0.047
000985.SH,601699.SH,20150630,0.047
000985.SH,300077.SZ,20150630,0.047
000985.SH,000089.SZ,20150630,0.047
000985.SH,000751.SZ,20150630,0.047
000985.SH,000656.SZ,20150630,0.046
000985.SH,002131.SZ,20150630,0.046
000985.SH,600967.SH,20150630,0.046
000985.SH,601958.SH,20150630,0.046
000985.SH,600098.SH,20150630,0.046
000985.SH,002089.SZ,20150630,0.046
000985.SH,002714.SZ,20150630,0.046
000985.SH,600187.SH,20150630,0.046
000985.SH,300146.SZ,20150630,0.046
000985.SH,000062.SZ,20150630,0.046
000985.SH,600862.SH,20150630,0.046
000985.SH,000979.SZ,20150630,0.045
000985.SH,600490.SH,20150630,0.045
000985.SH,600478.SH,20150630,0.045
000985.SH,002581.SZ,20150630,0.045
000985.SH,000021.SZ,20150630,0.045
000985.SH,000988.SZ,20150630,0.045
000985.SH,000939.SZ,20150630,0.045
000985.SH,600061.SH,20150630,0.045
000985.SH,600783.SH,20150630,0.045
000985.SH,000681.SZ,20150630,0.045
000985.SH,600022.SH,20150630,0.045
000985.SH,000088.SZ,20150630,0.045
000985.SH,002280.SZ,20150630,0.045
000985.SH,002005.SZ,20150630,0.045
000985.SH,600549.SH,20150630,0.044
000985.SH,000671.SZ,20150630,0.044
