ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
932368.CSI,20210913,3760.9081,,,,3662.8113,98.0968,2.6782,47472673.85,56440198.993
932368.CSI,20210914,3645.7692,,,,3760.9081,-115.1389,-3.0615,43038144.07,48841103.25
932368.CSI,20210915,3622.8044,,,,3645.7692,-22.9648,-0.6299,37821712.88,40544875.477
932368.CSI,20210916,3605.1642,,,,3622.8044,-17.6402,-0.4869,45576586.18,50099120.603
932368.CSI,20210917,3530.8057,,,,3605.1642,-74.3585,-2.0626,39955391.48,41862279.808
932368.CSI,20210922,3620.5918,,,,3530.8057,89.7861,2.5429,34876593.52,36606191.831
932368.CSI,20210923,3625.9258,,,,3620.5918,5.334,0.1473,39529018.24,42340538.966
932368.CSI,20210924,3509.347,,,,3625.9258,-116.5788,-3.2151,39012776.98,41679004.479
932368.CSI,20210927,3388.8645,,,,3509.347,-120.4825,-3.4332,39821850.3,41098824.991
932368.CSI,20210928,3422.4291,,,,3388.8645,33.5646,0.9904,30723109.12,30870229.543
932368.CSI,20210929,3288.5537,,,,3422.4291,-133.8754,-3.9117,34442599.01,33826784.529
932368.CSI,20210930,3331.6736,,,,3288.5537,43.1199,1.3112,26766068.33,25924742.405
932368.CSI,20211008,3290.8168,,,,3331.6736,-40.8568,-1.2263,29812843.64,29535526.374
932368.CSI,20211011,3322.1042,,,,3290.8168,31.2874,0.9507,27180732.19,27246830.257
932368.CSI,20211012,3254.1628,,,,3322.1042,-67.9414,-2.0451,30333349.4,29918345.542
932368.CSI,20211013,3212.5495,,,,3254.1628,-41.6133,-1.2788,24809869.83,23824619.198
932368.CSI,20211014,3195.9741,,,,3212.5495,-16.5754,-0.516,22453154.33,21724536.854
932368.CSI,20211015,3189.1386,,,,3195.9741,-6.8355,-0.2139,27318415.82,28046564.245
932368.CSI,20211018,3258.9506,,,,3189.1386,69.812,2.1891,30908259.7,30427560.965
932368.CSI,20211019,3287.6037,,,,3258.9506,28.6531,0.8792,25499976.28,27591037.496
932368.CSI,20211020,3204.7865,,,,3287.6037,-82.8172,-2.5191,27284322.8,27502698.307
932368.CSI,20211021,3249.1168,,,,3204.7865,44.3303,1.3833,26243855.63,25681443.348
932368.CSI,20211022,3162.4024,,,,3249.1168,-86.7144,-2.6689,29957707.93,28120562.623
932368.CSI,20211025,3191.2429,,,,3162.4024,28.8405,0.912,21796808.69,21335385.28
932368.CSI,20211026,3173.6431,,,,3191.2429,-17.5998,-0.5515,20885969.04,21149168.448
932368.CSI,20211027,3098.701,,,,3173.6431,-74.9421,-2.3614,25516197.55,23549319.413
932368.CSI,20211028,3015.6692,,,,3098.701,-83.0318,-2.6796,30501207.05,28027018.822
