ts_code,trade_date,close
000922.CSI,20190815,4146.7767
000922.CSI,20190814,4138.5042
000922.CSI,20190813,4117.793
000922.CSI,20190812,4151.9734
000922.CSI,20190809,4091.6853
000922.CSI,20190808,4129.1967
000922.CSI,20190807,4099.1431
000922.CSI,20190806,4109.8134
000922.CSI,20190805,4184.1586
000922.CSI,20190802,4253.1394
000922.CSI,20190801,4320.2128
000922.CSI,20190731,4350.9547
000922.CSI,20190730,4393.8581
000922.CSI,20190729,4368.1196
000922.CSI,20190726,4372.9903
000922.CSI,20190725,4361.7969
000922.CSI,20190724,4348.9616
000922.CSI,20190723,4324.948
000922.CSI,20190722,4303.8912
000922.CSI,20190719,4356.663
000922.CSI,20190718,4330.7755
000922.CSI,20190717,4394.8238
000922.CSI,20190716,4399.2023
000922.CSI,20190715,4400.4132
000922.CSI,20190712,4374.9531
000922.CSI,20190711,4360.9748
000922.CSI,20190710,4367.0151
000922.CSI,20190709,4404.0334
000922.CSI,20190708,4391.9857
000922.CSI,20190705,4508.1218
000922.CSI,20190704,4491.0135
000922.CSI,20190703,4501.2198
000922.CSI,20190702,4511.8725
000922.CSI,20190701,4486.7653
000922.CSI,20190628,4406.9071
000922.CSI,20190627,4438.9167
000922.CSI,20190626,4416.4573
000922.CSI,20190625,4413.8151
000922.CSI,20190624,4465.8858
000922.CSI,20190621,4449.9508
000922.CSI,20190620,4446.1375
000922.CSI,20190619,4373.7491
000922.CSI,20190618,4350.5059
000922.CSI,20190617,4355.131
000922.CSI,20190614,4357.2443
000922.CSI,20190613,4402.203
000922.CSI,20190612,4416.9965
000922.CSI,20190611,4460.8018
000922.CSI,20190610,4341.986
000922.CSI,20190606,4303.8016
000922.CSI,20190605,4358.3891
000922.CSI,20190604,4377.4695
000922.CSI,20190603,4425.7077
000922.CSI,20190531,4469.5125
000922.CSI,20190530,4468.9045
000922.CSI,20190529,4477.0117
000922.CSI,20190528,4489.7334
000922.CSI,20190527,4449.3151
000922.CSI,20190524,4399.022
000922.CSI,20190523,4403.7754
000922.CSI,20190522,4460.095
000922.CSI,20190521,4490.1695
000922.CSI,20190520,4406.0276
000922.CSI,20190517,4441.8247
000922.CSI,20190516,4556.4264
000922.CSI,20190515,4535.7319
000922.CSI,20190514,4455.7918
000922.CSI,20190513,4480.7915
000922.CSI,20190510,4521.1071
000922.CSI,20190509,4400.1224
000922.CSI,20190508,4471.7038
000922.CSI,20190507,4534.7066
000922.CSI,20190506,4475.7656
000922.CSI,20190430,4735.7371
000922.CSI,20190429,4672.4299
000922.CSI,20190426,4705.7223
000922.CSI,20190425,4769.5611
000922.CSI,20190424,4897.1929
000922.CSI,20190423,4854.2647
000922.CSI,20190422,4891.7212
000922.CSI,20190419,4993.6784
000922.CSI,20190418,4968.6238
000922.CSI,20190417,5032.0236
000922.CSI,20190416,5011.6597
000922.CSI,20190415,4940.2172
000922.CSI,20190412,4993.3498
000922.CSI,20190411,5018.3902
000922.CSI,20190410,5080.5407
000922.CSI,20190409,5066.9395
000922.CSI,20190408,5071.9967
000922.CSI,20190404,5021.842
000922.CSI,20190403,4954.0193
000922.CSI,20190402,4885.6086
000922.CSI,20190401,4881.1092
000922.CSI,20190329,4742.9552
000922.CSI,20190328,4612.9753
000922.CSI,20190327,4659.7669
000922.CSI,20190326,4592.3513
000922.CSI,20190325,4662.4456
000922.CSI,20190322,4734.3988
000922.CSI,20190321,4705.451
000922.CSI,20190320,4685.0497
000922.CSI,20190319,4679.0672
000922.CSI,20190318,4703.4712
000922.CSI,20190315,4574.0335
000922.CSI,20190314,4493.9759
000922.CSI,20190313,4557.1027
000922.CSI,20190312,4598.8543
000922.CSI,20190311,4562.2607
000922.CSI,20190308,4469.6472
000922.CSI,20190307,4658.764
000922.CSI,20190306,4664.2342
000922.CSI,20190305,4608.0176
000922.CSI,20190304,4555.7983
000922.CSI,20190301,4502.0344
000922.CSI,20190228,4440.8664
000922.CSI,20190227,4444.2202
000922.CSI,20190226,4453.7772
000922.CSI,20190225,4470.2635
000922.CSI,20190222,4287.4095
000922.CSI,20190221,4230.3796
000922.CSI,20190220,4258.2487
000922.CSI,20190219,4255.2193
000922.CSI,20190218,4260.3113
000922.CSI,20190215,4159.9385
000922.CSI,20190214,4216.8263
000922.CSI,20190213,4216.6085
000922.CSI,20190212,4163.6749
000922.CSI,20190211,4126.9981
000922.CSI,20190201,4065.2377
000922.CSI,20190131,4012.0687
000922.CSI,20190130,4000.7395
000922.CSI,20190129,4025.0184
000922.CSI,20190128,4014.5273
000922.CSI,20190125,4013.5691
000922.CSI,20190124,3994.1647
000922.CSI,20190123,3979.6255
000922.CSI,20190122,3962.7089
000922.CSI,20190121,4000.7156
000922.CSI,20190118,3994.5564
000922.CSI,20190117,3950.5375
000922.CSI,20190116,3959.031
000922.CSI,20190115,3954.3081
000922.CSI,20190114,3917.0738
000922.CSI,20190111,3923.1416
000922.CSI,20190110,3907.759
000922.CSI,20190109,3923.412
000922.CSI,20190108,3890.5271
000922.CSI,20190107,3883.3566
000922.CSI,20190104,3830.9277
000922.CSI,20190103,3756.7586
000922.CSI,20190102,3779.2468
000922.CSI,20181228,3836.87
000922.CSI,20181227,3823.9246
000922.CSI,20181226,3841.5328
000922.CSI,20181225,3843.1058
000922.CSI,20181224,3867.2356
000922.CSI,20181221,3839.9327
000922.CSI,20181220,3867.2801
000922.CSI,20181219,3870.4618
000922.CSI,20181218,3896.4885
000922.CSI,20181217,3924.7503
000922.CSI,20181214,3898.8762
000922.CSI,20181213,3956.9631
000922.CSI,20181212,3907.6491
000922.CSI,20181211,3880.9981
000922.CSI,20181210,3864.7407
000922.CSI,20181207,3901.0377
000922.CSI,20181206,3879.0123
000922.CSI,20181205,3943.3657
000922.CSI,20181204,3957.1168
000922.CSI,20181203,3945.492
000922.CSI,20181130,3846.9489
000922.CSI,20181129,3813.6279
000922.CSI,20181128,3855.168
000922.CSI,20181127,3813.2116
000922.CSI,20181126,3822.0758
000922.CSI,20181123,3822.9826
000922.CSI,20181122,3911.1234
000922.CSI,20181121,3924.0408
000922.CSI,20181120,3911.2148
000922.CSI,20181119,3999.46
000922.CSI,20181116,3957.7398
000922.CSI,20181115,3929.0841
000922.CSI,20181114,3893.8333
000922.CSI,20181113,3925.0682
000922.CSI,20181112,3891.6365
000922.CSI,20181109,3830.2306
000922.CSI,20181108,3871.1788
000922.CSI,20181107,3876.5488
000922.CSI,20181106,3894.7942
000922.CSI,20181105,3903.1469
000922.CSI,20181102,3916.0266
000922.CSI,20181101,3815.7336
000922.CSI,20181031,3808.4147
000922.CSI,20181030,3765.1615
000922.CSI,20181029,3729.1335
000922.CSI,20181026,3823.6392
000922.CSI,20181025,3821.6018
000922.CSI,20181024,3811.7329
000922.CSI,20181023,3812.2202
000922.CSI,20181022,3904.4123
000922.CSI,20181019,3752.4192
000922.CSI,20181018,3651.0906
000922.CSI,20181017,3728.1697
000922.CSI,20181016,3700.2303
000922.CSI,20181015,3737.9712
000922.CSI,20181012,3812.2711
000922.CSI,20181011,3770.5396
000922.CSI,20181010,3960.9608
000922.CSI,20181009,3954.8607
000922.CSI,20181008,3963.2507
000922.CSI,20180928,4108.7303
000922.CSI,20180927,4065.0344
000922.CSI,20180926,4076.5325
000922.CSI,20180925,4049.1204
000922.CSI,20180921,4082.4489
000922.CSI,20180920,3977.7148
000922.CSI,20180919,3980.147
000922.CSI,20180918,3925.443
000922.CSI,20180917,3866.8479
000922.CSI,20180914,3902.8405
000922.CSI,20180913,3893.639
000922.CSI,20180912,3858.468
000922.CSI,20180911,3865.6747
000922.CSI,20180910,3874.4183
000922.CSI,20180907,3910.1316
000922.CSI,20180906,3897.0319
000922.CSI,20180905,3934.8711
000922.CSI,20180904,3999.4185
000922.CSI,20180903,3960.5335
000922.CSI,20180831,3970.5239
000922.CSI,20180830,3990.2266
000922.CSI,20180829,4010.281
000922.CSI,20180828,4034.7187
000922.CSI,20180827,4039.0327
000922.CSI,20180824,3956.0101
000922.CSI,20180823,3945.7335
000922.CSI,20180822,3935.273
000922.CSI,20180821,3961.2622
000922.CSI,20180820,3912.0039
000922.CSI,20180817,3875.7509
000922.CSI,20180816,3919.1037
000922.CSI,20180815,3942.0715
000922.CSI,20180814,4023.0395
000922.CSI,20180813,4025.8968
000922.CSI,20180810,4049.1519
000922.CSI,20180809,4059.2482
000922.CSI,20180808,3988.7085
000922.CSI,20180807,4043.7615
000922.CSI,20180806,3943.2896
000922.CSI,20180803,3995.2183
000922.CSI,20180802,4046.94
000922.CSI,20180801,4129.2559
000922.CSI,20180731,4207.7815
