ts_code,trade_date,open,high,low,close,vol
932366.CSI,20190822,,,,1769.7874,10717391.22
932366.CSI,20190821,,,,1773.2147,12709807.56
932366.CSI,20190820,,,,1776.1632,15464544.29
932366.CSI,20190819,,,,1774.9491,15502119.66
932366.CSI,20190816,,,,1738.9831,11702526.64
932366.CSI,20190815,,,,1738.5014,14352223.14
932366.CSI,20190814,,,,1734.7086,13651534.72
932366.CSI,20190813,,,,1725.941,12057915.26
932366.CSI,20190812,,,,1739.8783,11383571.37
932366.CSI,20190809,,,,1720.1955,12938583.52
932366.CSI,20190808,,,,1733.0158,14759982.39
932366.CSI,20190807,,,,1719.3648,13731053.42
932366.CSI,20190806,,,,1721.0181,18348769.84
932366.CSI,20190805,,,,1743.782,14226505.63
932366.CSI,20190802,,,,1782.8013,15410876.71
932366.CSI,20190801,,,,1812.4481,13529999.17
932366.CSI,20190731,,,,1825.8703,10768788.33
932366.CSI,20190730,,,,1838.8941,10840330.02
932366.CSI,20190729,,,,1834.2811,11759180.5
932366.CSI,20190726,,,,1832.6485,13341040.47
932366.CSI,20190725,,,,1823.4175,11304410.86
932366.CSI,20190724,,,,1819.0084,12642472.33
932366.CSI,20190723,,,,1808.4674,10273697.43
932366.CSI,20190722,,,,1805.1616,12924547.25
932366.CSI,20190719,,,,1814.6652,10542297.96
932366.CSI,20190718,,,,1799.3029,10093264.86
932366.CSI,20190717,,,,1819.5065,9320189.57
932366.CSI,20190716,,,,1824.4311,9579981.15
932366.CSI,20190715,,,,1828.6377,12643210.5
932366.CSI,20190712,,,,1827.3118,8974405.68
932366.CSI,20190711,,,,1820.4361,10092668.27
932366.CSI,20190710,,,,1818.7274,9237650.54
932366.CSI,20190709,,,,1827.5647,10993106.74
932366.CSI,20190708,,,,1834.56,16203625.78
932366.CSI,20190705,,,,1890.8616,11149557.52
932366.CSI,20190704,,,,1884.4461,12816889.29
