date,ts_code,name,action,price,shares,amount,commission,reason,category
2015-09-25,603288.SH,海天味业,sell,31.219,1100,34340.62,68.68,清仓，评分56(👀 观察等待)，低于观察阈值，当前权重3.7%,周期龙头红利
2015-09-25,600887.SH,伊利股份,sell,15.385,3600,55384.56,110.77,清仓，评分70(✅ 积极布局)，低于观察阈值，当前权重6.0%,周期龙头红利
2015-09-25,002595.SZ,豪迈科技,sell,18.911,1500,28366.6,56.73,清仓，评分55(👀 观察等待)，低于观察阈值，当前权重3.1%,周期龙头红利
2015-09-25,600183.SH,生益科技,sell,7.383,3100,22886.09,45.77,清仓，评分61(👀 观察等待)，低于观察阈值，当前权重2.5%,周期龙头红利
2015-09-25,600066.SH,宇通客车,sell,18.042,3500,63146.79,126.29,清仓，评分70(✅ 积极布局)，低于观察阈值，当前权重6.9%,周期龙头红利
2015-09-25,600000.SH,浦发银行,sell,15.574,2000,31148.82,62.3,清仓，评分61(👀 观察等待)，低于观察阈值，当前权重3.4%,周期龙头红利
2015-09-25,000895.SZ,双汇发展,sell,17.972,2200,39538.42,79.08,减仓，评分70(✅ 积极布局)，权重6.2%→1.9%,周期龙头红利
2015-09-25,600027.SH,华电国际,sell,7.023,3100,21771.21,43.54,清仓，评分64(👀 观察等待)，低于观察阈值，当前权重2.4%,周期龙头红利
2015-09-25,601601.SH,中国太保,buy,22.743,2600,59131.07,59.13,新买入，评分51(👀 观察等待)，股息率2.09%，目标权重6.5%，对冲银行持仓5.6%,周期龙头红利
2015-09-25,511880.SH,银华日利,buy,102.833,4000,411330.3,411.33,闲置现金扫入,现金管理
2015-12-25,601601.SH,中国太保,sell,30.37,2600,78960.96,157.92,清仓，评分48(🚫 回避)，低于观察阈值，当前权重8.3%,周期龙头红利
2015-12-25,600011.SH,华能国际,buy,8.989,2800,25169.14,25.17,新买入，评分67(✅ 积极布局)，股息率4.02%，目标权重2.7%,周期龙头红利
2015-12-25,000830.SZ,鲁西化工,buy,7.097,3600,25549.52,25.55,新买入，评分67(✅ 积极布局)，股息率4.02%，目标权重2.7%,周期龙头红利
2015-12-25,600104.SH,上汽集团,buy,21.872,1100,24059.03,24.06,新买入，评分70(✅ 积极布局)，股息率5.65%，目标权重2.7%,周期龙头红利
2015-12-25,511880.SH,银华日利,sell,103.305,100,10330.51,20.66,释放现金用于调仓,现金管理
2015-12-25,601006.SH,大秦铁路,buy,9.029,2800,25281.26,25.28,新买入，评分70(✅ 积极布局)，股息率5.06%，目标权重2.7%,周期龙头红利
2015-12-25,511880.SH,银华日利,sell,103.305,300,30991.53,61.98,释放现金用于调仓,现金管理
2015-12-25,600690.SH,海尔智家,buy,9.93,2500,24824.8,24.82,新买入，评分70(✅ 积极布局)，股息率4.71%，目标权重2.7%,周期龙头红利
2015-12-25,511880.SH,银华日利,sell,103.305,200,20661.02,41.32,释放现金用于调仓,现金管理
2015-12-25,601633.SH,长城汽车,buy,12.152,2100,25519.49,25.52,新买入，评分70(✅ 积极布局)，股息率6.26%，目标权重2.7%,周期龙头红利
2015-12-25,511880.SH,银华日利,sell,103.305,300,30991.53,61.98,释放现金用于调仓,现金管理
2015-12-25,601288.SH,农业银行,buy,3.273,7800,25531.51,25.53,新买入，评分65(✅ 积极布局)，股息率5.29%，目标权重2.7%,周期龙头红利
2015-12-25,511880.SH,银华日利,sell,103.305,200,20661.02,41.32,释放现金用于调仓,现金管理
2015-12-25,600377.SH,宁沪高速,buy,8.859,2900,25690.66,25.69,新买入，评分67(✅ 积极布局)，股息率4.08%，目标权重2.7%,周期龙头红利
2015-12-25,511880.SH,银华日利,sell,103.305,300,30991.53,61.98,释放现金用于调仓,现金管理
2015-12-25,600887.SH,伊利股份,buy,17.117,1500,25675.65,25.68,新买入，评分70(✅ 积极布局)，股息率4.44%，目标权重2.7%,周期龙头红利
2015-12-25,511880.SH,银华日利,sell,103.305,200,20661.02,41.32,释放现金用于调仓,现金管理
2015-12-25,000651.SZ,格力电器,buy,23.023,1100,25325.3,25.33,新买入，评分70(✅ 积极布局)，股息率12.39%，目标权重2.7%,周期龙头红利
2015-12-25,511880.SH,银华日利,sell,103.305,300,30991.53,61.98,释放现金用于调仓,现金管理
2015-12-25,600352.SH,浙江龙盛,buy,12.342,2000,24684.66,24.68,新买入，评分66(✅ 积极布局)，股息率3.85%，目标权重2.7%,周期龙头红利
2015-12-25,511880.SH,银华日利,sell,103.305,200,20661.02,41.32,释放现金用于调仓,现金管理
2015-12-25,600066.SH,宇通客车,buy,22.512,1100,24763.74,24.76,新买入，评分68(✅ 积极布局)，股息率4.22%，目标权重2.7%,周期龙头红利
2016-03-25,600104.SH,上汽集团,sell,19.85,1100,21835.14,43.67,清仓，评分70(✅ 积极布局)，低于观察阈值，当前权重2.4%,周期龙头红利
2016-03-25,601006.SH,大秦铁路,sell,6.813,2800,19076.9,38.15,清仓，评分70(✅ 积极布局)，低于观察阈值，当前权重2.1%,周期龙头红利
2016-03-25,601633.SH,长城汽车,sell,9.091,2100,19090.89,38.18,清仓，评分70(✅ 积极布局)，低于观察阈值，当前权重2.1%,周期龙头红利
2016-03-25,600377.SH,宁沪高速,sell,8.482,2900,24596.38,49.19,清仓，评分68(✅ 积极布局)，低于观察阈值，当前权重2.7%,周期龙头红利
2016-03-25,600660.SH,福耀玻璃,sell,14.765,1500,22147.83,44.3,清仓，评分70(✅ 积极布局)，低于观察阈值，当前权重2.4%,周期龙头红利
2016-03-25,600887.SH,伊利股份,sell,14.156,1500,21233.74,42.47,清仓，评分70(✅ 积极布局)，低于观察阈值，当前权重2.3%,周期龙头红利
2016-03-25,000651.SZ,格力电器,sell,19.201,1100,21120.86,42.24,清仓，评分70(✅ 积极布局)，低于观察阈值，当前权重2.3%,周期龙头红利
2016-03-25,600352.SH,浙江龙盛,sell,10.23,2000,20459.52,40.92,清仓，评分70(✅ 积极布局)，低于观察阈值，当前权重2.3%,周期龙头红利
2016-03-25,600066.SH,宇通客车,sell,19.72,1100,21692.29,43.38,清仓，评分70(✅ 积极布局)，低于观察阈值，当前权重2.4%,周期龙头红利
2016-03-25,511880.SH,银华日利,buy,104.173,1700,177093.51,177.09,闲置现金扫入,现金管理
2016-06-24,600690.SH,海尔智家,sell,8.621,2500,21553.43,43.11,清仓，评分70(✅ 积极布局)，低于观察阈值，当前权重2.4%,周期龙头红利
2016-06-24,511880.SH,银华日利,sell,104.605,100,10460.54,20.92,释放现金用于调仓,现金管理
2016-06-24,601628.SH,中国人寿,buy,20.791,2100,43660.62,43.66,新买入，评分50(👀 观察等待)，股息率2.02%，目标权重4.9%，对冲银行持仓5.6%,周期龙头红利
2016-09-30,601628.SH,中国人寿,sell,21.389,2100,44916.04,89.83,清仓，评分50(🚫 回避)，低于观察阈值，当前权重4.9%,周期龙头红利
2016-09-30,601601.SH,中国太保,buy,28.779,1500,43168.12,43.17,新买入，评分63(👀 观察等待)，股息率3.48%，目标权重4.8%，对冲银行持仓4.1%,周期龙头红利
2017-03-31,601288.SH,农业银行,sell,3.337,7800,26025.95,52.05,清仓，评分63(👀 观察等待)，低于观察阈值，当前权重2.8%,周期龙头红利
2017-03-31,511880.SH,银华日利,buy,106.972,200,21394.33,21.39,闲置现金扫入,现金管理
2017-06-30,601601.SH,中国太保,sell,33.836,500,16918.06,33.84,减仓，评分60(👀 观察等待)，权重5.3%→3.2%,周期龙头红利
2017-06-30,511880.SH,银华日利,buy,107.929,200,21585.84,21.59,闲置现金扫入,现金管理
2017-09-29,000830.SZ,鲁西化工,sell,11.109,3600,39991.97,79.98,清仓，评分56(👀 观察等待)，低于观察阈值，当前权重4.1%,周期龙头红利
2017-09-29,601601.SH,中国太保,sell,36.893,1000,36893.07,73.79,清仓，评分49(🚫 回避)，低于观察阈值，当前权重3.7%,周期龙头红利
2017-09-29,511880.SH,银华日利,buy,109.028,700,76319.47,76.32,闲置现金扫入,现金管理
2018-03-30,511880.SH,银华日利,sell,110.892,200,22178.46,44.36,释放现金用于调仓,现金管理
2018-03-30,601601.SH,中国太保,buy,33.964,800,27171.14,27.17,新买入，评分51(👀 观察等待)，股息率2.06%，目标权重2.8%,周期龙头红利
2018-09-28,600011.SH,华能国际,sell,7.702,2800,21566.41,43.13,清仓，评分46(🚫 回避)，低于观察阈值，当前权重2.1%,周期龙头红利
2018-09-28,511880.SH,银华日利,buy,113.114,200,22622.88,22.62,闲置现金扫入,现金管理
2018-12-28,000895.SZ,双汇发展,sell,23.566,1000,23566.41,47.13,清仓，评分70(✅ 积极布局)，低于观察阈值，当前权重2.3%,周期龙头红利
2018-12-28,511880.SH,银华日利,buy,113.82,200,22764.06,22.76,闲置现金扫入,现金管理
2020-06-26,511880.SH,银华日利,sell,117.577,100,11757.72,23.52,释放现金用于调仓,现金管理
2020-06-26,601318.SH,中国平安,buy,72.332,300,21699.68,21.7,新买入，评分58(👀 观察等待)，股息率2.84%，目标权重2.2%，对冲银行持仓5.0%,周期龙头红利
2020-12-25,511880.SH,银华日利,sell,118.748,200,23749.68,47.5,释放现金用于调仓,现金管理
2020-12-25,601336.SH,新华保险,buy,56.957,300,17087.07,17.09,新买入，评分55(👀 观察等待)，股息率2.48%，目标权重2.0%，对冲银行持仓6.5%,周期龙头红利
