trade_date,close
20180529,4653.598
20180528,4688.6583
20180525,4668.0699
20180524,4678.1092
20180523,4711.4009
20180522,4774.5022
20180521,4792.0209
20180518,4769.4055
20180517,4721.6437
20180516,4756.598
20180515,4794.6075
20180514,4776.3697
20180511,4731.7923
20180510,4756.3486
20180509,4729.8664
20180508,4737.7239
20180507,4683.3815
20180504,4610.4389
20180503,4629.821
20180502,4593.9908
20180427,4585.6556
20180426,4583.5116
20180425,4672.8598
20180424,4690.8026
20180423,4596.6288
20180420,4589.9512
20180419,4652.1806
20180418,4596.5755
20180417,4575.0155
20180416,4648.5129
20180413,4724.5035
20180412,4758.0549
20180411,4806.5161
20180410,4792.8832
20180409,4702.2731
20180404,4704.6326
20180403,4713.9288
20180402,4743.7555
20180330,4757.8868
20180329,4752.3772
20180328,4689.7278
20180327,4775.8326
20180326,4735.1
20180323,4765.6624
20180322,4906.5154
20180321,4956.1878
20180320,4976.5127
20180319,4972.2947
20180316,4950.5403
20180315,4999.0399
20180314,4971.1923
20180313,4993.0483
20180312,5037.4875
20180309,5014.5422
20180308,4976.3857
20180307,4926.4137
20180306,4962.9179
20180305,4903.767
20180302,4901.7703
20180301,4941.5869
20180228,4910.5335
20180227,4953.6621
20180226,5026.2014
20180223,4968.4394
20180222,4946.0376
20180214,4841.3601
20180213,4803.1254
20180212,4747.5624
20180209,4687.2103
20180208,4896.3836
20180207,4943.2838
20180206,5063.3584
20180205,5216.2285
20180202,5212.6725
20180201,5181.7536
20180131,5218.3669
20180130,5194.207
20180129,5250.2435
20180126,5346.9998
20180125,5326.3448
20180124,5356.6135
20180123,5347.7395
20180122,5291.5906
20180119,5229.1126
20180118,5212.0561
20180117,5183.6245
20180116,5196.2618
20180115,5155.7095
20180112,5155.4188
20180111,5131.7287
20180110,5134.4459
20180109,5111.8529
20180108,5076.2981
20180105,5050.1745
20180104,5038.0472
20180103,5016.7918
20180102,4987.5172
20191231,5227.7258
20191230,5208.6495
20191227,5132.5856
20191226,5137.6392
20191225,5092.8209
20191224,5095.4893
20191223,5062.4864
20191220,5126.4921
20191219,5139.1215
20191218,5146.2989
20191217,5157.7238
20191216,5088.4916
20191213,5063.8307
20191212,4965.0519
20191211,4980.0133
20191210,4976.9956
20191209,4970.6952
20191206,4979.4414
20191205,4950.0659
20191204,4912.3667
20191203,4913.9851
20191202,4894.8089
20191129,4885.3814
20191128,4928.2962
20191127,4945.287
20191126,4965.7472
20191125,4948.5886
20191122,4912.591
20191121,4963.1248
20191120,4986.4323
20191119,5036.4197
20191118,4986.1666
20191115,4946.8177
20191114,4983.5228
20191113,4976.0262
20191112,4980.7563
20191111,4979.7706
20191108,5069.1241
20191107,5093.1927
20191106,5084.2701
20191105,5107.1484
20191104,5075.6451
20191101,5042.8108
20191031,4959.0675
20191030,4964.7752
20191029,4989.0178
20191028,5009.8901
20191025,4971.8779
20191024,4938.2468
20191023,4938.7788
20191022,4970.4141
20191021,4951.2244
20191018,4936.5404
20191017,5007.786
20191016,5004.5503
20191015,5021.8557
20191014,5043.5331
20191011,4990.5675
20191010,4942.815
20191009,4902.7586
20191008,4895.6657
20190930,4866.1324
20190927,4914.7681
20190926,4900.0792
20190925,4938.0498
20190924,4976.4369
20190923,4962.8795
20190920,5020.2675
20190919,5005.8931
20190918,4987.6541
20190917,4963.5927
20190916,5047.7815
20190912,5066.485
20190911,5012.5599
20190910,5049.7579
20190909,5067.2101
20190906,5036.0375
20190905,5006.4673
20190904,4956.3152
20190903,4911.8099
20190902,4905.0662
20190830,4842.9506
20190829,4830.9698
20190828,4846.7718
20190827,4865.0771
20190826,4799.7353
20190823,4869.4902
20190822,4834.6243
20190821,4818.9562
20190820,4826.4923
20190819,4830.723
20190816,4727.739
20190815,4706.2382
20190814,4688.7006
20190813,4667.5006
20190812,4709.9684
20190809,4625.9954
20190808,4671.1269
20190807,4609.1113
20190806,4628.0724
20190805,4675.334
20190802,4766.0931
20190801,4836.1492
20190731,4876.6971
20190730,4919.7136
20190729,4898.9334
20190726,4904.341
20190725,4893.9884
20190724,4853.871
20190723,4815.4679
20190722,4802.4688
20190719,4835.2763
20190718,4783.3135
20190717,4827.0847
20190716,4828.9009
20190715,4850.3077
20190712,4830.6734
20190711,4792.6348
20190710,4790.1589
20190709,4796.3028
20190708,4805.3003
20190705,4918.2506
20190704,4889.0037
20190703,4914.1947
20190702,4966.199
