trade_date,close
20160111,1319.3584
20160108,1372.2765
20160107,1327.9712
20160106,1420.5349
20160105,1381.1689
20160104,1377.5087
20171229,1977.4427
20171228,1985.7596
20171227,1956.4351
20171226,1971.7549
20171225,1975.3298
20171222,1977.2901
20171221,1970.5552
20171220,1960.797
20171219,1953.0315
20171218,1939.9124
20171215,1918.5245
20171214,1941.5405
20171213,1948.7899
20171212,1923.5933
20171211,1945.6007
20171208,1915.3214
20171207,1910.7637
20171206,1935.7507
20171205,1960.3785
20171204,1938.5596
20171201,1929.5124
20171130,1939.7466
20171129,1949.3108
20171128,1945.8269
20171127,1939.2358
20171124,1964.1533
20171123,1963.0449
20171122,2019.9312
20171121,2001.8549
20171120,1984.9913
20171117,1977.8847
20171116,1960.9393
20171115,1950.5918
20171114,1958.8028
20171113,1961.0833
20171110,1948.4149
20171109,1941.4713
20171108,1921.246
20171107,1926.1027
20171106,1917.5104
20171103,1895.8982
20171102,1895.3795
20171101,1892.2448
20171031,1887.0391
20171030,1892.4768
20171027,1890.1425
20171026,1876.2738
20171025,1870.383
20171024,1858.1838
20171023,1839.9844
20171020,1840.0727
20171019,1851.471
20171018,1841.6839
20171017,1815.8919
20171016,1816.1302
20171013,1814.2684
20171012,1807.5735
20171011,1810.0274
20171010,1799.7425
20171009,1799.2102
20170929,1781.6749
20170928,1779.8917
20170927,1780.9308
20170926,1779.4162
20170925,1775.9073
20170922,1770.7508
20170921,1763.5083
20170920,1766.7818
20170919,1762.7178
20170918,1767.5471
20170915,1763.8659
20170914,1770.6527
20170913,1779.4875
20170912,1769.4081
20170911,1765.6242
20170908,1761.9708
20170907,1761.5226
20170906,1777.6401
20170905,1775.6544
20170904,1787.3458
20170901,1774.6683
20170831,1759.8757
20170830,1768.0634
20170829,1761.7446
20170828,1766.0668
20170825,1754.4665
20170824,1736.0534
20170823,1741.1935
20170822,1746.3339
20170821,1744.3381
20170818,1730.702
20170817,1732.6754
20170816,1725.537
20170815,1729.1575
20170814,1733.5782
20170811,1721.8137
20170810,1752.2993
20170809,1753.2633
20170808,1738.7192
20170807,1739.107
20170804,1722.7331
20170803,1733.2911
20170802,1742.4436
20170801,1747.679
20170731,1740.2812
20170728,1734.3182
20170727,1724.8276
20170726,1731.725
20170725,1740.7945
20170724,1745.1007
20170721,1740.1896
20170720,1740.8441
20170719,1726.0786
20170718,1712.0016
20170717,1716.5482
20170714,1717.5701
20170713,1713.9375
20170712,1711.5282
20170711,1728.859
20170710,1718.4268
20170707,1732.7264
20170706,1738.5434
20170705,1740.3026
20170704,1730.825
20170703,1736.564
20170630,1746.5208
20170629,1741.5669
20170628,1733.08
20170627,1747.9087
20170626,1749.1639
20170623,1733.472
20170622,1715.3293
20170621,1715.2137
20170620,1693.0001
20170619,1694.1783
20170616,1679.7074
20170615,1683.7322
20170614,1690.807
20170613,1709.5932
20170612,1711.7294
20170609,1707.3609
20170608,1703.1517
20170607,1682.4833
20170606,1666.8486
20170605,1653.738
20170602,1663.9671
20170601,1667.3499
20170531,1652.9617
20170526,1647.4331
20170525,1644.0222
20170524,1631.8439
20170523,1636.9163
20170522,1614.2807
20170519,1599.2481
20170518,1587.4794
20170517,1587.6354
20170516,1605.2593
20170515,1591.1544
20170512,1575.8689
20170511,1573.8525
20170510,1554.5708
20170509,1560.5269
20170508,1567.9382
20170505,1573.5429
20170504,1576.7686
20170503,1581.5863
20170502,1579.7674
20170428,1579.1024
20170427,1591.4108
20170426,1587.6726
20170425,1591.9977
20170424,1581.2912
20170421,1591.052
20170420,1589.2561
20170419,1578.9806
20170418,1582.404
20170417,1578.7739
20170414,1574.2208
20170413,1585.3806
20170412,1578.5478
20170411,1577.2722
20170410,1584.6332
20170407,1588.3742
20170406,1582.4406
20170405,1576.3384
20170331,1562.034
20170330,1553.3368
20170329,1560.9922
20170328,1554.6379
20170327,1558.7443
20170324,1575.966
20170323,1565.512
20170322,1565.3667
20170321,1564.9086
20170320,1537.0891
20170317,1510.3878
20170316,1522.1162
20170315,1517.7333
20170314,1505.3231
20170313,1504.301
20170310,1494.9382
20170309,1493.7168
20170308,1503.5995
20170307,1504.9535
20170306,1499.4174
20170303,1488.8641
20170302,1494.7226
20170301,1502.7326
20170228,1497.6541
20170227,1493.5633
20170224,1512.1237
20170223,1517.3421
20170222,1528.4114
20170221,1519.5685
20170220,1520.3035
20170217,1493.3333
20170216,1499.4593
20170215,1492.2094
20170214,1491.9825
20170213,1493.5693
20170210,1479.1841
20170209,1469.6691
20170208,1464.0871
20170207,1460.861
20170206,1467.2686
20170203,1470.3205
20170126,1478.7322
20170125,1480.9178
20170124,1480.9759
20170123,1467.4169
20170120,1464.8409
20170119,1457.5139
20170118,1466.4147
20170117,1454.1675
20170116,1446.2446
20170113,1437.3743
20170112,1433.6923
20170111,1437.8659
20170110,1455.254
20170109,1448.6659
20170106,1445.4956
20170105,1438.6553
20170104,1431.363
20170103,1412.2971
20181228,1632.7174
20181227,1631.0878
20181226,1642.99
20181225,1651.7685
20181224,1673.7743
20181221,1668.7034
20181220,1677.8157
20181219,1687.2475
20181218,1703.7116
20181217,1722.045
20181214,1715.5028
20181213,1731.8695
20181212,1705.4191
20181211,1696.8527
20181210,1696.1155
20181207,1703.9187
20181206,1695.2783
20181205,1728.9997
20181204,1742.6596
20181203,1735.6068
20181130,1692.2223
20181129,1677.7985
20181128,1696.1591
20181127,1678.1479
20181126,1686.7537
20181123,1694.5052
20181122,1730.8663
20181121,1737.6712
20181120,1742.4081
20181119,1776.821
20181116,1763.7113
20181115,1764.0591
20181114,1747.5237
20181113,1768.7553
20181112,1762.8738
20181109,1752.903
20181108,1776.9374
20181107,1777.7601
20181106,1787.1686
20181105,1791.1893
20181102,1802.8116
20181101,1761.3491
20181031,1759.3745
20181030,1731.5383
20181029,1726.0472
20181026,1772.0181
20181025,1764.8535
20181024,1773.5693
20181023,1775.7155
20181022,1825.091
20181019,1764.3142
20181018,1728.5225
20181017,1795.8225
20181016,1778.9181
20181015,1784.9128
20181012,1813.2656
20181011,1784.2119
20181010,1871.7169
20181009,1859.6201
20181008,1842.6804
20180928,1918.5799
20180927,1909.5315
20180926,1904.9067
20180925,1882.9143
20180921,1897.1952
20180920,1854.7497
20180919,1853.4225
20180918,1825.5195
20180917,1791.0559
20180914,1811.0454
20180913,1806.5946
20180912,1780.449
20180911,1788.7353
20180910,1796.3443
20180907,1816.0921
20180906,1807.101
20180905,1809.6682
20180904,1840.5686
20180903,1821.1914
20180831,1834.663
20180830,1840.8545
20180829,1853.8186
20180828,1862.848
20180827,1858.7751
20180824,1819.3242
20180823,1821.155
20180822,1822.8972
20180821,1836.2951
20180820,1818.4393
20180817,1783.0547
20180816,1803.6695
20180815,1814.2881
20180814,1853.4614
20180813,1854.9615
20180810,1859.342
20180809,1865.8465
20180808,1847.4015
20180807,1857.3055
20180806,1793.9229
20180803,1810.3612
20180802,1822.1536
20180801,1851.7807
20180731,1884.6009
20180730,1881.0126
20180727,1868.6453
20180726,1868.971
20180725,1880.4962
20180724,1884.7526
20180723,1842.5605
20180720,1814.6038
20180719,1789.6247
20180718,1784.0974
20180717,1790.8001
20180716,1814.1181
20180713,1819.0661
20180712,1819.4377
20180711,1790.301
20180710,1828.7472
20180709,1812.3601
20180706,1784.3228
20180705,1779.6884
20180704,1786.6446
20180703,1799.3018
20180702,1810.3016
20180629,1864.2176
20180628,1834.3951
20180627,1843.7112
20180626,1857.9172
20180625,1886.3941
20180622,1914.1437
20180621,1921.0134
20180620,1932.5191
20180619,1935.9938
20180615,1996.8007
20180614,1992.6137
20180613,1996.9801
20180612,2006.6107
20180611,1970.7922
20180608,1978.6051
20180607,1994.877
20180606,1997.6808
20180605,1987.6278
20180604,1992.9075
20180601,1971.13
20180531,1980.9646
20180530,1931.4181
20180529,1967.6393
20180528,1968.9234
20180525,1958.2042
20180524,1957.5398
20180523,1967.1241
20180522,2019.2119
20180521,2025.2806
20180518,2031.1203
20180517,1984.1927
20180516,1993.6131
20180515,2005.1046
20180514,1997.8046
20180511,1984.7258
20180510,1986.7848
20180509,1971.3862
20180508,1967.8625
20180507,1960.5975
20180504,1920.3713
20180503,1927.4129
20180502,1906.0152
20180427,1908.5023
20180426,1896.8706
20180425,1914.1577
20180424,1929.5689
20180423,1891.6675
20180420,1888.2294
20180419,1906.8553
20180418,1874.5725
20180417,1862.63
20180416,1884.3392
20180413,1913.795
20180412,1926.8655
20180411,1943.9351
20180410,1936.362
20180409,1896.8439
20180404,1893.1533
20180403,1889.9277
20180402,1905.6818
20180330,1913.8265
20180329,1920.925
20180328,1886.6514
20180327,1935.6533
20180326,1922.0184
20180323,1954.3948
20180322,1986.796
20180321,2004.6807
20180320,2015.4794
20180319,2005.3995
20180316,2017.9153
20180315,2039.0074
20180314,2031.3131
20180313,2026.7425
20180312,2036.9866
20180309,2026.7062
20180308,2025.1717
20180307,2007.4365
20180306,2027.7265
20180305,2009.7278
20180302,2009.5186
20180301,2023.1548
20180228,2021.8428
20180227,2043.3548
20180226,2089.5032
20180223,2068.1656
20180222,2054.3041
20180214,1997.4766
20180213,1978.3197
20180212,1959.8102
20180209,1948.0709
20180208,2036.8012
20180207,2085.466
20180206,2143.4301
20180205,2205.2307
20180202,2210.8225
20180201,2158.0084
20180131,2150.5368
20180130,2146.2572
20180129,2174.0765
20180126,2185.192
20180125,2166.485
20180124,2157.4406
20180123,2156.0428
20180122,2137.9457
20180119,2106.4058
20180118,2092.9651
20180117,2089.5473
20180116,2103.6354
20180115,2115.2487
20180112,2124.5195
20180111,2112.7193
20180110,2133.941
20180109,2116.0622
20180108,2109.4848
20180105,2073.8406
20180104,2062.0236
20180103,2029.7235
20180102,2013.9506
20191231,1919.3151
20191230,1908.4869
20191227,1879.5045
20191226,1878.1393
20191225,1862.0572
20191224,1862.0773
20191223,1848.2359
20191220,1861.7718
20191219,1867.0342
20191218,1862.4725
20191217,1870.4274
20191216,1851.3375
20191213,1839.5077
20191212,1806.2736
20191211,1822.2315
20191210,1816.3689
20191209,1818.5942
20191206,1809.6895
20191205,1795.3472
20191204,1781.6835
20191203,1793.1542
20191202,1794.8697
20191129,1787.7221
20191128,1805.4957
20191127,1817.9831
20191126,1828.9586
20191125,1832.8697
20191122,1797.3271
20191121,1800.6203
20191120,1800.1035
20191119,1811.8187
20191118,1790.9995
20191115,1772.6359
20191114,1794.2796
20191113,1799.8325
20191112,1804.25
20191111,1800.4262
20191108,1834.8808
20191107,1835.7299
20191106,1834.3635
20191105,1846.2157
20191104,1841.9672
20191101,1820.7951
20191031,1793.4305
20191030,1800.7847
20191029,1800.9322
20191028,1804.2857
20191025,1785.3413
20191024,1776.2693
20191023,1776.5624
20191022,1790.0759
20191021,1788.3528
20191018,1788.9639
20191017,1810.4563
20191016,1810.3735
20191015,1822.0568
20191014,1828.69
20191011,1816.3409
20191010,1795.5336
20191009,1784.6796
20191008,1786.7953
20190930,1783.6095
20190927,1795.2727
20190926,1804.9837
20190925,1814.7487
20190924,1830.2774
20190923,1821.5434
20190920,1844.0503
20190919,1838.2945
20190918,1834.4316
20190917,1824.3287
20190916,1854.1296
20190912,1856.9233
20190911,1847.3198
20190910,1860.6908
20190909,1857.2641
20190906,1848.9308
20190905,1834.35
20190904,1827.7661
20190903,1811.3305
20190902,1806.9698
20190830,1776.3227
20190829,1773.7917
20190828,1777.9907
20190827,1782.4949
20190826,1757.7698
20190823,1774.9484
20190822,1769.7874
20190821,1773.2147
20190820,1776.1632
20190819,1774.9491
20190816,1738.9831
20190815,1738.5014
20190814,1734.7086
20190813,1725.941
20190812,1739.8783
