rb,nb,fixed,old,932366,hs300tr,div_tr,ex_off,ex_hs,ex_div
2023-12-11,2024-03-11,0.19728,0.1728381600280567,0.20079414607441115,0.05066022785451296,0.08860592103464904,-0.0035141460744111397,0.14661977214548705,0.10867407896535097
2024-03-11,2024-06-17,0.037629,0.0498076503203336,0.035675432120150896,-0.007605649692570937,0.01093230238431353,0.0019535678798491066,0.04523464969257094,0.026696697615686472
2024-06-17,2024-09-16,-0.063595,-0.0632699728527505,-0.08553340117086672,-0.08923811482907229,-0.10832630803764698,0.02193840117086672,0.02564311482907229,0.04473130803764698
2024-09-16,2024-12-16,0.183024,0.1668976582084891,0.179901233538581,0.2373065211983012,0.17482170435831534,0.0031227664614189854,-0.05428252119830121,0.008202295641684648
2024-12-16,2025-03-17,-0.033754,-0.0306534005023509,-0.03788088020868163,0.02505454433967902,-0.012628858933436793,0.004126880208681634,-0.05880854433967902,-0.021125141066563206
2025-03-17,2025-06-16,0.018197,0.0272003740342484,0.01848890213559362,-0.024854918226003386,0.009251881950525176,-0.0002919021355936198,0.04305191822600339,0.008945118049474825
2025-06-16,2025-09-15,0.114931,0.1112158035930615,0.07506912662170628,0.1868328223954454,0.0397956121187788,0.03986187337829372,-0.0719018223954454,0.0751353878812212
2025-09-15,2025-12-15,0.032373,0.0298579819651738,0.025115879463209367,0.008403816165876377,-0.003155422986852896,0.007257120536790632,0.023969183834123622,0.035528422986852895
2025-12-15,2026-03-16,0.095013,0.0995168340592475,0.12616926577846255,0.029503462633981403,0.08698369820718854,-0.031156265778462547,0.0655095373660186,0.008029301792811458
2026-03-16,2026-06-04,-0.051726,-0.0526287694157965,-0.08292865810284045,0.05307191298314362,-0.03203706699489839,0.031202658102840446,-0.10479791298314362,-0.019688933005101612
