
### 2016-06-13

| # | 修正后 | w | FCF率 | | 旧版 | w | FCF率 |
| 6 | 亨通光电 | 3.4% | 4.11% | | 中国联通 | 507.0% | 757.00% |
| 7 | 徐工机械 | 3.4% | 3.85% | | 美的集团 | 419.0% | 569.00% |
| 8 | 天齐锂业 | 2.9% | 3.68% | | 宝钢股份 | 391.0% | 642.00% |
| 9 | 中国巨石 | 2.8% | 3.03% | | 中国中冶 | 283.0% | 433.00% |
| 10 | 老板电器 | 2.6% | 6.62% | | 格力电器 | 275.0% | 517.00% |

### 2019-03-11

| # | 修正后 | w | FCF率 | | 旧版 | w | FCF率 |
|---|---|---|---|---|---|---|---|
| 1 | 中国建筑 | 10.0% | 9.09% | | 中国神华 | 1000.0% | 1690.00% |
| 2 | 工业富联 | 10.0% | 1.82% | | 中国石化 | 1000.0% | 1055.00% |
| 3 | 洋河股份 | 9.5% | 3.89% | | 中国建筑 | 1000.0% | 911.00% |
| 4 | 首钢股份 | 5.9% | 3.69% | | 中国石油 | 1000.0% | 607.00% |
| 5 | 分众传媒 | 5.3% | 4.05% | | 长江电力 | 688.0% | 1067.00% |
| 6 | XD三六零 | 5.3% | 2.12% | | 中国联通 | 476.0% | 687.00% |
| 7 | XD伊利股 | 4.9% | 2.10% | | 美的集团 | 393.0% | 509.00% |
| 8 | 方大炭素 | 4.6% | 8.28% | | 宝钢股份 | 367.0% | 616.00% |
| 9 | 中航沈飞 | 3.5% | 4.75% | | 中国中冶 | 266.0% | 424.00% |
| 10 | 东方新能 | 3.4% | 5.93% | | 格力电器 | 258.0% | 436.00% |

### 2019-06-17

| # | 修正后 | w | FCF率 | | 旧版 | w | FCF率 |
|---|---|---|---|---|---|---|---|
| 1 | 中国神华 | 10.0% | 13.40% | | 中国神华 | 1000.0% | 1524.00% |
| 2 | 中国石化 | 10.0% | 6.08% | | 中国石化 | 1000.0% | 683.00% |
| 3 | 中国石油 | 10.0% | 3.43% | | 中国石油 | 1000.0% | 368.00% |
| 4 | 中国联通 | 6.2% | 10.02% | | 中国联通 | 614.0% | 1189.00% |
| 5 | 长江电力 | 6.0% | 6.88% | | 长江电力 | 591.0% | 685.00% |
| 6 | 宝钢股份 | 5.4% | 12.12% | | 宝钢股份 | 530.0% | 1213.00% |
| 7 | 海螺水泥 | 5.1% | 14.79% | | 海螺水泥 | 506.0% | 1963.00% |
| 8 | 格力电器 | 3.8% | 6.54% | | 格力电器 | 373.0% | 663.00% |
| 9 | 美的集团 | 3.6% | 4.66% | | 美的集团 | 359.0% | 472.00% |
| 10 | 中国国航 | 3.1% | 7.29% | | 中国国航 | 309.0% | 877.00% |

### 2019-09-16

| # | 修正后 | w | FCF率 | | 旧版 | w | FCF率 |
|---|---|---|---|---|---|---|---|
| 1 | 中国神华 | 10.0% | 13.45% | | 中国神华 | 1000.0% | 1545.00% |
| 2 | 中国石化 | 10.0% | 6.08% | | 中国石化 | 1000.0% | 675.00% |
| 3 | 中国石油 | 10.0% | 3.65% | | 中国石油 | 1000.0% | 383.00% |
| 4 | 中国联通 | 6.3% | 9.73% | | 中国联通 | 622.0% | 1165.00% |
| 5 | 长江电力 | 6.0% | 6.51% | | 长江电力 | 599.0% | 648.00% |
| 6 | 宝钢股份 | 5.4% | 12.25% | | 宝钢股份 | 538.0% | 1225.00% |
| 7 | 海螺水泥 | 5.1% | 14.21% | | 海螺水泥 | 513.0% | 1904.00% |
| 8 | 格力电器 | 3.8% | 5.72% | | 格力电器 | 378.0% | 582.00% |
| 9 | 美的集团 | 3.7% | 4.29% | | 美的集团 | 364.0% | 440.00% |
| 10 | 中国国航 | 3.1% | 7.31% | | 中国国航 | 313.0% | 885.00% |

### 2019-12-16

| # | 修正后 | w | FCF率 | | 旧版 | w | FCF率 |
|---|---|---|---|---|---|---|---|
| 1 | 中国神华 | 10.0% | 14.82% | | 中国神华 | 1000.0% | 1694.00% |
| 2 | 中国石化 | 10.0% | 6.22% | | 中国石化 | 1000.0% | 696.00% |
| 3 | 中国石油 | 10.0% | 3.85% | | 中国石油 | 1000.0% | 407.00% |
| 4 | 中国联通 | 6.4% | 10.30% | | 中国联通 | 637.0% | 1209.00% |
| 5 | 长江电力 | 6.1% | 6.60% | | 长江电力 | 613.0% | 652.00% |
| 6 | 宝钢股份 | 5.5% | 12.85% | | 宝钢股份 | 550.0% | 1285.00% |
| 7 | 海螺水泥 | 5.2% | 12.31% | | 海螺水泥 | 525.0% | 1638.00% |
| 8 | 格力电器 | 3.9% | 5.44% | | 格力电器 | 387.0% | 547.00% |
| 9 | 美的集团 | 3.7% | 4.06% | | 美的集团 | 373.0% | 414.00% |
| 10 | 中国国航 | 3.2% | 7.21% | | 中国国航 | 320.0% | 872.00% |

### 2020-03-16

| # | 修正后 | w | FCF率 | | 旧版 | w | FCF率 |
|---|---|---|---|---|---|---|---|
| 1 | 中国神华 | 10.0% | 15.68% | | 中国神华 | 1000.0% | 1803.00% |
| 2 | 中国石化 | 10.0% | 6.51% | | 中国石化 | 1000.0% | 721.00% |
| 3 | 中国石油 | 10.0% | 4.10% | | 中国石油 | 1000.0% | 436.00% |
| 4 | 中国联通 | 6.4% | 10.53% | | 中国联通 | 648.0% | 1252.00% |
| 5 | 长江电力 | 6.1% | 7.02% | | 长江电力 | 624.0% | 705.00% |
| 6 | 宝钢股份 | 5.5% | 13.53% | | 宝钢股份 | 560.0% | 1375.00% |
| 7 | 海螺水泥 | 5.2% | 11.09% | | 海螺水泥 | 533.0% | 1548.00% |
| 8 | 格力电器 | 3.9% | 5.96% | | 格力电器 | 394.0% | 624.00% |
| 9 | 美的集团 | 3.7% | 4.40% | | 美的集团 | 379.0% | 458.00% |
| 10 | 中国国航 | 3.2% | 7.70% | | 中国国航 | 326.0% | 911.00% |

### 2020-06-15

| # | 修正后 | w | FCF率 | | 旧版 | w | FCF率 |
|---|---|---|---|---|---|---|---|
| 1 | 中国神华 | 7.5% | 10.62% | | 中国神华 | 801.0% | 1327.00% |
| 2 | 中国联通 | 6.1% | 10.10% | | 中国联通 | 651.0% | 1169.00% |
| 3 | 美的集团 | 6.0% | 6.47% | | 美的集团 | 639.0% | 675.00% |
| 4 | 长江电力 | 5.8% | 6.43% | | 长江电力 | 613.0% | 651.00% |
| 5 | 海螺水泥 | 5.4% | 11.45% | | 海螺水泥 | 579.0% | 1563.00% |
| 6 | 中国国航 | 4.3% | 9.00% | | 中国国航 | 459.0% | 1016.00% |
| 7 | 格力电器 | 4.0% | 5.80% | | 格力电器 | 421.0% | 598.00% |
| 8 | 南方航空 | 3.8% | 7.62% | | 南方航空 | 409.0% | 836.00% |
| 9 | 国电电力 | 3.7% | 7.89% | | 国电电力 | 392.0% | 790.00% |
| 10 | 五粮液 | 3.6% | 3.61% | | 中国东航 | 389.0% | 847.00% |

### 2020-09-14

| # | 修正后 | w | FCF率 | | 旧版 | w | FCF率 |
|---|---|---|---|---|---|---|---|
| 1 | 中国神华 | 7.6% | 10.77% | | 中国神华 | 786.0% | 1238.00% |
| 2 | 中国联通 | 6.2% | 10.01% | | 中国联通 | 639.0% | 1153.00% |
| 3 | 美的集团 | 6.1% | 5.97% | | 美的集团 | 626.0% | 597.00% |
| 4 | 长江电力 | 5.9% | 5.75% | | 长江电力 | 601.0% | 563.00% |
| 5 | 海螺水泥 | 5.5% | 11.03% | | 海螺水泥 | 568.0% | 1460.00% |
| 6 | 中国国航 | 4.4% | 8.68% | | 中国国航 | 450.0% | 979.00% |
| 7 | 格力电器 | 4.0% | 6.17% | | 格力电器 | 413.0% | 617.00% |
| 8 | 南方航空 | 3.9% | 6.97% | | 南方航空 | 401.0% | 808.00% |
| 9 | 国电电力 | 3.7% | 7.71% | | 国电电力 | 385.0% | 771.00% |
| 10 | 中国东航 | 3.7% | 7.23% | | 中国东航 | 381.0% | 817.00% |

### 2020-12-14

| # | 修正后 | w | FCF率 | | 旧版 | w | FCF率 |
|---|---|---|---|---|---|---|---|
| 1 | 中国神华 | 8.3% | 9.55% | | 中国神华 | 827.0% | 1163.00% |
| 2 | 中国联通 | 6.8% | 10.33% | | 中国联通 | 672.0% | 1041.00% |
| 3 | 美的集团 | 6.6% | 4.93% | | 美的集团 | 659.0% | 501.00% |
| 4 | 长江电力 | 6.4% | 5.68% | | 长江电力 | 633.0% | 573.00% |
| 5 | 海螺水泥 | 6.0% | 12.28% | | 海螺水泥 | 598.0% | 1681.00% |
| 6 | 中国国航 | 4.8% | 8.53% | | 中国国航 | 473.0% | 972.00% |
| 7 | 格力电器 | 4.4% | 5.40% | | 格力电器 | 435.0% | 552.00% |
| 8 | 南方航空 | 4.2% | 7.01% | | 南方航空 | 422.0% | 815.00% |
| 9 | 国电电力 | 4.1% | 7.77% | | 国电电力 | 405.0% | 775.00% |
| 10 | 中国东航 | 4.0% | 7.37% | | 中国东航 | 401.0% | 830.00% |

### 2021-03-15

| # | 修正后 | w | FCF率 | | 旧版 | w | FCF率 |
|---|---|---|---|---|---|---|---|
| 1 | 中国联通 | 9.1% | 13.72% | | 中国联通 | 899.0% | 1373.00% |
| 2 | 中国神华 | 8.3% | 9.58% | | 中国神华 | 814.0% | 1081.00% |
| 3 | 美的集团 | 6.6% | 4.82% | | 美的集团 | 649.0% | 510.00% |
| 4 | 长江电力 | 6.3% | 5.41% | | 长江电力 | 623.0% | 548.00% |
| 5 | 海螺水泥 | 6.0% | 11.81% | | 海螺水泥 | 588.0% | 1619.00% |
| 6 | 中国国航 | 4.7% | 8.30% | | 中国国航 | 466.0% | 934.00% |
| 7 | 格力电器 | 4.3% | 5.83% | | 格力电器 | 428.0% | 594.00% |
| 8 | 南方航空 | 4.2% | 6.90% | | 南方航空 | 415.0% | 790.00% |
| 9 | 国电电力 | 4.0% | 7.66% | | 国电电力 | 398.0% | 767.00% |
| 10 | 中国东航 | 4.0% | 7.28% | | 中国东航 | 395.0% | 808.00% |

### 2021-06-14

| # | 修正后 | w | FCF率 | | 旧版 | w | FCF率 |
|---|---|---|---|---|---|---|---|
| 1 | 中国神华 | 10.0% | 14.61% | | 中国神华 | 1000.0% | 1756.00% |
| 2 | 中国石油 | 10.0% | 3.21% | | 中国石油 | 1000.0% | 341.00% |
| 3 | 中国联通 | 8.1% | 13.64% | | 中国联通 | 920.0% | 1368.00% |
| 4 | 中远海控 | 6.4% | 8.38% | | 中远海控 | 725.0% | 1053.00% |
| 5 | 长江电力 | 6.2% | 6.09% | | 长江电力 | 707.0% | 609.00% |
| 6 | 中国石化 | 6.1% | 2.95% | | 美的集团 | 470.0% | 375.00% |
| 7 | 美的集团 | 4.2% | 3.68% | | 中国中冶 | 459.0% | 662.00% |
| 8 | 中国中冶 | 4.1% | 6.47% | | 国电电力 | 425.0% | 809.00% |
