ts_code,total_mv,circ_mv
000716.SZ,457000.6184,448442.0926
603519.SH,311603.5716,311603.5716
300925.SZ,863419.8152,703985.8716
300153.SZ,956800.0,951807.0528
601816.SH,25001022.1581,25001022.1581
688035.SH,685596.8,685596.8
688329.SH,161965.6,161965.6
301025.SZ,389100.7368,269390.5193
002083.SZ,1069702.0836,1069347.8286
301311.SZ,447840.0,447840.0
600335.SH,936363.7212,936363.7212
301293.SZ,1098116.6277,858001.4841
300537.SZ,516191.3982,357509.6727
300658.SZ,416620.6595,282343.5455
002733.SZ,779572.0585,748422.538
688071.SH,258947.8171,258947.8171
601665.SH,3470767.1841,3470767.1841
300523.SZ,531344.3652,530706.7226
603197.SH,739262.6277,739262.6277
000977.SZ,9166231.2805,9155964.1206
300795.SZ,407990.1326,236506.998
600196.SH,7458509.1047,5916939.2882
002329.SZ,346280.0578,270561.7924
600757.SH,1087430.6446,1087293.4043
301598.SZ,354149.0019,88537.252
603050.SH,725167.909,725167.909
603311.SH,304290.24,304290.24
688049.SH,894406.0209,894406.0209
301069.SZ,1111350.6607,1033570.1807
688130.SH,257498.0302,128407.2502
688319.SH,1050150.2232,1048793.8591
688395.SH,200820.1127,200820.1127
600963.SH,734663.363,734663.363
600599.SH,144254.0,144254.0
688720.SH,594283.0712,380199.4832
600284.SH,791728.896,791728.896
000651.SZ,22892945.2635,22540440.7615
300931.SZ,257676.658,198478.645
002809.SZ,221768.5973,145795.0289
688103.SH,613260.1586,613260.1586
600826.SH,778930.0284,778930.0284
002182.SZ,1374623.0925,1199600.2709
001209.SZ,269095.4851,196609.6253
601200.SH,1070253.0495,1070253.0495
300866.SZ,5935264.6874,3342848.4273
000729.SZ,3461166.3107,3081796.9871
000538.SZ,9966890.9004,9902827.9208
002134.SZ,572092.4101,571737.5147
300727.SZ,583641.7805,524486.6705
000993.SZ,640674.0855,615206.8532
600315.SH,1509819.5511,1509819.5511
300289.SZ,381352.0524,380752.6974
301026.SZ,409454.8044,288659.1829
000810.SZ,1296852.5777,1261656.5668
301078.SZ,1299038.6945,1291831.1819
000066.SZ,4503215.5268,4502923.4138
300930.SZ,291900.0,137557.8779
605060.SH,956593.792,950027.0304
300903.SZ,802433.7066,635309.2485
002042.SZ,692177.3115,692177.3115
002650.SZ,774958.6768,774932.4268
300506.SZ,289368.1727,271876.5874
688129.SH,236017.9692,236017.9692
300018.SZ,519309.0235,480764.1086
001221.SZ,2273256.83,198476.7632
601858.SH,1413414.0,1413414.0
001313.SZ,581700.0,580973.5822
000702.SZ,230505.5904,177311.993
001387.SZ,264661.9584,164714.3415
301007.SZ,551717.32,550470.613
002455.SZ,404094.4628,353074.9285
600512.SH,380920.824,379389.834
601877.SH,6169689.9301,6169689.9301
600126.SH,2688242.5101,2688242.5101
300151.SZ,702911.6516,486513.7055
000726.SZ,565576.1416,407378.4666
002813.SZ,310440.0,310067.666
002274.SZ,539038.3896,530822.6076
601228.SH,2451972.6891,2451972.6891
601326.SH,1977943.848,1684175.886
300587.SZ,949034.4906,768966.3205
688070.SH,453226.5,453226.5
002997.SZ,734508.5294,734508.5294
002170.SZ,1135076.8596,920323.5128
300075.SZ,931695.237,773157.714
000820.SZ,215302.8746,98889.97
000901.SZ,1937234.8124,1937215.3357
300264.SZ,296429.9724,254855.1197
688456.SH,546391.86,546391.86
300796.SZ,303721.1554,303721.1554
688506.SH,14469988.6644,3606025.0826
605007.SH,548513.9078,462987.881
601678.SH,874155.4173,862680.4173
002235.SZ,753443.9692,719651.7926
002688.SZ,456035.9292,441750.9976
002421.SZ,598004.0222,565887.2864
600736.SH,666598.5932,666598.5932
688311.SH,657407.8766,657407.8766
601007.SH,301470.0,301470.0
301520.SZ,264733.3347,89041.7012
600059.SH,827680.511,827680.511
300604.SZ,5633495.2123,4346737.2228
000932.SZ,3792839.242,3792792.0741
002841.SZ,2626070.4243,1967036.3678
688475.SH,2287687.5,1189597.5
920675.BJ,176640.264,81072.3346
300987.SZ,284670.256,284670.256
301127.SZ,1011771.6476,998564.1324
688138.SH,897494.8,897494.8
688018.SH,2677631.0202,2510377.6064
603920.SH,2882369.268,2882369.268
601298.SH,5692694.7,4728849.775
601377.SH,6269726.7754,6269726.7754
300916.SZ,479350.2392,309611.0001
300039.SZ,644336.0,564826.5552
003026.SZ,392745.57,289956.7954
688351.SH,1128969.4,299538.8545
301099.SZ,608956.3061,372768.1253
300132.SZ,402933.0911,396303.4015
605166.SH,321341.9427,321341.9427
600326.SH,1500073.3297,1500073.3297
001373.SZ,197886.9243,95452.5199
920029.BJ,1351367.2699,309349.1398
301337.SZ,281756.8,100009.5356
300390.SZ,3974311.7698,3217414.9509
301100.SZ,477400.0,208862.5
300706.SZ,556650.0729,412619.7879
300069.SZ,212355.0,212355.0
300736.SZ,264184.3791,258303.0794
688212.SH,629156.048,629156.048
002022.SZ,309637.6429,309578.9479
300236.SZ,1940457.6412,1725877.3797
300909.SZ,724410.8361,514935.4604
600622.SH,428910.025,428910.025
603588.SH,1035799.4308,1035799.4308
688201.SH,413568.5761,394500.1019
002432.SZ,1924303.2178,1814345.9933
688050.SH,1181113.1897,1181113.1897
300592.SZ,426196.9883,369985.8034
600684.SH,368695.0323,368695.0323
603387.SH,411301.5023,411301.5023
920378.BJ,152415.48,109154.6187
002815.SZ,1646391.9484,1050696.0029
688068.SH,1762007.1076,1762007.1076
002862.SZ,368256.0,276735.4319
300408.SZ,8470918.3798,8264551.4351
600819.SH,768501.0087,614376.0071
300580.SZ,1156256.3282,1087579.3583
603086.SH,349154.9538,349154.9538
300103.SZ,235342.341,235149.392
300767.SZ,577448.2485,501374.2737
603982.SH,298675.5179,277754.8023
603022.SH,191400.0,191400.0
300009.SZ,1629035.7053,1197608.7947
603079.SH,317569.7683,287597.4494
300681.SZ,668470.2757,473389.2444
002560.SZ,502080.3344,432553.8819
300299.SZ,521176.5642,520363.4292
002879.SZ,344117.8145,245709.2969
920267.BJ,117010.0649,67621.9762
920057.BJ,117096.0899,74335.6586
300399.SZ,490245.6,490197.7787
300454.SZ,4737533.0739,3120295.6069
688229.SH,267110.4,267110.4
000056.SZ,248330.9262,189782.5719
920145.BJ,157679.25,108404.205
