ts_code,trade_date,total_mv,circ_mv,pe_ttm,pb
601816.SH,20230609,27696057.3206,27696057.3206,193.7224,1.4868
688329.SH,20230609,253216.0,149776.28,24.0375,3.1153
603050.SH,20230609,349724.9756,349724.9756,25.1919,2.6496
603311.SH,20230609,299336.678,266490.0,41.0243,2.3998
601886.SH,20230609,905268.6459,905268.6459,16.1327,1.4015
001234.SZ,20230609,225066.737,61330.737,34.8101,2.5083
600529.SH,20230609,1710797.1833,1710797.1833,27.0866,2.4001
300729.SZ,20230609,471810.0718,413416.4124,7.9776,1.7311
601388.SH,20230609,605396.5352,604208.2508,19.7812,1.4472
600449.SH,20230609,738311.5288,738311.5288,14.1792,1.076
920526.BJ,20230609,36139.9,9211.9897,21.4337,1.8493
301365.SZ,20230609,325980.0,81495.0,21.3122,1.9096
600608.SH,20230609,123980.7633,120026.0333,585.1827,18.8757
688102.SH,20230609,632815.82,361013.3112,92.5125,6.2268
300081.SZ,20230609,720916.1371,586419.7708,,3.9748
603051.SH,20230609,405004.46,212395.7157,576.4603,3.2095
000966.SZ,20230609,1520378.2175,723297.0695,57.5145,1.5442
600101.SH,20230609,373389.3456,373389.3456,21.2773,1.3691
605296.SH,20230609,1204894.8617,151603.0251,40.2278,2.6215
002144.SZ,20230609,193201.4431,150724.2683,23.7487,0.9829
300485.SZ,20230609,488891.396,274308.5022,49.3761,1.4669
688181.SH,20230609,343734.8316,343734.8316,21.5253,1.7364
301345.SZ,20230609,531251.9624,116447.9563,24.9962,1.8622
600461.SH,20230609,918964.5939,844580.7009,9.2412,1.2906
603117.SH,20230609,236796.0437,236796.0437,,1.7207
600405.SH,20230609,313153.9036,313153.9036,,3.7504
920906.BJ,20230609,74325.68,21008.8736,10.5208,1.3984
601956.SH,20230609,350901.7932,179425.2963,23.7039,1.447
300389.SZ,20230609,710136.9403,328030.5227,27.0367,6.0058
301123.SZ,20230609,539849.6,176597.8682,45.854,1.8109
000663.SZ,20230609,355538.229,323450.1368,11.4338,3.6914
605588.SH,20230609,372296.0642,117646.0642,48.8861,3.6392
688248.SH,20230609,2104636.9,303049.824,90.8901,8.0342
601113.SH,20230609,382036.6702,382036.6702,7.4876,0.9764
603003.SH,20230609,404858.155,404858.155,103.6502,1.1139
000793.SZ,20230609,487327.8915,478486.1021,,2.3905
300444.SZ,20230609,561347.7764,458440.8912,,4.5102
000709.SZ,20230609,2356863.609,2356472.8352,17.6125,0.4566
002391.SZ,20230609,451466.8223,322821.1136,16.5546,0.9817
002679.SZ,20230609,299881.632,299881.632,342.895,4.0766
603313.SH,20230609,445504.5178,445504.5178,163.1264,1.483
000982.SZ,20230609,647805.3121,647805.3121,284.3664,5.3073
301047.SZ,20230609,1151430.4,521025.9099,42.2415,1.8592
002176.SZ,20230609,2015170.5112,2014808.576,11.7758,4.6688
300829.SZ,20230609,366548.0759,237182.3715,35.0467,2.4082
000970.SZ,20230609,1422399.1544,1422399.1544,18.1687,2.1742
600692.SH,20230609,206485.5056,149691.1735,,2.2768
603113.SH,20230609,709722.3553,709722.3553,,0.8525
688237.SH,20230609,393985.7541,82732.4262,71.8905,3.0013
000821.SZ,20230609,1145466.7167,1053497.0762,35.545,3.412
002782.SZ,20230609,704097.2411,681031.4394,58.5293,3.9109
000567.SZ,20230609,1814679.6148,1809972.6264,23.7257,3.3938
300402.SZ,20230609,382992.0,382992.0,60.2479,5.537
002849.SZ,20230609,373754.0231,318717.2251,65.5917,2.997
002358.SZ,20230609,413741.8548,413340.244,95.7036,1.3331
300141.SZ,20230609,218848.5252,169392.1958,,3.3186
600010.SH,20230609,8263699.4891,5732476.056,,1.5709
002089.SZ,20230609,134717.6224,123392.3839,,1.3552
600861.SH,20230609,1276018.0664,714078.355,,2.1344
300560.SZ,20230609,454489.712,340722.7124,125.4165,4.0178
601958.SH,20230609,3507318.9828,3507318.9828,18.5327,2.5021
000701.SZ,20230609,367255.4444,267204.8158,72.7218,7.6543
601208.SH,20230609,992045.1716,960382.6816,25.8408,2.4845
002425.SZ,20230609,562519.0588,562119.708,,1.3
688271.SH,20230609,11274481.2758,684000.0,67.126,6.3277
600592.SH,20230609,326035.7139,326035.7139,41.2137,1.4166
600997.SH,20230609,951092.1107,951092.1107,5.6953,0.6996
603176.SH,20230609,298195.74,95845.7404,34.0391,3.0063
600216.SH,20230609,1079013.104,1075106.2251,27.4853,1.1477
600419.SH,20230609,575702.0623,546853.5623,26.6279,2.4354
603758.SH,20230609,424755.5434,424755.5434,21.1166,1.8447
300403.SZ,20230609,446220.0,290203.2167,21.6134,2.4614
301105.SZ,20230609,178050.0,44512.5,81.6698,1.9395
688056.SH,20230609,253346.7552,99631.1952,55.5867,3.0225
600626.SH,20230609,398872.3356,306824.8738,,1.3165
