ts_code,ann_date,end_date,n_cashflow_act,c_pay_acq_const_fiolta,f_ann_date,comp_type,report_type,end_type
000973.SZ,20230429,20230331,-35083270.21,11880953.09,20230429,1,1,1
000980.SZ,20230429,20230331,-97620536.0,12542884.74,20230429,1,1,1
000997.SZ,20230429,20230331,825649690.39,23683818.24,20230429,1,1,1
000998.SZ,20230429,20230331,-746766247.64,48942796.67,20230802,1,1,1
001872.SZ,20230429,20230331,699050929.84,309707402.32,20230429,1,1,1
002002.SZ,20230429,20230331,-563303.32,,20230429,1,1,1
002010.SZ,20230429,20230331,-159157284.25,364843321.06,20230429,1,1,1
002019.SZ,20230429,20230331,2042875.34,119562882.07,20230429,1,1,1
002024.SZ,20230429,20230331,1946085000.0,37791000.0,20230429,1,1,1
002030.SZ,20230429,20230331,-360633771.25,181116135.67,20230429,1,1,1
002325.SZ,20230429,20230331,-145913894.88,15000.0,20230429,1,1,1
002335.SZ,20230429,20230331,190478584.28,68870973.44,20230429,1,1,1
002340.SZ,20230429,20230331,-358713655.61,1094033599.21,20230429,1,1,1
002558.SZ,20230429,20230331,145934734.74,21174826.13,20230429,1,1,1
002583.SZ,20230429,20230331,79946286.8,72721522.8,20230429,1,1,1
002589.SZ,20230429,20230331,75590663.4,7849813.35,20230429,1,1,1
002595.SZ,20230429,20230331,133848126.42,44970811.88,20230429,1,1,1
002600.SZ,20230429,20230331,2549953502.81,663512327.08,20230429,1,1,1
002602.SZ,20230429,20230331,570230593.14,260551058.02,20230429,1,1,1
002663.SZ,20230429,20230331,-167281681.35,22444802.41,20230429,1,1,1
002665.SZ,20230429,20230331,-89163393.39,26624291.63,20230429,1,1,1
002678.SZ,20230429,20230331,-206485980.05,17215019.37,20230429,1,1,1
002681.SZ,20230429,20230331,59897848.54,32804316.57,20230429,1,1,1
002699.SZ,20230429,20230331,-15603914.97,17547027.37,20230429,1,1,1
002707.SZ,20230429,20230331,-89401232.65,2649357.61,20230429,1,1,1
002761.SZ,20230429,20230331,-2855896204.55,87602669.42,20230429,1,1,1
002791.SZ,20230429,20230331,-359430700.01,95722377.33,20230429,1,1,1
603486.SH,20230429,20230331,16757588.47,524406841.6,20230429,1,1,1
603517.SH,20230429,20230331,245500263.95,158432974.4,20230429,1,1,1
603556.SH,20230429,20230331,21487239.62,54628479.47,20230429,1,1,1
603567.SH,20230429,20230331,-153277856.55,1196999.89,20230429,1,1,1
603568.SH,20230429,20230331,348228964.08,686608942.74,20230429,1,1,1
603569.SH,20230429,20230331,72046636.61,15319437.28,20230429,1,1,1
603638.SH,20230429,20230331,-4710414.99,29875819.74,20230429,1,1,1
603698.SH,20230429,20230331,-177053029.88,17342271.09,20230429,1,1,1
002573.SZ,20230429,20230331,-241937131.12,218647519.78,20230429,1,1,1
002551.SZ,20230429,20230331,-30079313.39,,20230429,1,1,1
002344.SZ,20230429,20230331,115446035.47,19626598.35,20230429,1,1,1
002531.SZ,20230429,20230331,10814207.23,224041788.46,20230429,1,1,1
002345.SZ,20230429,20230331,121203562.42,43446896.05,20230429,1,1,1
002375.SZ,20230429,20230331,-1227945549.65,24780468.63,20230429,1,1,1
002382.SZ,20230429,20230331,-31920809.05,325922002.32,20230429,1,1,1
002385.SZ,20230429,20230331,-1092795540.55,251241160.17,20230429,1,1,1
002390.SZ,20230429,20230331,2178740.78,48342581.66,20230429,1,1,1
002392.SZ,20230429,20230331,-326563204.3,6687917.6,20230429,1,1,1
002399.SZ,20230429,20230331,-213979198.8,56252096.76,20230429,1,1,1
002411.SZ,20230429,20230331,-804221899.55,46551840.19,20230429,1,1,1
002424.SZ,20230429,20230331,-57871366.46,30532916.38,20230429,1,1,1
002426.SZ,20230429,20230331,121701409.62,79568999.66,20230429,1,1,1
002432.SZ,20230429,20230331,774274874.97,9597725.37,20230429,1,1,1
002434.SZ,20230429,20230331,143691690.73,67048169.42,20230429,1,1,1
002440.SZ,20230429,20230331,51923558.59,77588467.23,20230429,1,1,1
002468.SZ,20230429,20230331,393305905.79,537393217.23,20230429,1,1,1
002470.SZ,20230429,20230331,81860276.05,47879135.44,20230429,1,1,1
002482.SZ,20230429,20230331,-42079311.96,458053.0,20230429,1,1,1
002487.SZ,20230429,20230331,-869108162.07,227291018.53,20230429,1,1,1
002489.SZ,20230429,20230331,1191720023.95,81693200.38,20230429,1,1,1
002491.SZ,20230429,20230331,5250216.32,6378419.94,20230429,1,1,1
002498.SZ,20230429,20230331,102967534.77,27465299.69,20230429,1,1,1
002505.SZ,20230429,20230331,-565421656.2,62068126.78,20230429,1,1,1
000680.SZ,20230429,20230331,99377117.32,11197422.82,20230429.0,1.0,1.0,1.0
000816.SZ,20230429,20230331,-75608516.5,4277319.99,20230429,1,1,1
600295.SH,20230429,20230331,778040750.34,169077209.91,20230429.0,1.0,1.0,1.0
600745.SH,20230429,20230331,1747219850.92,1195327297.26,,,,
002466.SZ,20230429,20230331,4936111237.93,721488000.49,,,,
000425.SZ,20230429,20230331,804996166.89,1300313064.66,,,,
600837.SH,20230429,20230331,-377112384.85,151295060.1,,,,
601390.SH,20230429,20230331,-38024251000.0,7828408000.0,,,,
601877.SH,20230429,20230331,-1051009689.13,1709782625.47,,,,
601236.SH,20230429,20230331,-4344124876.14,13848922.63,,,,
600115.SH,20230429,20230331,6665000000.0,2638000000.0,,,,
000858.SZ,20230429,20230331,9535617536.41,1104203949.98,,,,
603369.SH,20230429,20230331,897372666.99,424638262.5,,,,
601238.SH,20230429,20230331,-738369880.0,2550516706.0,,,,
688819.SH,20230429,20230331,186714593.25,454914182.68,20230429.0,1.0,1.0,1.0
600905.SH,20230429,20230331,3743709073.26,6057587825.51,,,,
600518.SH,20230429,20230331,-203223900.59,28252717.53,20230429.0,1.0,1.0,1.0
600188.SH,20230429,20230331,8621296000.0,3624789000.0,,,,
600377.SH,20230429,20230331,1623269207.65,674751790.28,,,,
600618.SH,20230429,20230331,-50053593.89,119857877.06,20230429.0,1.0,1.0,1.0
600635.SH,20230429,20230331,443118673.82,58981438.41,20230429.0,1.0,1.0,1.0
600009.SH,20230429,20230331,-33041140.33,310643315.81,,,,
601858.SH,20230429,20230331,-258851374.1,7253108.16,20230429.0,1.0,1.0,1.0
601018.SH,20230429,20230331,3434397000.0,2332300000.0,20230429.0,1.0,1.0,1.0
601058.SH,20230429,20230331,656304202.66,339646173.56,20230429.0,1.0,1.0,1.0
601158.SH,20230429,20230331,595674960.72,313170913.92,20230429.0,1.0,1.0,1.0
601200.SH,20230429,20230331,-222888088.18,226843378.58,20230429.0,1.0,1.0,1.0
601233.SH,20230429,20230331,-2293260872.07,3065311294.84,20230429.0,1.0,1.0,1.0
600588.SH,20230429,20230331,-1166743199.0,353210318.0,,,,
688009.SH,20230429,20230331,-1307374461.57,90851157.39,,,,
600026.SH,20230429,20230331,1842207664.7,1421679739.81,,,,
601169.SH,20230429,20230331,-33582000000.0,87000000.0,,,,
600525.SH,20230429,20230331,-169367406.32,42215272.14,20230429.0,1.0,1.0,1.0
600528.SH,20230429,20230331,-1630904337.82,98313907.39,20230429.0,1.0,1.0,1.0
600537.SH,20230429,20230331,146606555.23,179624697.81,20230429.0,1.0,1.0,1.0
600545.SH,20230429,20230331,-183864000.0,20475000.0,20230429.0,1.0,1.0,1.0
600567.SH,20230429,20230331,363562354.14,753137022.59,20230429.0,1.0,1.0,1.0
600580.SH,20230429,20230331,-12725546.33,229078009.68,20230429.0,1.0,1.0,1.0
600601.SH,20230429,20230331,51465836.5,61084401.61,20230429.0,1.0,1.0,1.0
600611.SH,20230429,20230331,72710485.85,124602656.87,20230429.0,1.0,1.0,1.0
002353.SZ,20230429,20230331,123193666.59,513398015.07,20230429.0,1.0,1.0,1.0
000786.SZ,20230429,20230331,-316567846.29,221316601.83,,,,
600628.SH,20230429,20230331,-13743271.34,21255530.68,20230429.0,1.0,1.0,1.0
601001.SH,20230429,20230331,1981382899.76,248876003.93,20230429.0,1.0,1.0,1.0
601688.SH,20230429,20230331,-37755343658.31,194156771.53,,,,
600460.SH,20230429,20230331,-235414094.67,320653436.59,,,,
601872.SH,20230429,20230331,2235688490.05,891204501.59,,,,
601117.SH,20230429,20230331,-6020685337.45,671350921.58,,,,
000876.SZ,20230429,20230331,-1684234045.85,1646536357.45,,,,
600027.SH,20230429,20230331,2444797000.0,1780201000.0,,,,
600754.SH,20230429,20230331,1312570255.48,150417242.56,20230429.0,1.0,1.0,1.0
000333.SZ,20230429,20230331,9272312000.0,1554048000.0,,,,
000596.SZ,20230429,20230331,3078684397.05,539157118.68,,,,
601211.SH,20230429,20230331,-20749537510.0,222635164.0,,,,
688506.SH,20230429,20230331,-187898141.8,29217073.6,,,,
601258.SH,20230429,20230331,-281455375.0,101867750.0,20230429.0,1.0,1.0,1.0
601515.SH,20230429,20230331,-229337793.22,192428669.74,20230429.0,1.0,1.0,1.0
601598.SH,20230429,20230331,-115014941.85,336126358.67,20230429.0,1.0,1.0,1.0
600640.SH,20230429,20230331,192759770.3,3761806.73,20230429.0,1.0,1.0,1.0
600654.SH,20230429,20230331,-60939979.09,2792007.52,20230429.0,1.0,1.0,1.0
600655.SH,20230429,20230331,3654509246.14,162787803.95,20230429.0,1.0,1.0,1.0
600666.SH,20230429,20230331,15175409.13,3040207.16,20230429.0,1.0,1.0,1.0
600673.SH,20230429,20230331,158184276.76,282153263.0,20230429.0,1.0,1.0,1.0
600682.SH,20230429,20230331,225294070.15,99416025.25,20230429.0,1.0,1.0,1.0
600694.SH,20230429,20230331,749428041.88,6006951.58,20230429.0,1.0,1.0,1.0
600728.SH,20230429,20230331,-104476364.55,42903929.74,20230429.0,1.0,1.0,1.0
600729.SH,20230429,20230331,615899044.19,53136026.54,20230429.0,1.0,1.0,1.0
600733.SH,20230429,20230331,-1218268580.2,266197597.13,20230429.0,1.0,1.0,1.0
600737.SH,20230429,20230331,-3119743220.72,119104128.47,20230429.0,1.0,1.0,1.0
600739.SH,20230429,20230331,-385585423.69,173973915.21,20230429.0,1.0,1.0,1.0
600751.SH,20230429,20230331,-135395000.0,13000.0,20230429.0,1.0,1.0,1.0
600770.SH,20230429,20230331,5168401.91,10173701.78,20230429.0,1.0,1.0,1.0
600978.SH,20230429,20230331,-1909361.41,,20230429.0,1.0,1.0,1.0
600776.SH,20230429,20230331,-161536679.82,31305364.72,20230429.0,1.0,1.0,1.0
600777.SH,20230429,20230331,1473618198.25,1173769283.52,20230429.0,1.0,1.0,1.0
600779.SH,20230429,20230331,-16292942.48,320754566.47,20230429.0,1.0,1.0,1.0
600783.SH,20230429,20230331,-40855186.65,869146.66,20230429.0,1.0,1.0,1.0
600787.SH,20230429,20230331,-894839266.01,212402461.58,20230429.0,1.0,1.0,1.0
600811.SH,20230429,20230331,73076617.14,2895992.77,20230429.0,1.0,1.0,1.0
600823.SH,20230429,20230331,904434851.67,28484417.32,20230429.0,1.0,1.0,1.0
600827.SH,20230429,20230331,2934018062.24,264668725.55,20230429.0,1.0,1.0,1.0
688223.SH,20230429,20230331,-289686624.15,3098707142.01,,,,
600651.SH,20230429,20230331,-45609267.1,17366675.31,20230429.0,1.0,1.0,1.0
600761.SH,20230429,20230331,465961681.34,93012955.22,20230429.0,1.0,1.0,1.0
601611.SH,20230429,20230331,-11667784488.3,690261828.13,20230429.0,1.0,1.0,1.0
600637.SH,20230429,20230331,-60376329.38,309478599.09,20230429.0,1.0,1.0,1.0
601615.SH,20230429,20230331,-1763681387.85,2123138299.59,20230429.0,1.0,1.0,1.0
601777.SH,20230429,20230331,51854630.06,53406874.79,20230429.0,1.0,1.0,1.0
601778.SH,20230429,20230331,-1043681545.83,831610325.6,20230429.0,1.0,1.0,1.0
601801.SH,20230429,20230331,941452097.71,35414555.6,20230429.0,1.0,1.0,1.0
601828.SH,20230429,20230331,1076288459.82,190739887.84,20230429.0,1.0,1.0,1.0
601866.SH,20230429,20230331,253922678.39,702161654.81,20230429.0,1.0,1.0,1.0
600993.SH,20230429,20230331,-90728201.78,44466310.88,20230429.0,1.0,1.0,1.0
601869.SH,20230429,20230331,-53560243.0,605078361.0,20230429.0,1.0,1.0,1.0
601918.SH,20230429,20230331,697000451.15,371579896.18,20230429.0,1.0,1.0,1.0
601928.SH,20230429,20230331,658636140.02,175154170.23,20230429.0,1.0,1.0,1.0
601929.SH,20230429,20230331,-44640872.18,218939903.83,20230429.0,1.0,1.0,1.0
601933.SH,20230429,20230331,1096074324.06,128180558.08,20230429.0,1.0,1.0,1.0
601966.SH,20230429,20230331,15300160.0,797109669.0,20230429.0,1.0,1.0,1.0
601969.SH,20230429,20230331,454721700.0,234896750.0,20230429.0,1.0,1.0,1.0
603026.SH,20230429,20230331,-264699806.04,304095670.36,20230429.0,1.0,1.0,1.0
603077.SH,20230429,20230331,347430102.23,159503329.63,20230429.0,1.0,1.0,1.0
603169.SH,20230429,20230331,78441434.69,4121545.35,20230429.0,1.0,1.0,1.0
603179.SH,20230429,20230331,116839194.81,196312562.37,20230429.0,1.0,1.0,1.0
603188.SH,20230429,20230331,34062595.87,2831794.71,20230429.0,1.0,1.0,1.0
603225.SH,20230429,20230331,-2422127802.98,909043594.1,20230429.0,1.0,1.0,1.0
603228.SH,20230429,20230331,505310161.7,348160646.92,20230429.0,1.0,1.0,1.0
601010.SH,20230429,20230331,228311777.72,55648805.12,20230429.0,1.0,1.0,1.0
600988.SH,20230429,20230331,463472617.38,422399506.34,20230429.0,1.0,1.0,1.0
600521.SH,20230429,20230331,373933429.54,512853355.68,20230429.0,1.0,1.0,1.0
002027.SZ,20230429,20230331,2073156997.61,33104163.22,,,,
600859.SH,20230429,20230331,1266654946.32,144988407.06,20230429.0,1.0,1.0,1.0
600167.SH,20230429,20230331,-321183568.75,51205077.07,20230429.0,1.0,1.0,1.0
000088.SZ,20230429,20230331,61246741.14,,20230429.0,1.0,1.0,1.0
000050.SZ,20230429,20230331,460593868.59,872967428.87,20230429.0,1.0,1.0,1.0
000727.SZ,20230429,20230331,1123084988.5,212878205.0,20230429.0,1.0,1.0,1.0
000156.SZ,20230429,20230331,-355162138.49,388355998.36,20230429.0,1.0,1.0,1.0
000717.SZ,20230429,20230331,1078906834.23,213017379.36,20230429.0,1.0,1.0,1.0
000758.SZ,20230429,20230331,804708109.41,91438386.49,20230429.0,1.0,1.0,1.0
600104.SH,20230429,20230331,-9863191963.88,3740858572.11,,,,
601186.SH,20230429,20230331,-39215590000.0,9416947000.0,,,,
000612.SZ,20230429,20230331,-611157018.02,22696900.97,20230429.0,1.0,1.0,1.0
600153.SH,20230429,20230331,-12053668249.85,224640695.8,20230429.0,1.0,1.0,1.0
600166.SH,20230429,20230331,1094246748.99,195037495.58,20230429.0,1.0,1.0,1.0
000572.SZ,20230429,20230331,-99798232.76,75660068.24,20230429.0,1.0,1.0,1.0
000732.SZ,20230429,20230331,32351322.2,113445.63,20230429.0,1.0,1.0,1.0
000540.SZ,20230429,20230331,3978924333.52,4865249.82,20230429.0,1.0,1.0,1.0
600875.SH,20230429,20230331,-2549740798.22,173954101.5,,,,
601816.SH,20230429,20230331,3865974679.94,782219518.37,,,,
600018.SH,20230429,20230331,3090140653.74,815323900.51,,,,
600959.SH,20230429,20230331,25616577.31,401275065.6,20230429.0,1.0,1.0,1.0
000564.SZ,20230429,20230331,-25167266.75,4727391.16,20230429.0,1.0,1.0,1.0
600956.SH,20230429,20230331,1121097272.5,1410153376.44,20230429.0,1.0,1.0,1.0
000555.SZ,20230429,20230331,-1235801561.1,14213224.12,20230429.0,1.0,1.0,1.0
600917.SH,20230429,20230331,-168755087.18,100365579.16,20230429.0,1.0,1.0,1.0
600881.SH,20230429,20230331,1597603162.75,22892689.07,20230429.0,1.0,1.0,1.0
600851.SH,20230429,20230331,-3828556.17,13000408.89,20230429.0,1.0,1.0,1.0
000547.SZ,20230429,20230331,-53317858.32,27957382.71,20230429.0,1.0,1.0,1.0
002736.SZ,20230429,20230331,-4870623089.1,92639236.27,,,,
000066.SZ,20230429,20230331,-292802510.21,261175817.68,20230429.0,1.0,1.0,1.0
000021.SZ,20230429,20230331,512120752.57,362121977.91,20230429.0,1.0,1.0,1.0
000009.SZ,20230429,20230331,1727503958.72,870939455.45,20230429.0,1.0,1.0,1.0
000623.SZ,20230429,20230331,-230225528.25,55212327.72,20230429.0,1.0,1.0,1.0
600271.SH,20230429,20230331,-1165445104.92,166783938.66,20230429.0,1.0,1.0,1.0
600187.SH,20230429,20230331,16162487.61,14248283.3,20230429.0,1.0,1.0,1.0
600240.SH,20230429,20230331,221626.58,,20230429.0,1.0,1.0,1.0
600273.SH,20230429,20230331,75378106.67,177124255.12,20230429.0,1.0,1.0,1.0
600284.SH,20230429,20230331,-1913005203.85,2021631.73,20230429.0,1.0,1.0,1.0
600289.SH,20230429,20230331,-73137191.67,4412485.61,20230429.0,1.0,1.0,1.0
600298.SH,20230429,20230331,126096793.89,521310841.99,20230429.0,1.0,1.0,1.0
