ts_code,end_date,total_liab,money_cap,total_assets
300023.SZ,20090930,56271149.68,27795711.88,121400674.91
002091.SZ,20090930,688771805.32,435966840.19,1482097551.26
002250.SZ,20090930,620598731.93,135399383.71,1301505465.56
002298.SZ,20090930,502291485.33,348871832.22,945313786.41
002268.SZ,20090930,86527045.51,219197938.17,452618801.83
002160.SZ,20090930,773656113.36,176757147.41,1402789049.98
002296.SZ,20090930,106737252.29,445047313.75,653949353.09
600836.SH,20090930,1691920626.29,212692711.11,2273135136.8
002286.SZ,20090930,592350506.84,586385752.67,1246571204.6
600380.SH,20090930,1833670468.42,1024714299.97,6008798052.97
601600.SH,20090930,76489592000.0,8515459000.0,133156742000.0
600356.SH,20090930,568009132.23,194294018.17,1682810270.26
002134.SZ,20090930,118559172.79,173819661.53,822183060.4
000820.SZ,20090930,1612551630.18,29594910.68,1781859353.09
000690.SZ,20090930,2992702919.26,364933174.39,5863208880.87
002094.SZ,20090930,531282070.02,192535338.39,967158514.22
300017.SZ,20090930,23054246.03,68197887.93,214836311.44
002161.SZ,20090930,159785261.71,155140569.3,613673829.0
002259.SZ,20090930,1086291449.57,307273061.74,1582255367.13
600963.SH,20090930,6623334388.29,603136669.71,9613590655.15
002274.SZ,20090930,1956543845.0,448105268.87,3276611916.8
000948.SZ,20090930,954842176.82,513201432.53,2116927655.68
000552.SZ,20090930,205176443.74,155369099.69,673211121.23
000750.SZ,20090930,296404553.05,5032416.26,508152830.75
000611.SZ,20090930,98434453.48,77955500.12,867989534.49
600135.SH,20090930,66174335.61,336153530.41,1049088011.81
600766.SH,20090930,580003515.16,91482374.73,659766282.14
000939.SZ,20090930,4781872606.89,673894128.93,7424981973.48
000504.SZ,20090930,295208441.59,88155830.55,557237111.77
000011.SZ,20090930,1839513775.04,646910616.69,2571190262.5
000069.SZ,20090930,8697593839.79,1244711574.39,16003901771.62
000529.SZ,20090930,187979951.95,299095547.07,827643683.09
600293.SH,20090930,1251048301.91,391600304.67,1941620806.59
000150.SZ,20090930,463840506.79,317952982.48,1161061315.35
000156.SZ,20090930,910949270.45,30478516.85,343281031.95
600748.SH,20090930,10999338075.39,2748416003.83,13658570037.87
002076.SZ,20090930,97189083.18,108163234.66,485738429.1
601727.SH,20090930,61300917000.0,16791449000.0,90411041000.0
600466.SH,20090930,53602825.15,168264978.11,541685676.5
600694.SH,20090930,7992209525.11,3256664265.46,11195945247.59
600780.SH,20090930,1024875180.87,143843025.11,2693969121.41
600784.SH,20090930,1159049703.01,299913506.9,1593407973.9
002098.SZ,20090930,692474158.28,138969573.22,1288332771.03
600020.SH,20090930,15112979074.14,1749627061.2,20902821575.02
600419.SH,20090930,271665489.21,8751707.91,425638594.55
