ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit,rd_exp,fin_exp_int_exp,fin_exp_int_inc,transfer_surplus_rese,transfer_housing_imprest,transfer_oth,adj_lossgain,withdra_legal_surplus,withdra_legal_pubfund,withdra_biz_devfund,withdra_rese_fund,withdra_oth_ersu,workers_welfare,distr_profit_shrhder,prfshare_payable_dvd,comshare_payable_dvd,capit_comstock_div,continued_net_profit,update_flag
002371.SZ,20251031,20251031.0,20250930,1.0,1.0,3.0,7.1093,7.1016,27301379656.81,27301379656.81,,,,,,,,,,,,,,,11354234.98,-24973697.4,8061831.23,,22541994612.6,15996717765.82,,,151607658.72,853195740.51,1884700257.06,149870306.97,-13195810.35,,,,,,,,,,,5275895135.1,33221673.61,6174818.94,,5302941989.77,322706337.07,4980235652.7,5130342602.7,-150106950.0,2074683.6,4982310336.3,5132609412.81,-150299076.51,5450991641.83,,,,,3285278279.71,188851581.42,72145057.43,,,,,,,,,,,,,,,4980235652.7,1.0
601169.SH,20251031,20251031.0,20250930,1.0,2.0,3.0,0.96,0.96,51588000000.0,51588000000.0,90315000000.0,,4089000000.0,3269000000.0,9058000000.0,91000000.0,,,,,,,,106000000.0,-1189000000.0,9903000000.0,285000000.0,253000000.0,27636000000.0,,51069000000.0,820000000.0,709000000.0,,14510000000.0,,,,,,,,27636000000.0,,,,15000000.0,23952000000.0,30000000.0,19000000.0,,23963000000.0,2858000000.0,21105000000.0,21064000000.0,41000000.0,-5040000000.0,16065000000.0,16024000000.0,41000000.0,,,,,,,,,,,,,,,,,,,,,,,,1.0
688169.SH,20251031,20251031.0,20250930,1.0,1.0,3.0,4.03,4.02,12066472888.0,12066472888.0,,,,,,,,,,,,,,,24670937.0,85928807.0,,,11303387188.0,6790115816.0,,,56921695.0,3180447275.0,310534829.0,-178784321.0,-116095942.0,,,,,,,,,,,1014461893.0,5178469.0,5285466.0,,1014354896.0,-23385948.0,1037740844.0,1037760855.0,-20011.0,67041130.0,1104781974.0,1104801985.0,-20011.0,840515967.0,,,,,1027912518.0,7456387.0,121460591.0,,,,,,,,,,,,,,,1037740844.0,1.0
688297.SH,20251031,20251031.0,20250930,1.0,1.0,3.0,0.05,0.05,1547641201.18,1547641201.18,,,,,,,,,,,,,,,4546433.19,6554927.88,,,1541735848.14,1375803297.45,,,856461.1,14224763.27,84129073.1,-15950468.79,,,,,,,,,,,,31256591.05,43363.45,731460.02,,30568494.48,-3271295.04,33839789.52,33839789.52,,,33839789.52,33839789.52,,,,,,,65546080.09,1888433.83,17860321.08,,,,,,,,,,,,,,,33839789.52,0.0
000009.SZ,20251031,20251031.0,20250930,1.0,1.0,3.0,0.1098,0.1098,16812460297.8,16812458333.93,1963.87,,,,,,,,,,,,,,62143701.69,215924148.95,75799995.31,,15726876338.76,12345165304.76,,126547.66,123581872.05,798476820.83,1000119109.72,492781720.94,-164035801.85,,,,,,,,,,,1600135489.82,7799110.33,17515800.3,,1590418799.85,271503147.71,1318915652.14,283233120.17,1035682531.97,2811993.15,1321727645.29,286793677.91,1034933967.38,,,,,,764497087.08,435847449.9,70441980.54,,,,,,,,,,,,,,,1318915652.14,0.0
600132.SH,20251031,20251031.0,20250930,1.0,1.0,3.0,2.56,2.56,13058752753.11,13058752753.11,,,,,,,,,,,,,,,90769.76,16686580.68,12434108.99,,9887433554.25,6507345483.67,,,849351124.57,2036819247.67,448049760.87,-9684153.9,-29454843.38,,,,,,,,,,,3233077894.42,11474694.68,11711926.37,,3232840662.73,749944602.16,2482896060.57,1240930863.97,1241965196.6,4060297.62,2486956358.19,1243157202.46,1243799155.73,3232157524.06,,,,,10916310.23,4675587.2,17187884.42,,,,,,,,,,,,,,,2503235014.79,1.0
688563.SH,20251031,20251031.0,20250930,1.0,1.0,3.0,0.89,0.89,2039415111.57,2039415111.57,,,,,,,,,,,,,,,7158491.59,42396405.39,,,1643564718.05,1404301008.58,,,14602127.64,13464344.38,62607693.74,-26642878.74,3197425.69,,,,,,,,,,,448345238.71,310179.14,563563.28,,448091854.57,47999678.26,400092176.31,400092176.31,,,400092176.31,400092176.31,,368950037.3,,,,,141910215.32,3948101.09,32388301.71,,,,,,,,,,,,,,,400092176.31,1.0
601866.SH,20251031,20251031.0,20250930,1.0,1.0,3.0,0.1045,0.1045,19565615760.18,19565615760.18,,,,,,,,,,,,,,,156302918.16,1304943002.71,1303577060.12,,19303215587.18,15968420402.37,,,66535368.74,7451797.63,707926929.83,2678835977.32,-86822.4,,,,,,,,,,,1785466624.11,20356376.9,28886951.71,,1776936049.3,316864300.58,1460071748.72,1390749407.45,69322341.27,-136654433.17,1323417315.55,1254094974.28,69322341.27,,,,,,24969066.26,2770709649.77,68140050.22,,,,,,,,,,,,,,,1460071748.72,0.0
600067.SH,20251031,,20250930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262239775.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002436.SZ,20251031,20251031.0,20250930,1.0,1.0,3.0,0.08,0.08,5373027880.87,5373027880.87,,,,,,,,,,,,,,,-39338553.11,30659542.23,-931343.9,,5443410183.44,4305503839.67,,,39614859.05,162421265.25,390195367.32,147158107.14,-16384545.81,,,,,,,,,,,-69532843.86,1791806.27,11338540.15,,-79079577.74,-37957314.47,-41122263.27,131491435.36,-172613698.63,158959513.99,117837250.72,283358713.81,-165521463.09,102381764.03,,,,,356365016.1,128923144.52,6977504.09,,,,,,,,,,,,,,,-41122263.27,1.0
600089.SH,20251031,,20250930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7263882019.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600289.SH,20251031,,20250930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-136493605.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
