ts_code,ann_date,f_ann_date,end_date,operate_profit
002310.SZ,20150418,20150418,20141231,725438645.1
002267.SZ,20150428,20150428,20141231,606563759.41
002311.SZ,20150428,20150428,20141231,701395779.38
002312.SZ,20150325,20150325,20141231,50505842.61
002315.SZ,20150416,20150416,20141231,99858497.17
002294.SZ,20150325,20150325,20141231,1207185744.28
002318.SZ,20150317,20150317,20141231,206773731.07
002317.SZ,20150317,20150317,20141231,240804565.02
002326.SZ,20150324,20150324,20141231,84824498.62
002325.SZ,20150428,20150428,20141231,350018709.12
002327.SZ,20150414,20150414,20141231,485223409.66
002332.SZ,20150402,20150402,20141231,69107772.16
002335.SZ,20150306,20200430,20141231,129513980.59
002340.SZ,20150327,20150327,20141231,162360091.35
002342.SZ,20150320,20150320,20141231,33283858.87
002344.SZ,20150327,20150327,20141231,1205300690.07
002345.SZ,20150327,20150327,20141231,271591578.56
002352.SZ,20150429,20150429,20141231,27108097.01
002353.SZ,20150331,20150331,20141231,1393595284.84
002354.SZ,20150212,20150212,20141231,255528892.53
002358.SZ,20150429,20151029,20141231,299256622.28
002366.SZ,20150417,20150417,20141231,36035183.98
002368.SZ,20150328,20150328,20141231,180496478.04
002371.SZ,20150311,20150311,20141231,56508236.58
002375.SZ,20150429,20150429,20141231,1245322727.97
002373.SZ,20150428,20150428,20141231,254496572.89
002372.SZ,20150425,20150425,20141231,440041359.74
002382.SZ,20150416,20150416,20141231,65172131.21
002384.SZ,20150403,20150403,20141231,34485828.78
002385.SZ,20150410,20150410,20141231,912118423.89
002387.SZ,20150414,20150414,20141231,-8037857.58
002392.SZ,20150417,20150417,20141231,226694200.46
002390.SZ,20150422,20150422,20141231,175050923.61
002396.SZ,20150402,20150402,20141231,198213418.95
002400.SZ,20150331,20150331,20141231,629519247.65
002399.SZ,20150428,20150428,20141231,390182386.76
002402.SZ,20150326,20150326,20141231,52292944.76
002405.SZ,20150326,20150326,20141231,61287093.3
002407.SZ,20150303,20150303,20141231,1679888.64
002409.SZ,20150331,20150331,20141231,77111864.03
002408.SZ,20150317,20150317,20141231,348196676.39
002411.SZ,20150317,20150317,20141231,24852634.82
002410.SZ,20150326,20150326,20141231,516992177.99
002414.SZ,20150327,20150327,20141231,41640079.07
002415.SZ,20150312,20150312,20141231,4377564181.26
002416.SZ,20150421,20150421,20141231,-54356062.3
002422.SZ,20150331,20150331,20141231,1088751954.0
002419.SZ,20150311,20150311,20141231,757316424.82
002423.SZ,20150410,20150410,20141231,-59974319.01
002426.SZ,20150327,20150327,20141231,165303477.45
002424.SZ,20150403,20150403,20141231,371529050.48
002430.SZ,20150328,20150328,20141231,171594849.05
002429.SZ,20150418,20150418,20141231,724065036.53
002428.SZ,20150401,20150401,20141231,120476321.46
002432.SZ,20150414,20150414,20141231,20313175.75
002431.SZ,20150415,20150415,20141231,522541028.72
002436.SZ,20150415,20150415,20141231,125425369.06
002434.SZ,20150414,20150414,20141231,226014424.01
002437.SZ,20150403,20150403,20141231,491154517.37
002439.SZ,20150328,20150328,20141231,113472186.76
002444.SZ,20150417,20160426,20141231,628506249.97
002456.SZ,20150421,20150421,20141231,636839284.35
002450.SZ,20150415,20150415,20141231,1174515358.01
002440.SZ,20150429,20150429,20141231,1643497129.74
