ts_code,end_date,operate_profit,total_revenue
000594.SZ,20040930,53518156.37,175646350.85
000790.SZ,20040930,3343994.44,124319947.48
000728.SZ,20040930,87283880.0,976020364.0
000753.SZ,20040930,16062510.7,94105182.42
000833.SZ,20040930,33717161.26,593966449.62
000875.SZ,20040930,73018039.93,857002257.05
000803.SZ,20040930,-7521513.05,38952740.0
000795.SZ,20040930,9057884.59,270844850.56
000882.SZ,20040930,15221390.15,923178586.98
000039.SZ,20040930,2228180495.1,18561959693.51
000024.SZ,20040930,229151697.0,1812977109.0
000903.SZ,20040930,55178238.94,1127430380.32
000155.SZ,20040930,-48141456.2,595875051.81
000063.SZ,20040930,739158787.0,16333139432.0
000887.SZ,20040930,-84321090.52,374776979.02
000880.SZ,20040930,1469123.09,807394592.99
000096.SZ,20040930,130047178.88,1397983731.85
000090.SZ,20040930,35096613.91,1039124539.58
000918.SZ,20040930,16712424.23,761688060.07
000916.SZ,20040930,263962883.24,497777972.13
000932.SZ,20040930,978673492.98,16134707560.83
000908.SZ,20040930,4828669.64,157554052.85
000923.SZ,20040930,2611248.66,393699763.38
000589.SZ,20040930,18325742.8,1704985006.77
000517.SZ,20040930,13542030.48,517453423.9
000969.SZ,20040930,83080613.47,904127213.54
000533.SZ,20040930,7967995.82,959002372.3
000530.SZ,20040930,87680049.0,949269905.25
000507.SZ,20040930,30691826.87,101730201.62
000963.SZ,20040930,65971948.69,2169476591.18
000995.SZ,20040930,2913735.82,58421242.51
002004.SZ,20040930,39402322.02,202855844.91
000536.SZ,20040930,11003142.63,84007240.87
002010.SZ,20040930,43170877.78,475755733.39
000571.SZ,20040930,7820571.79,620179787.75
000557.SZ,20040930,-44968199.68,13558123.88
000997.SZ,20040930,42922061.99,276288550.59
002001.SZ,20040930,65207076.69,832583087.39
600748.SH,20040930,67601010.62,229391067.85
000046.SZ,20040930,25419091.74,528575787.08
600536.SH,20040930,18885084.45,417281879.81
000968.SZ,20040930,225156755.75,1053810906.63
600085.SH,20040930,335924141.9,1923783084.37
