ts_code,ann_date,f_ann_date,end_date,total_liab,money_cap,total_assets
600517.SH,20150411,20150411,20141231,2746923807.95,1119591389.62,5244803442.6
600518.SH,20150410,20150410,20141231,11160588016.13,9985269214.29,27879317009.31
600519.SH,20150421,20150421,20141231,10561614383.51,27710717680.21,65873165224.63
600521.SH,20150407,20150407,20141231,1243941213.38,526633287.9,4510016153.18
600522.SH,20150422,20150422,20141231,3673779337.91,2061823133.81,11799171331.16
600525.SH,20150417,20150417,20141231,3255238659.51,462791930.65,6277432999.66
600528.SH,20150320,20150320,20141231,52099499059.7,6549606221.2,58980591500.73
600529.SH,20150421,20150421,20141231,692561460.85,227120819.91,2818180079.3
600535.SH,20150331,20150331,20141231,7852890155.08,1115766154.29,12921349038.32
600536.SH,20150324,20150324,20141231,2103106363.26,1431263586.83,4427301923.86
600537.SH,20150414,20150414,20141231,3993821693.15,461748082.42,5365941132.63
600545.SH,20150422,20150422,20141231,7406667587.33,535123535.18,9580249686.8
600546.SH,20150424,20150424,20141231,38532694542.72,3211502214.7,47797485802.29
600547.SH,20150327,20150327,20141231,12722530405.44,504148538.51,22599012418.39
600549.SH,20150327,20150327,20141231,8226954160.36,1084853145.73,17318202459.48
600551.SH,20150407,20150407,20141231,2378333860.98,1125610249.32,6165642175.46
600556.SH,20150428,20150428,20141231,52490619.78,30730150.38,54472584.15
600562.SH,20150430,20150430,20141231,487793991.06,294875556.37,1370590025.19
600557.SH,20150424,20150424,20141231,1598724939.34,553542219.35,4154971721.55
600563.SH,20150326,20150326,20141231,217634638.25,362564402.49,2022858719.03
600565.SH,20150304,20150828,20141231,17270263330.48,4312471390.54,23368883616.38
600566.SH,20150216,20150216,20141231,1063721441.23,645056206.73,3357715989.98
600567.SH,20150430,20150430,20141231,12507190744.56,2261808376.64,18499754357.61
600570.SH,20150410,20150410,20141231,994983132.23,522325564.63,3030789151.59
600572.SH,20150423,20150423,20141231,2928604225.58,668941139.6,6298876625.08
600575.SH,20150430,20150430,20141231,3778825501.3,808453475.2,7321633028.89
600578.SH,20150402,20150402,20141231,22075884466.46,3411929270.75,40014310429.14
600580.SH,20150422,20150422,20141231,5653110705.43,1475139079.73,9793627124.02
600582.SH,20150328,20150328,20141231,13323870811.54,2519335535.21,28155686976.65
600583.SH,20150316,20150316,20141231,10576005992.12,3281826338.76,31147771147.06
600584.SH,20150325,20150325,20141231,6881131075.38,2857728683.03,10902304709.68
600585.SH,20150324,20150324,20141231,32641856350.0,14151606026.0,102253097283.0
600586.SH,20150430,20150430,20141231,4881753656.32,1128920679.77,8954362637.98
600587.SH,20150418,20150418,20141231,4616959967.73,1020169238.29,8070509472.34
600588.SH,20150320,20150320,20141231,4368120313.0,2963403868.0,8810634863.0
600594.SH,20150429,20200428,20141231,2071301490.77,1052857704.37,5495674975.55
600596.SH,20150424,20150424,20141231,3303547945.55,587734748.99,7973555250.84
600597.SH,20150328,20150328,20141231,7683569260.0,2001684379.0,12883145141.0
600598.SH,20150331,20150331,20141231,2590487433.93,1365967765.35,8229025291.55
600600.SH,20150331,20150331,20141231,11716630688.0,6388650779.0,27003913126.0
600601.SH,20150428,20150428,20141231,5641952421.05,1627587709.41,9176098674.53
600602.SH,20150328,20150328,20141231,408967963.16,1729183046.12,3224963915.84
600612.SH,20150428,20150428,20141231,6942391702.98,4632247308.97,11571776031.54
600606.SH,20150319,20150319,20141231,5573952098.59,539973026.66,7449304468.09
600611.SH,20150403,20150403,20141231,4301580102.53,1490786410.85,11240059655.62
600614.SH,20150411,20150411,20141231,3629222215.81,550268076.95,6291464890.4
600617.SH,20150310,20150310,20141231,11611392856.43,1417911874.54,14227593398.92
600618.SH,20150321,20150321,20141231,3498456005.5,402636250.64,5754717626.22
600628.SH,20150417,20150417,20141231,2594585807.73,572076336.4,5214572073.48
600623.SH,20150317,20150317,20141231,9448801473.46,1483436817.41,14415884787.87
600633.SH,20150402,20150402,20141231,2406092484.51,1634615745.84,7084860901.19
600635.SH,20150403,20150403,20141231,6939458642.02,1565381012.42,12305757070.93
600637.SH,20150217,20150217,20141231,1850084298.08,2631120874.13,6509198226.49
600639.SH,20150314,20150314,20141231,6149476384.73,543899317.86,12415769749.07
600640.SH,20150418,20150418,20141231,695828676.68,963244393.47,3732877693.05
600642.SH,20150429,20150429,20141231,12574913413.07,6183324693.33,42479420389.41
600643.SH,20150424,20150424,20141231,2990356717.12,787976577.91,8153153359.59
600645.SH,20150428,20150428,20141231,1260587862.46,352084141.72,2416884085.03
600648.SH,20150430,20150430,20141231,16892582821.65,3719276591.83,26156558683.22
600649.SH,20150331,20150331,20141231,24549203986.45,3368736939.45,41620569556.48
600651.SH,20150331,20190420,20141231,2531821184.26,392731330.05,5542806274.5
600654.SH,20150331,20150331,20141231,1585922923.18,635064287.05,4216166519.39
600655.SH,20150325,20150325,20141231,5799786374.73,1868037918.34,13830914154.46
600657.SH,20150321,20150321,20141231,29483308124.07,2745344422.78,37714170538.5
600660.SH,20150217,20150217,20141231,8072970725.0,507161367.0,16875594048.0
600663.SH,20150326,20150326,20141231,30377094852.06,2782455311.39,45620746622.93
600664.SH,20150207,20150207,20141231,7473005427.66,2334452484.17,16243077506.3
600666.SH,20150312,20150312,20141231,1652009231.6,157324905.31,2049580265.54
600667.SH,20150414,20150414,20141231,3537771243.34,1662884934.74,5716551678.25
600673.SH,20150331,20150331,20141231,6926372253.83,1682457596.02,11110557619.08
600675.SH,20150320,20150320,20141231,33465434585.12,4634615849.53,40814471818.16
600682.SH,20150327,20150327,20141231,12468946857.25,1815930526.67,14042638368.76
600685.SH,20150217,20150217,20141231,17997960858.1,8168932666.56,23670093365.62
600687.SH,20150210,20150210,20141231,2027175439.46,378770632.62,3634101581.63
600688.SH,20150323,20150323,20141231,14303965000.0,279198000.0,31145983000.0
600690.SH,20150331,20150331,20141231,45886490077.4,28644033791.67,75006457051.45
600694.SH,20150415,20150415,20141231,8444867090.38,6706838757.6,14785325287.91
600699.SH,20150420,20150420,20141231,3789234196.79,558037577.16,6259204290.85
600703.SH,20150324,20150324,20141231,5557068330.58,3481247728.38,17016631715.2
600704.SH,20150331,20150331,20141231,23032375706.43,3323259854.94,30319415468.62
600707.SH,20150313,20150313,20141231,4183513592.07,50120090.13,5763023454.16
600705.SH,20150318,20150318,20141231,88567731046.89,29947953138.97,108433185716.26
600718.SH,20150327,20150327,20141231,4047435169.0,1841227565.0,9622139524.0
600720.SH,20150320,20150320,20141231,5580470022.2,424878070.05,10837474197.54
600728.SH,20150325,20150325,20141231,1401777246.05,520217069.32,2647467780.74
600674.SH,20150425,20150425,20141231,6078669329.49,779456553.03,21483076003.2
600729.SH,20150317,20150317,20141231,7138545298.94,3735580853.21,11727734425.83
600733.SH,20150321,20160319,20141231,176279226.03,217581824.09,486994341.83
600732.SH,20150428,20150428,20141231,471499950.44,35918072.77,956236123.8
600736.SH,20150404,20150404,20141231,16815641686.72,1868464319.15,21254858709.98
600737.SH,20150421,20150421,20141231,8414666032.55,1506733319.83,14389468221.21
600739.SH,20150328,20150328,20141231,5391491170.64,1009853888.44,20281372071.97
600741.SH,20150327,20150327,20141231,34724191752.47,15659312079.22,63241573546.47
600743.SH,20150425,20150425,20141231,16173494280.01,2905231313.98,20452342010.71
600748.SH,20150328,20150328,20141231,13219690030.21,4109910588.24,18747716465.2
600750.SH,20150328,20150328,20141231,1193872013.57,605526487.06,3327009968.93
600717.SH,20150319,20150319,20141231,15270026622.02,4764852257.2,33655823630.97
600754.SH,20150328,20150328,20141231,2634910789.67,3551614901.31,11362507114.92
600755.SH,20150424,20150424,20141231,26026642831.07,2649017671.42,34442014406.62
600751.SH,20150421,20150421,20141231,685535117.43,12325530301.43,12572194043.06
600745.SH,20150428,20150428,20141231,3469354598.57,710582973.78,7175251266.48
600757.SH,20150328,20150328,20141231,2329441275.3,1072259867.44,7174482724.71
600759.SH,20150418,20150418,20141231,6261497268.21,2127823868.52,11805882072.18
600760.SH,20150429,20150429,20141231,2310665531.62,229073104.01,3092710581.51
600761.SH,20150318,20150318,20141231,1506189275.79,529857161.18,5496278947.12
600763.SH,20150410,20150410,20141231,106734929.94,255171309.4,793149392.34
600770.SH,20150427,20150427,20141231,2047091753.52,1275637175.21,6568813356.12
600765.SH,20150325,20150325,20141231,8822222262.03,1068358118.63,13242193970.65
600764.SH,20150331,20150331,20141231,715846561.11,148596135.07,1444628864.11
600773.SH,20150421,20150421,20141231,8406239199.82,2296922256.97,10845060727.13
600776.SH,20150428,20150428,20141231,723075822.31,1271531760.68,3628821084.18
600777.SH,20150217,20150217,20141231,2483463871.15,435127994.13,4275621085.02
600779.SH,20150430,20160428,20141231,428753604.16,108295402.01,1622153138.66
600782.SH,20150421,20150421,20141231,21947312832.66,8549597324.78,30495369433.53
600783.SH,20150430,20150430,20141231,1645333955.28,171280226.09,5058278989.34
600787.SH,20150321,20150321,20141231,6486819844.79,1446336475.73,12638761793.77
600795.SH,20150331,20150331,20141231,180486728059.28,2262563760.57,246253096773.7
600790.SH,20150331,20150331,20141231,3783188563.14,262848194.09,7188862787.87
600801.SH,20150327,20150327,20141231,15003455319.0,2684277961.0,26056706397.0
600803.SH,20150411,20150411,20141231,4401969926.38,1568608462.63,9461952406.73
600804.SH,20150416,20150416,20141231,10395110829.92,1902620136.38,15347194779.95
600808.SH,20150326,20150326,20141231,42621776823.0,4654551519.0,68511174810.0
600805.SH,20150402,20150402,20141231,3814025457.57,919025034.78,10706767980.64
600811.SH,20150430,20150430,20141231,9219453378.94,2515450008.13,19866507693.07
600809.SH,20150331,20150331,20141231,1850392863.26,756496918.01,5786101809.64
600812.SH,20150422,20150422,20141231,10317786435.28,1289233754.09,15564081618.24
600816.SH,20150210,20150210,20141231,1149306762.37,,2953944097.71
600820.SH,20150411,20150411,20141231,42854443146.88,7389695479.69,58814439540.1
600823.SH,20150326,20150326,20141231,38865493215.75,5189585343.06,58900514434.57
600825.SH,20150425,20150425,20141231,3299235015.87,1015592402.59,5831954866.09
600826.SH,20150314,20150314,20141231,1311588136.32,210167851.42,5369452197.08
600831.SH,20150424,20150424,20141231,3275820977.9,313056454.65,5118353577.72
