ts_code,end_date,operate_profit,total_revenue
002049.SZ,20070331,5359082.58,49377266.25
002008.SZ,20070331,18038930.14,224471278.35
002037.SZ,20070331,7884167.92,100325334.1
000669.SZ,20070331,2228737.92,17856298.08
000722.SZ,20070331,-27481739.15,107329625.87
000798.SZ,20070331,-1586420.65,38480635.8
000691.SZ,20070331,-7449108.58,53031471.4
000787.SZ,20070331,-2463427.16,5424292.29
000792.SZ,20070331,388975479.3,675937840.95
000876.SZ,20070331,76678615.34,878415271.41
000049.SZ,20070331,-4246239.49,125006363.65
002108.SZ,20070331,1957334.79,40538336.22
000922.SZ,20070331,-13015356.36,30093204.24
000952.SZ,20070331,7148007.89,121907113.69
000929.SZ,20070331,14900010.87,212173905.14
000959.SZ,20070331,203133844.72,6267134926.87
600098.SH,20070331,765605561.22,1274177265.22
600082.SH,20070331,4088034.7,79157288.65
600812.SH,20070331,20182966.13,898907607.14
600798.SH,20070331,56985894.74,243033658.56
600821.SH,20070331,2750406.05,434971334.17
600743.SH,20070331,-831324.27,36058129.85
600054.SH,20070331,2443201.9,97022359.71
600215.SH,20070331,-40913463.49,73486383.15
600208.SH,20070331,43924542.44,400756192.41
600306.SH,20070331,2922063.55,452193242.3
600273.SH,20070331,6470149.36,212381057.85
600298.SH,20070331,26972682.4,221978104.65
600199.SH,20070331,11389897.87,238426859.04
600378.SH,20070331,6006628.1,72428776.77
600446.SH,20070331,4180979.02,178994455.35
600969.SH,20070331,27444694.48,277684853.87
600505.SH,20070331,3092880.12,66450821.73
600483.SH,20070331,2520061.98,204177816.59
600500.SH,20070331,156218972.1,4073921242.78
600543.SH,20070331,3649155.64,98733267.61
000028.SZ,20070331,37283794.01,1489858763.91
600851.SH,20070331,-14198233.52,245148756.33
600560.SH,20070331,6602444.56,85015000.22
600657.SH,20070331,-22391360.98,195485553.61
600671.SH,20070331,2201324.59,68438766.38
600590.SH,20070331,9197905.39,166866808.02
000089.SZ,20070331,140214050.05,290181981.28
000402.SZ,20070331,663579645.66,2008440575.23
000151.SZ,20070331,1975614.93,91401485.38
002018.SZ,20070331,6517074.46,110621524.29
000545.SZ,20070331,3401273.05,27015666.06
000301.SZ,20070331,38752213.02,761257753.17
000609.SZ,20070331,67816084.91,185467631.5
000584.SZ,20070331,21838692.98,158611835.47
000544.SZ,20070331,30075804.89,94556313.62
000639.SZ,20070331,1998179.4,27513277.57
000602.SZ,20070331,27427349.7,42252119.37
600195.SH,20070331,45379663.1,344986046.7
600458.SH,20070331,4079051.27,128826361.68
600428.SH,20070331,223791356.86,1301187135.43
600218.SH,20070331,11164188.06,284142920.14
600738.SH,20070331,3762123.26,152264846.55
000783.SZ,20070331,51598785.68,2808213252.05
000600.SZ,20070331,199367101.9,1084848613.4
600765.SH,20070331,5820312.36,46878517.76
000407.SZ,20070331,2977433.25,148794636.79
000999.SZ,20070331,41257791.4,703126974.48
600191.SH,20070331,11075808.3,89744953.68
002048.SZ,20070331,35907561.55,411910147.32
000522.SZ,20070331,46259616.53,730460740.89
600890.SH,20070331,-7031709.21,564433.83
000627.SZ,20070331,14362766.18,154760937.43
000549.SZ,20070331,381605779.08,4811510484.46
000408.SZ,20070331,241150.13,134192695.56
600982.SH,20070331,10218113.77,186440523.64
000786.SZ,20070331,29501465.9,533766356.76
002071.SZ,20070331,4236904.21,74784232.73
000860.SZ,20070331,49969804.3,1025215669.4
002124.SZ,20070331,-5896845.69,33159791.44
000699.SZ,20070331,-35380424.17,44159480.85
000801.SZ,20070331,-1399048.66,211462960.2
600760.SH,20070331,-647395.16,161792473.23
600449.SH,20070331,-18437320.0,32088154.0
600220.SH,20070331,38705034.03,504758232.94
002032.SZ,20070331,61987962.79,690513878.61
000761.SZ,20070331,437325891.81,7702718535.04
000069.SZ,20070331,11905490.44,160613149.03
600020.SH,20070331,255490072.58,405930105.76
002085.SZ,20070331,14717142.46,401956845.79
002181.SZ,20070331,19449539.67,75370216.5
600280.SH,20070331,23710160.41,1038420509.85
600151.SH,20070331,21234888.18,207078250.29
600022.SH,20070331,439621357.68,7692631700.74
600126.SH,20070331,115800483.0,3199613587.53
600077.SH,20070331,3469187.37,109054636.03
600227.SH,20070331,47056030.68,240684236.73
000650.SZ,20070331,15198229.46,158470041.18
600467.SH,20070331,27335833.07,131498472.99
600836.SH,20070331,1876028.96,112993944.69
000006.SZ,20070331,14959061.68,106531614.58
600712.SH,20070331,3815197.84,318330213.53
600398.SH,20070331,76893611.73,366595567.24
000725.SZ,20070331,-193108604.0,2152839364.0
600373.SH,20070331,-3088224.98,105683756.26
002026.SZ,20070331,5891990.68,60705247.38
000153.SZ,20070331,2053308.9,130914195.7
002027.SZ,20070331,10544435.48,788607812.81
000682.SZ,20070331,-535990.62,152221055.57
000766.SZ,20070331,2322906.54,28666074.06
