ts_code,end_date,total_liab,money_cap,total_assets
000551.SZ,20031231,714678801.02,315981165.58,1371763042.3
600391.SH,20031231,212532436.0,196931111.02,657312704.44
600780.SH,20031231,3698686367.91,479143146.14,5143584844.92
600135.SH,20031231,77012571.44,454021747.83,1124527645.09
600785.SH,20031231,611165167.04,209333575.77,1238474042.71
000529.SZ,20031231,1100467798.55,54635166.01,1209747441.31
600012.SH,20031231,2168422320.81,510615413.44,6214884813.73
600323.SH,20031231,163102228.05,50716918.69,936126582.98
600126.SH,20031231,1596873847.52,375071090.4,4647541407.63
601975.SH,20031231,334156614.71,164661039.99,1477634263.98
600518.SH,20031231,262252257.61,108441680.05,704688669.37
000559.SZ,20031231,1245688765.39,401144122.31,3108836891.27
000065.SZ,20031231,822354504.76,150330974.15,1202142899.51
000096.SZ,20031231,210051133.74,410242333.37,1415938629.26
000158.SZ,20031231,1085368747.11,384234508.03,2548901139.34
000159.SZ,20031231,899374060.1,133177405.2,1454005144.19
000422.SZ,20031231,1040195661.85,84336113.92,1985044294.24
000969.SZ,20031231,727203791.52,442848709.08,2002511078.61
000531.SZ,20031231,1251866256.61,140852663.15,2357219866.72
000527.SZ,20031231,5548252890.96,810120175.0,8572353219.93
000515.SZ,20031231,297707210.88,29856358.83,611927701.3
000520.SZ,20031231,93990104.87,611601118.12,1402300115.53
000978.SZ,20031231,126307082.06,30188696.68,567401418.33
000546.SZ,20031231,266155991.47,64130044.63,478833010.97
000547.SZ,20031231,739863729.97,251282383.62,1207620930.2
000564.SZ,20031231,374903953.9,211686216.87,961054039.95
600678.SH,20031231,625321875.5,76394278.53,913010986.78
600690.SH,20031231,1536871894.89,849123666.06,7372706301.48
000599.SZ,20031231,1306406685.97,54439608.87,2079395512.91
000629.SZ,20031231,3283854205.06,233360797.99,9908270882.31
000615.SZ,20031231,1037412597.89,438183692.15,1743532930.5
000608.SZ,20031231,1314705000.0,410834000.0,1930307000.0
000680.SZ,20031231,815004648.57,166073775.44,1785377901.76
000673.SZ,20031231,157742533.58,18777356.26,460799877.76
000685.SZ,20031231,72328986.29,30431093.44,409268327.26
000759.SZ,20031231,1472058857.1,220188706.51,2378914319.75
000777.SZ,20031231,168554595.64,41782042.88,441253323.19
000788.SZ,20031231,479251621.66,33788095.88,650407717.19
000809.SZ,20031231,49645575.37,38585563.57,188709665.76
000901.SZ,20031231,263443158.33,71516357.04,696877446.76
000400.SZ,20031231,1235043028.38,377565975.77,3093448146.17
600096.SH,20031231,1828991423.84,934753829.09,3373493635.06
600123.SH,20031231,612876454.41,272007753.91,1680468659.86
600101.SH,20031231,983683549.7,293598236.56,2294338378.66
600125.SH,20031231,138282729.86,161525103.23,1008369345.11
600539.SH,20031231,281933803.16,393324609.47,1122815682.87
600581.SH,20031231,1343257863.43,691822045.15,3320746928.27
600189.SH,20031231,489903791.73,180183644.0,1861937727.39
600610.SH,20031231,464677695.23,111501565.27,869166308.25
600596.SH,20031231,573662827.82,162062221.56,1136126682.04
600621.SH,20031231,648044898.89,179542764.24,1674498483.09
600231.SH,20031231,1190615543.16,178651816.42,3045142071.65
600636.SH,20031231,503091031.74,90788037.36,1039433068.25
600235.SH,20031231,1059018847.39,302971195.94,1984788354.3
600658.SH,20031231,312941646.44,81669982.65,567768640.01
600674.SH,20031231,425026311.97,504539097.2,1118756162.7
600669.SH,20031231,913201680.31,1524379.88,508326243.84
600357.SH,20031231,2431432286.2,296407195.51,4231740614.15
600390.SH,20031231,397504074.09,120763029.57,1163090658.6
600383.SH,20031231,3227178459.92,839950426.75,4819133278.32
600396.SH,20031231,234349840.46,86335258.84,716852915.15
600381.SH,20031231,789851157.63,148581861.66,1181490109.25
600429.SH,20031231,618711459.0,155171454.0,1578442537.0
600787.SH,20031231,1149790063.42,370273976.24,1952246444.71
600795.SH,20031231,14996537767.89,919155973.12,22748791249.04
600489.SH,20031231,357695832.32,470248843.61,1121370662.17
600840.SH,20031231,1574942400.44,215469684.66,1783560689.28
600900.SH,20031231,9789796303.42,1080721656.97,29616558475.99
600899.SH,20031231,426575710.77,5432504.74,446415553.14
600976.SH,20031231,242308187.62,78657513.57,532623794.2
600033.SH,20031231,1709346522.73,149963149.84,5631701029.37
600066.SH,20031231,1229129345.78,516861673.04,2334905595.37
600109.SH,20031231,144155624.53,119950885.16,343432740.8
600508.SH,20031231,1032885104.72,416303457.97,2723636652.25
600692.SH,20031231,289865293.1,94624751.22,665167527.12
600701.SH,20031231,511549047.09,399788257.88,1392767708.19
600697.SH,20031231,354389761.74,125565203.32,958157569.37
600702.SH,20031231,457104016.91,64479537.57,2079326882.2
600750.SH,20031231,347137594.85,116645399.03,986939343.83
600763.SH,20031231,14814417.71,9406910.27,51186878.44
600759.SH,20031231,253728001.04,20624485.28,186607716.88
600292.SH,20031231,1324049878.7,173593609.54,2255932801.75
600291.SH,20031231,629013706.09,154342000.44,1316947674.73
600271.SH,20031231,538784535.25,1503092964.75,2292938663.79
600268.SH,20031231,533045836.22,98488054.33,1061010777.86
600289.SH,20031231,503930500.74,308286663.48,1543598276.67
600307.SH,20031231,970964308.39,536938847.44,3818485591.43
600343.SH,20031231,142022489.53,103487652.95,543594892.93
600339.SH,20031231,656842266.02,75199194.23,1370802895.0
600329.SH,20031231,1958295000.0,393862000.0,3797116000.0
600327.SH,20031231,606883423.52,609413917.98,1211833150.49
600106.SH,20031231,980814125.9,735009303.46,2021560982.63
600765.SH,20031231,69569342.85,36426582.76,228936778.1
000756.SZ,20031231,668108076.4,413986014.3,2085380644.47
000668.SZ,20031231,528312434.83,37529030.12,887496285.19
000549.SZ,20031231,7021817977.85,1112878036.99,10151482514.57
000980.SZ,20031231,192511923.89,198508300.7,584804231.5
600146.SH,20031231,46058862.45,90295730.91,415033857.01
600449.SH,20031231,91324772.78,127797878.29,609391080.66
600386.SH,20031231,1571499916.55,490311848.38,2987106868.52
600832.SH,20031231,1303298693.3,218097254.8,4490661372.85
600680.SH,20031231,1412660766.72,325309091.51,2198632603.27
600074.SH,20031231,1609344415.35,556420890.78,3072543369.95
600234.SH,20031231,632911858.84,130532193.78,792221445.71
600298.SH,20031231,154673521.32,58080578.97,778961127.18
600330.SH,20031231,441111693.17,129870005.79,1113295357.89
600889.SH,20031231,296173020.11,36189482.33,925047396.09
600378.SH,20031231,103307404.29,164124113.12,560019601.46
601607.SH,20031231,4033252344.08,512199078.53,6142849230.67
600590.SH,20031231,368173606.68,130265269.07,761632893.76
600622.SH,20031231,499273786.6,129913015.59,1023054248.38
600703.SH,20031231,501964558.43,54748217.17,732549315.04
600535.SH,20031231,575743827.44,607132302.9,1777237703.05
600575.SH,20031231,19194687.86,235905919.75,484023264.32
600705.SH,20031231,3177949128.52,756595728.67,5060205469.01
000532.SZ,20031231,102124314.4,82324120.44,613103952.76
000558.SZ,20031231,609968735.89,51229559.71,754353511.15
000625.SZ,20031231,5226492755.0,3096324735.0,10908068247.0
000602.SZ,20031231,54269418.74,229534253.63,389424387.86
600031.SH,20031231,977952978.85,401057062.31,2681478259.96
600162.SH,20031231,791179586.09,172334193.88,1465402082.22
600398.SH,20031231,479422100.37,368262680.16,1257003665.93
600567.SH,20031231,796581581.2,89519855.4,1203213056.85
600756.SH,20031231,212765049.1,194172398.33,658009126.14
000792.SZ,20031231,1842594012.24,949220709.2,3598855088.74
600070.SH,20031231,152442621.24,108726935.9,610362856.43
600028.SH,20031231,201190000000.0,17405000000.0,390213000000.0
600775.SH,20031231,2330581159.76,788498054.79,3592429930.02
600226.SH,20031231,262799684.36,286476759.57,1114185955.87
600192.SH,20031231,1096709522.33,304036433.17,2170840500.8
600099.SH,20031231,69586684.65,273710130.21,525600290.59
600418.SH,20031231,1190586438.18,376398807.27,2505332095.25
600729.SH,20031231,897445011.48,189786357.04,1446890070.52
600896.SH,20031231,118380685.54,200424453.93,1072350683.47
600665.SH,20031231,466335545.54,317283313.18,1775887901.15
600419.SH,20031231,212856571.03,172244667.45,513619346.1
600156.SH,20031231,529120742.58,202140606.04,1346608584.72
600085.SH,20031231,746899028.06,542414496.13,2746311922.59
000150.SZ,20031231,44935811.34,109263690.21,608521796.77
000802.SZ,20031231,886332075.75,51238162.27,1142747410.37
000968.SZ,20031231,969945589.98,354272618.06,2231336896.09
000837.SZ,20031231,438320080.42,243092303.7,1030820157.08
600536.SH,20031231,291065130.54,454317804.59,806399229.46
000810.SZ,20031231,457042186.0,44254070.1,714889158.11
000822.SZ,20031231,2222374069.1,437486954.78,4160114567.34
