ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,end_type,n_cashflow_act,c_pay_acq_const_fiolta
600705.SH,20131029,20131029,20130930,1,1,3,-15506307061.31,62951668.45
600707.SH,20131029,20131029,20130930,1,1,3,-18525946.72,270378370.47
600717.SH,20131025,20131025,20130930,1,1,3,935552871.0,2140427444.81
600718.SH,20131030,20131030,20130930,1,1,3,-868432519.0,347598248.0
600720.SH,20131019,20131019,20130930,1,1,3,1043479297.98,640078784.33
600728.SH,20131031,20131031,20130930,1,1,3,-166854240.08,11108460.68
600729.SH,20131026,20131026,20130930,1,1,3,315892215.18,376790366.56
600732.SH,20131031,20131031,20130930,1,1,3,-63813267.67,
600733.SH,20131030,20131030,20130930,1,1,3,-13411780.18,6400.0
600736.SH,20131024,20131024,20130930,1,1,3,-656765764.87,317700687.48
600737.SH,20131029,20131029,20130930,1,1,3,573296681.91,123091502.39
600739.SH,20131029,20131029,20130930,1,1,3,-227371637.02,978913167.05
600741.SH,20131025,20131025,20130930,1,1,3,4623786998.9,1980844042.95
600743.SH,20131029,20131029,20130930,1,1,3,153343246.59,1802492.49
600745.SH,20131030,20140115,20130930,1,1,3,79707568.9,26590251.44
600748.SH,20131030,20131030,20130930,1,1,3,859456815.72,4066907.0
600750.SH,20131023,20131023,20130930,1,1,3,99148836.4,33528629.86
600751.SH,20131031,20131031,20130930,1,1,3,-17680225.64,25677432.41
600754.SH,20131030,20131030,20130930,1,1,3,434051881.4,609803187.54
600755.SH,20131029,20131029,20130930,1,1,3,2075153619.31,88252158.97
600757.SH,20131031,20131031,20130930,1,1,3,-86635254.98,87016656.98
600759.SH,20131030,20131030,20130930,1,1,3,211302152.13,26003032.83
600760.SH,20131030,20131030,20130930,1,1,3,30405954.59,45089712.98
600761.SH,20131024,20131024,20130930,1,1,3,445707809.99,137941064.24
600763.SH,20131026,20131026,20130930,1,1,3,82724213.63,24752712.99
600764.SH,20131029,20131029,20130930,1,1,3,-201857862.94,11560102.54
600765.SH,20131025,20131025,20130930,1,1,3,-70007959.22,651615075.33
600770.SH,20131030,20131030,20130930,1,1,3,177258677.3,38595448.71
600773.SH,20131030,20131030,20130930,1,1,3,-1201385619.2,478360.0
600776.SH,20131026,20131026,20130930,1,1,3,-348850048.81,10036270.75
600777.SH,20131030,20131030,20130930,1,1,3,77181063.4,3789991.45
600779.SH,20131025,20131025,20130930,1,1,3,-389343962.81,93856760.19
600782.SH,20131031,20131031,20130930,1,1,3,808929266.28,95937743.16
600783.SH,20131031,20131031,20130930,1,1,3,-65994249.88,23869050.33
600787.SH,20131031,20131031,20130930,1,1,3,185985410.04,167551329.2
600790.SH,20131030,20131030,20130930,1,1,3,-123114058.22,190025257.5
600795.SH,20131019,20131019,20130930,1,1,3,19517209907.36,19463703840.96
600801.SH,20131019,20131019,20130930,1,1,3,1717435216.0,1238271716.0
600803.SH,20131031,20131031,20130930,1,1,3,457711431.23,199191202.54
600804.SH,20131026,20131026,20130930,1,1,3,1686771663.18,1517929786.73
600805.SH,20131026,20131026,20130930,1,1,3,496775687.57,201520288.73
600808.SH,20131030,20131030,20130930,1,1,3,4084899222.0,4800868163.0
600809.SH,20131022,20131022,20130930,1,1,3,-177411890.68,275957570.75
600811.SH,20131031,20131031,20130930,1,1,3,551981118.01,88957866.37
600812.SH,20131025,20131025,20130930,1,1,3,-305087944.84,517947992.88
600816.SH,20131026,20131026,20130930,1,1,3,-326873916.91,6889912.75
600820.SH,20131030,20131030,20130930,1,1,3,-1985185233.55,2316581762.79
600823.SH,20131030,20131030,20130930,1,1,3,-1998379884.97,1025672432.35
600825.SH,20131030,20131030,20130930,1,1,3,-190789311.13,9993413.15
600826.SH,20131026,20131026,20130930,1,1,3,-23755287.57,82082.16
600827.SH,20131031,20131031,20130930,1,1,3,4067700776.73,849530470.64
