ts_code,ann_date,end_date,total_liab,money_cap,total_assets
688329.SH,20210430,20201231,336474276.51,172469829.29,795961547.06
002120.SZ,20210430,20201231,15042995941.27,4010337498.54,29500766142.95
603567.SH,20210430,20201231,4731175340.57,1539001617.29,10234312842.17
000850.SZ,20210430,20201231,2758913627.99,527338539.92,7147216896.78
601636.SH,20210430,20201231,4788242353.19,909846893.76,14301670096.37
000657.SZ,20210430,20201231,4261342864.55,947270412.79,9203180360.86
002830.SZ,20210430,20201231,835670636.54,457886072.84,1498377879.5
002575.SZ,20210430,20201231,202063577.22,5124765.36,1037770338.19
600960.SH,20210430,20201231,3934526536.38,2208539029.74,9198500434.46
000592.SZ,20210430,20201231,1657222923.8,686290703.24,4935689415.76
688600.SH,20210430,20201231,185793973.74,310382668.13,1026217286.85
002980.SZ,20210430,20201231,132941532.96,366837779.81,1190985051.58
002640.SZ,20210430,20201231,5033376909.84,658576651.0,6242274309.13
000564.SZ,20210430,20201231,21122830473.43,767653367.73,46972672942.69
688333.SH,20210430,20201231,517021367.08,241344727.6,1678775457.42
600580.SH,20210430,20201231,12632051194.71,2209619583.98,20816730496.18
002104.SZ,20210430,20201231,372422768.81,466594220.1,2362507462.6
600331.SH,20210430,20201231,2278081662.52,180714130.15,2327195687.24
000426.SZ,20210430,20201231,4159038075.09,133996739.92,9315338588.6
600567.SH,20210430,20201231,28207643922.17,4076763517.82,45436554328.13
000568.SZ,20210430,20201231,11827333949.74,11624870340.6,35009203823.45
603017.SH,20210430,20201231,1692038005.17,244345891.53,3716569159.96
300601.SZ,20210430,20201231,2121071716.54,882693490.42,9584507604.93
600728.SH,20210430,20201231,4959249627.99,1502600066.44,10457456595.48
688013.SH,20210430,20201231,19350448.82,126781547.45,485243095.67
920932.BJ,20210430,20201231,156534575.96,28336065.15,444604621.35
000333.SZ,20210430,20201231,236145503000.0,81210482000.0,360382603000.0
000881.SZ,20210430,20201231,5903877006.13,1831646400.45,12319715091.57
605155.SH,20210430,20201231,87821807.63,633302942.51,1099541053.49
002795.SZ,20210430,20201231,544960214.46,111851320.69,1185934827.59
600226.SH,20210430,20201231,421832456.44,76154808.09,3050414098.6
002570.SZ,20210430,20201231,2528466034.64,705158342.24,4034293142.99
601933.SH,20210430,20201231,35764781167.48,12005455154.69,56157981164.81
600307.SH,20210430,20201231,29098481643.22,4391454968.15,41446666538.99
002652.SZ,20210430,20201231,704883693.86,185745076.39,1025580376.36
688311.SH,20210430,20201231,492281964.8,579202627.84,2136723663.26
000839.SZ,20210430,20201231,7847641767.29,750384076.44,13343382740.05
600610.SH,20210430,20201231,1304616299.44,104461574.52,1394550974.95
000639.SZ,20210430,20201231,3430680680.78,1775145106.67,7723921757.15
600734.SH,20210430,20201231,3273557580.09,64367002.05,2110789269.72
688396.SH,20210430,20201231,4731732198.62,6865693381.17,16532495766.97
603729.SH,20210430,20201231,260714181.54,117177170.73,1048522254.83
600408.SH,20210430,20201231,3021665633.85,538010008.75,5568171294.71
300503.SZ,20210430,20201231,1042739946.0,130998012.26,2046396565.14
002694.SZ,20210430,20201231,1690094277.69,87663844.3,2470637165.03
600037.SH,20210430,20201231,3031280212.26,7520717740.69,15707773127.83
000681.SZ,20210430,20201231,869645236.19,301920309.93,4038764458.85
600671.SH,20210430,20201231,349177858.9,7574036.74,442510197.01
600303.SH,20210430,20201231,1989697943.98,892424095.79,5114199350.79
002833.SZ,20210430,20201231,449713475.98,506404029.95,2269995065.38
600167.SH,20210430,20201231,4788711460.4,6048395033.86,13857801304.88
000812.SZ,20210430,20201231,1588978816.9,242069096.77,3254007193.07
002675.SZ,20210430,20201231,2427549240.76,715790408.28,7393206198.64
603313.SH,20210430,20201231,3382596960.38,1070561346.05,7075842657.13
600682.SH,20210430,20201231,7678462534.86,7200634559.59,24628076122.85
000605.SZ,20210430,20201231,5873764792.22,639221802.91,8682654178.09
600783.SH,20210430,20201231,2564941842.4,250830704.1,6377998481.74
002565.SZ,20210430,20201231,882530700.39,548558825.71,3021169640.04
000802.SZ,20210430,20201231,2835809391.15,55892674.12,4539096381.47
601816.SH,20210430,20201231,92379853246.42,7949645566.3,300863311434.6
002514.SZ,20210430,20201231,832300375.48,115016009.94,1465648369.58
002836.SZ,20210430,20201231,109336330.83,59257609.94,508409785.69
600221.SH,20210430,20201231,186830599000.0,8236327000.0,164576692000.0
300747.SZ,20210430,20201231,1145420080.55,832711423.27,3810951492.81
002010.SZ,20210430,20201231,18515975014.41,5227950568.4,34661757943.85
002345.SZ,20210430,20201231,1726316068.89,806652035.54,5199368000.21
600793.SH,20210430,20201231,2650747901.0,322212886.11,3250748971.36
000829.SZ,20210430,20201231,11758985708.45,4544390599.37,14270865631.53
002813.SZ,20210430,20201231,158555116.21,39931585.05,540504892.38
000936.SZ,20210430,20201231,3848508461.34,2247347664.45,8675167428.78
300269.SZ,20210430,20201231,1593476382.63,221704942.0,1701866616.82
600052.SH,20210430,20201231,481070777.43,2242523617.61,3861041583.77
000035.SZ,20210430,20201231,37883349211.84,3395885622.75,50377882369.02
002396.SZ,20210430,20201231,3833000563.73,2101199555.95,8715629599.9
000735.SZ,20210430,20201231,4138017920.32,224518750.9,8428863890.88
603366.SH,20210430,20201231,2803827324.25,937253377.05,6207804589.89
600897.SH,20210430,20201231,746556713.14,283695395.88,4734924767.19
600482.SH,20210430,20201231,22193664389.64,10579173507.64,58744689010.3
000428.SZ,20210430,20201231,4283612018.14,96825300.65,6122575044.83
601225.SH,20210430,20201231,59242899014.46,23930664710.21,148912345830.46
688663.SH,20210430,20201231,659859095.26,199069544.37,1207084665.22
600539.SH,20210430,20201231,84776863.86,318138028.1,603143234.39
600595.SH,20210430,20201231,20378232772.52,893384487.85,20266150475.35
002862.SZ,20210430,20201231,148834304.29,194370763.31,675614231.33
601212.SH,20210430,20201231,28751832055.32,3341184330.59,46500874193.54
002629.SZ,20210430,20201231,346861665.23,103211415.09,379635694.0
000801.SZ,20210430,20201231,2220954927.7,1139158308.31,5025126011.91
002196.SZ,20210430,20201231,1000604895.23,142070822.05,2585207986.07
600114.SH,20210430,20201231,2883199563.47,447613678.16,5897770008.79
600846.SH,20210430,20201231,7991122030.86,3466776493.34,11318133979.77
002555.SZ,20210430,20201231,4498879796.12,1776856909.85,10564331499.85
688500.SH,20210430,20201231,167419434.61,480345069.55,1429050602.03
002115.SZ,20210430,20201231,2086920187.08,1018478073.27,4652987682.92
600415.SH,20210430,20201231,15175417769.62,5612642932.21,28750127146.86
603203.SH,20210430,20201231,261150203.79,321916172.02,1399382432.86
603101.SH,20210430,20201231,2681677990.14,577049519.17,4078873822.74
601208.SH,20210430,20201231,1647411961.66,231816871.99,4197030169.94
002193.SZ,20210430,20201231,2134979132.85,462632271.66,4911871622.24
002749.SZ,20210430,20201231,464639261.24,946588399.89,1746318076.6
600004.SH,20210430,20201231,6834916486.05,2325009406.75,26298285795.68
000066.SZ,20210430,20201231,18183224851.57,4706162588.1,27530266999.06
002085.SZ,20210430,20201231,8464392183.55,1674978958.17,15973225900.87
688092.SH,20210430,20201231,88440175.04,56887592.67,335229808.33
002668.SZ,20210430,20201231,7006502382.29,4117750596.17,8831555655.41
000981.SZ,20210430,20201231,16018775208.29,1626880601.47,22144740046.3
002721.SZ,20210430,20201231,7972695602.28,439354514.75,10311633010.64
600640.SH,20210430,20201231,1622998054.76,1566772406.17,6614866466.27
605389.SH,20210430,20201231,312195500.76,242461399.7,1027038596.08
000892.SZ,20210430,20201231,776240177.96,697299972.92,2645212770.21
600281.SH,20210430,20201231,327337430.63,195102459.0,853970368.5
002501.SZ,20210430,20201231,1388643637.12,1174702900.21,3501531399.81
601179.SH,20210430,20201231,15318523432.16,3966343307.85,36164560341.56
600698.SH,20210430,20201231,493022589.16,363289059.8,1272452054.96
002361.SZ,20210430,20201231,1690659966.16,363641225.0,3541229132.93
002889.SZ,20210430,20201231,5920414652.18,5093273318.79,7711438084.86
002714.SZ,20210430,20201231,56522016805.29,14593569721.56,122627256969.07
000425.SZ,20210430,20201231,57626520903.21,17021331671.61,91797176721.9
600010.SH,20210430,20201231,82604972243.2,8713760857.91,144222274934.43
605090.SH,20210430,20201231,1660759605.21,1262819554.93,4352463733.82
600151.SH,20210430,20201231,4696490366.92,999519108.76,10642481547.51
300078.SZ,20210430,20201231,1721477643.14,608244262.41,4709698921.24
600469.SH,20210430,20201231,4611054200.81,1097066557.77,7502313796.92
600733.SH,20210430,20201231,32242210012.86,3969664355.55,43625748639.34
600615.SH,20210430,20201231,42600237.55,18332605.73,676698305.92
600489.SH,20210430,20201231,20279061347.92,5614980694.47,45802747111.94
002203.SZ,20210430,20201231,15905280887.16,4196453894.96,26119603605.23
002366.SZ,20210430,20201231,4754843587.94,72655875.02,5727904259.61
000935.SZ,20210430,20201231,435772700.88,1391763465.19,5517059637.34
600128.SH,20210430,20201231,2206562866.55,829930945.82,4614706968.82
600821.SH,20210430,20201231,10890691272.63,1041127211.15,14321756533.84
000571.SZ,20210430,20201231,1987761424.7,97211234.53,2931012359.75
600166.SH,20210430,20201231,37311577427.79,5413761371.72,52747238312.81
600637.SH,20210430,20201231,9149109144.53,7757485718.13,44058872352.95
688559.SH,20210430,20201231,2233065199.0,780513477.87,3613811014.36
002535.SZ,20210430,20201231,3966813707.66,593674494.53,4797955478.29
600589.SH,20210430,20201231,2322557556.46,718395800.59,3641421244.81
600033.SH,20210430,20201231,3954973552.03,347235279.42,16180632460.62
603863.SH,20210430,20201231,437309614.13,231761538.04,1612536007.91
000998.SZ,20210430,20201231,7562604877.76,1627826139.19,13850860795.49
600593.SH,20210430,20201231,1498031396.26,65481512.96,2099700770.83
002261.SZ,20210430,20201231,847008538.4,553815680.44,3386390414.79
000917.SZ,20210430,20201231,9146858594.12,2463368444.77,20783592605.53
600569.SH,20210430,20201231,29657806540.99,8337412282.87,40507278459.97
600745.SH,20210430,20201231,30816047135.65,5751333136.13,59890549958.92
600345.SH,20210430,20201231,180770709.77,244186453.06,2178866968.15
688026.SH,20210430,20201231,172815886.48,330443257.27,969709074.32
000607.SZ,20210430,20201231,1653770804.75,754768332.43,3223661045.64
002086.SZ,20210430,20201231,1834808293.22,265973257.75,3279116467.69
688169.SH,20210430,20201231,733842661.0,1424179425.0,7847934431.0
002081.SZ,20210430,20201231,27857978731.8,6372631845.72,45003313428.27
002866.SZ,20210430,20201231,939766728.82,550532718.29,2708946239.51
000523.SZ,20210430,20201231,6651150173.83,929713965.25,3399413587.78
603798.SH,20210430,20201231,161523202.22,218464946.56,1167295103.34
600730.SH,20210430,20201231,322104308.49,302460871.8,2298289270.38
603600.SH,20210430,20201231,1793708824.78,309893576.06,3193731658.25
002131.SZ,20210430,20201231,6244609132.17,982634451.81,19257875021.33
002498.SZ,20210430,20201231,1857524000.38,878004383.28,7512857007.87
002470.SZ,20210430,20201231,11547906981.43,787398856.11,16234751243.2
000616.SZ,20210430,20201231,489274937.55,269079007.9,5819189271.05
000732.SZ,20210430,20201231,196766105834.68,2928926253.57,216832586290.45
000663.SZ,20210430,20201231,892879743.22,139577536.26,1518856789.52
000669.SZ,20210430,20201231,2599349047.77,174725581.45,4063237030.7
600382.SH,20210430,20201231,1091507041.33,78337356.86,8098349540.07
000627.SZ,20210430,20201231,204814717027.69,26857149025.88,239402637169.94
600500.SH,20210430,20201231,27936609995.53,6925948696.65,55936902284.94
600619.SH,20210430,20201231,9481875714.37,2278407485.77,14947903638.64
000939.SZ,20210430,20201231,34371224684.31,244814157.89,29866925978.1
000021.SZ,20210430,20201231,13624651397.28,7494030376.8,21634626826.88
600250.SH,20210430,20201231,1242321455.89,602756463.36,2350109852.68
000413.SZ,20210430,20201231,36215610467.3,9636737704.16,64829232860.32
601555.SH,20210430,20201231,77264229402.54,23550623073.76,105474550200.92
000046.SZ,20210430,20201231,146010488560.06,19388226407.02,180990832219.94
000806.SZ,20210430,20201231,2063886068.84,109997091.56,2126618473.51
002355.SZ,20210430,20201231,1730830193.22,449839764.06,4292519140.0
603922.SH,20210430,20201231,177550630.67,195533977.39,1216695457.36
600369.SH,20210430,20201231,54108953622.67,17203544523.08,79188318465.26
600827.SH,20210430,20201231,32680273335.49,16167250105.83,54145443306.58
002424.SZ,20210430,20201231,3112555653.48,1030959946.21,7032834480.26
002411.SZ,20210430,20201231,10276395615.73,710365015.75,19207421102.85
002747.SZ,20210430,20201231,3697407838.07,609829458.72,5684821590.25
002052.SZ,20210430,20201231,462277555.87,67721461.82,693385543.02
002168.SZ,20210430,20201231,1058635759.95,115070299.38,1475202934.42
300352.SZ,20210430,20201231,684672788.28,332363787.27,2867815029.01
000979.SZ,20210430,20201231,31570354079.81,37693252.13,30475967424.44
002118.SZ,20210430,20201231,6768026380.66,12513565.08,10508744772.87
002712.SZ,20210430,20201231,746347187.56,613955529.96,2746908354.57
002005.SZ,20210430,20201231,2114854124.26,340921590.14,4063483966.9
688157.SH,20210430,20201231,141525710.9,557344623.63,1242580846.48
605177.SH,20210430,20201231,351790713.93,989381857.35,2081356662.72
002405.SZ,20210430,20201231,1317943475.67,1450600712.7,9205912179.86
002636.SZ,20210430,20201231,2410222257.44,606178513.6,5326075118.56
601099.SH,20210430,20201231,13000116506.44,5668809652.2,22658540429.1
600928.SH,20210430,20201231,280768067000.0,,306391591000.0
600816.SH,20210430,20201231,18331531691.34,630055988.94,19932118143.3
002177.SZ,20210430,20201231,75060666.92,119734134.06,1780200827.44
000876.SZ,20210430,20201231,58072513561.91,8799264356.2,109443465562.15
000783.SZ,20210430,20201231,105156204422.99,34513012375.09,134409613584.04
002716.SZ,20210430,20201231,1686157498.41,556126583.72,3648844241.63
000723.SZ,20210430,20201231,14056204665.32,2769879337.17,25313102628.5
601007.SH,20210430,20201231,909989211.96,305037215.32,3194427555.86
000593.SZ,20210430,20201231,1052018361.2,139495311.4,2101925820.46
601997.SH,20210430,20201231,546228723000.0,,590680344000.0
600545.SH,20210430,20201231,7756717000.0,525988000.0,12846342000.0
000852.SZ,20210430,20201231,6241304655.26,99201294.52,8204689194.21
600257.SH,20210430,20201231,669327720.34,220758727.54,1968514403.28
601127.SH,20210430,20201231,20648563134.12,2931612314.48,26267594641.66
603633.SH,20210430,20201231,718459790.93,91097799.87,1799045800.03
601968.SH,20210430,20201231,2824607807.38,704933098.6,6457755509.43
603711.SH,20210430,20201231,1899466106.24,1394233959.15,4737859938.11
600208.SH,20210430,20201231,97156404704.61,16921091875.26,135684563270.94
000887.SZ,20210430,20201231,9936429936.03,1967274782.2,18922894919.73
688008.SH,20210430,20201231,349191164.55,5474592292.77,8419441850.95
601106.SH,20210430,20201231,21618379799.76,2444779988.82,32872551256.79
002558.SZ,20210430,20201231,1310586410.46,3081159196.15,10834794955.12
002929.SZ,20210430,20201231,3630071927.31,2025545930.28,6938337297.51
