ts_code,ann_date,end_date,operate_profit,f_ann_date,report_type,revenue,oper_cost,biz_tax_surchg,sell_exp,admin_exp,fin_exp,invest_income
301365.SZ,20260429,20251231,74843206.96,,,,,,,,,
002043.SZ,20260429,20251231,962516240.54,,,,,,,,,
300375.SZ,20260429,20251231,-190378507.44,,,,,,,,,
001216.SZ,20260429,20251231,247308959.17,,,,,,,,,
002785.SZ,20260429,20251231,-112635055.75,,,,,,,,,
603369.SH,20260429,20251231,3462684826.63,,,,,,,,,
920374.BJ,20260429,20251231,13847993.64,,,,,,,,,
688178.SH,20260429,20251231,-138460245.07,,,,,,,,,
000676.SZ,20260429,20251231,201449081.83,,,,,,,,,
000153.SZ,20260429,20251231,126057665.13,,,,,,,,,
003026.SZ,20260429,20251231,41948990.14,,,,,,,,,
000983.SZ,20260429,20251231,3445968600.42,,,,,,,,,
920832.BJ,20260429,20251231,-4652587.87,,,,,,,,,
002508.SZ,20260429,20251231,1437292329.89,,,,,,,,,
605599.SH,20260429,20251231,1541440773.1,,,,,,,,,
920810.BJ,20260429,20251231,922136.91,,,,,,,,,
300095.SZ,20260429,20251231,-231689739.92,,,,,,,,,
301196.SZ,20260429,20251231,294903229.35,,,,,,,,,
688575.SH,20260429,20251231,111467576.7,,,,,,,,,
300861.SZ,20260429,20251231,304503956.95,,,,,,,,,
300492.SZ,20260429,20251231,313869766.39,,,,,,,,,
301499.SZ,20260429,20251231,55763292.95,,,,,,,,,
301017.SZ,20260429,20251231,186470277.27,,,,,,,,,
605388.SH,20260429,20251231,-267770147.87,,,,,,,,,
001335.SZ,20260429,20251231,80292638.3,,,,,,,,,
002708.SZ,20260429,20251231,87576230.12,,,,,,,,,
920195.BJ,20260429,20251231,123149415.06,,,,,,,,,
301565.SZ,20260429,20251231,81691015.78,,,,,,,,,
000876.SZ,20260429,20251231,-937121892.19,,,,,,,,,
000599.SZ,20260429,20251231,-346341830.73,,,,,,,,,
688226.SH,20260429,20251231,36272286.72,,,,,,,,,
603255.SH,20260429,20251231,-5719858.94,,,,,,,,,
600475.SH,20260429,20251231,712656436.15,,,,,,,,,
920266.BJ,20260429,20251231,-42531637.81,,,,,,,,,
301085.SZ,20260429,20251231,-165293775.15,,,,,,,,,
000637.SZ,20260429,20251231,-171119595.03,,,,,,,,,
920639.BJ,20260429,20251231,15961809.94,,,,,,,,,
603733.SH,20260429,20251231,1148414991.91,,,,,,,,,
000700.SZ,20260429,20251231,534485051.03,,,,,,,,,
688310.SH,20260429,20251231,59419224.9,,,,,,,,,
002614.SZ,20260429,20251231,43013162.67,,,,,,,,,
301580.SZ,20260429,20251231,215654253.83,,,,,,,,,
301006.SZ,20260429,20251231,105047752.4,,,,,,,,,
002867.SZ,20260429,20251231,1347206031.15,,,,,,,,,
300962.SZ,20260429,20251231,147763602.54,,,,,,,,,
300084.SZ,20260429,20251231,-17877779.15,,,,,,,,,
002387.SZ,20260429,20251231,-2685555725.85,,,,,,,,,
600199.SH,20260429,20251231,-193083342.63,,,,,,,,,
002930.SZ,20260429,20251231,-328013320.29,,,,,,,,,
603803.SH,20260429,20251231,-41305433.4,,,,,,,,,
603040.SH,20260429,20251231,317595971.34,,,,,,,,,
