ts_code,end_date,c_fr_sale_sg,c_pay_acq_const_fiolta
002068.SZ,20081231,2178928939.44,327086397.46
002070.SZ,20081231,799868473.18,148926626.39
002071.SZ,20081231,371762120.76,42620466.79
002072.SZ,20081231,689663231.97,72065220.59
002073.SZ,20081231,889801779.5,175331137.87
002076.SZ,20081231,403824134.42,25379062.08
002079.SZ,20081231,519693518.45,65773964.25
002080.SZ,20081231,966275671.95,304337726.34
002081.SZ,20081231,3069557837.85,140422900.78
002084.SZ,20081231,1731585711.33,193100767.18
002085.SZ,20081231,1615918865.68,139713888.48
002088.SZ,20081231,868703812.89,169937715.84
002089.SZ,20081231,274191658.91,23984429.36
002090.SZ,20081231,440693309.69,26116447.46
002091.SZ,20081231,3129150699.06,43398136.31
002092.SZ,20081231,4233543576.87,1595105486.43
002093.SZ,20081231,630270376.78,101796756.12
002095.SZ,20081231,109248758.87,5344976.76
002096.SZ,20081231,397996875.78,70275411.45
002100.SZ,20081231,1063533419.37,129325180.6
002101.SZ,20081231,616303712.65,95511402.11
002104.SZ,20081231,419075379.38,47129391.75
002106.SZ,20081231,575848065.43,228916127.69
002109.SZ,20081231,707542574.82,203479928.61
002111.SZ,20081231,492910204.19,84850991.27
002114.SZ,20081231,1032548244.03,89426169.48
002115.SZ,20081231,487201244.35,52045521.89
002116.SZ,20081231,1928964858.41,31451390.07
002117.SZ,20081231,635364643.09,112596572.34
002118.SZ,20081231,243423398.88,32126403.32
002119.SZ,20081231,834188957.11,187384344.69
002122.SZ,20081231,2728023377.79,704302559.22
002123.SZ,20081231,548541486.44,191970078.78
002124.SZ,20081231,1052721708.45,106737123.02
002128.SZ,20081231,4520312465.73,546887177.13
002129.SZ,20081231,1060866593.98,276905786.39
002130.SZ,20081231,404920180.35,45280312.34
002132.SZ,20081231,1205009874.22,119297471.94
002134.SZ,20081231,473236405.09,118414696.81
002136.SZ,20081231,186335772.48,77973515.35
002137.SZ,20081231,985079079.39,60713231.15
002138.SZ,20081231,262613479.88,103588593.56
002139.SZ,20081231,553212888.25,33256629.67
002140.SZ,20081231,1507002777.54,48096481.06
002144.SZ,20081231,348701640.93,49814581.83
002146.SZ,20081231,2136087119.05,173694005.61
002147.SZ,20081231,191173691.48,133352739.44
002148.SZ,20081231,139558761.26,13006906.17
002150.SZ,20081231,490464991.3,80906731.61
002151.SZ,20081231,214667638.57,40051903.44
002152.SZ,20081231,1441860428.84,97983046.01
002153.SZ,20081231,518531560.82,137647921.79
002155.SZ,20081231,1539221423.42,315708028.86
002158.SZ,20081231,400683517.23,41628016.75
002159.SZ,20081231,180588108.75,73790454.48
002162.SZ,20081231,1000322860.69,348298908.06
002163.SZ,20081231,1315373154.45,246741415.47
002164.SZ,20081231,605676638.68,151407359.0
002165.SZ,20081231,573763807.21,44882320.32
002166.SZ,20081231,129982833.07,68516581.86
002168.SZ,20081231,226693748.81,64521456.98
002169.SZ,20081231,365344442.73,53885871.35
002170.SZ,20081231,1783222954.5,74503717.06
002177.SZ,20081231,415848325.48,196589465.16
002179.SZ,20081231,820080391.95,193528293.44
002181.SZ,20081231,648469160.79,42084804.81
002182.SZ,20081231,2733760702.1,447109816.74
002186.SZ,20081231,1070520809.37,192880334.7
002187.SZ,20081231,3877445434.04,527621618.42
002188.SZ,20081231,238183329.62,60092969.9
002189.SZ,20081231,426240275.33,73537390.42
002190.SZ,20081231,183769544.13,24811809.75
002192.SZ,20081231,426899608.04,18311549.7
002194.SZ,20081231,1211395885.82,253154930.04
002200.SZ,20081231,344513729.33,215033147.46
002202.SZ,20081231,7066400009.89,954534722.16
002203.SZ,20081231,9159736064.57,220529303.62
002204.SZ,20081231,922267460.62,505375661.7
002205.SZ,20081231,333591611.76,47299136.06
002207.SZ,20081231,289130593.71,86251998.75
002213.SZ,20081231,124666890.87,20767305.62
002214.SZ,20081231,209978537.55,7797041.84
002217.SZ,20081231,971517350.44,162797706.31
002218.SZ,20081231,294731105.75,250797998.28
002220.SZ,20081231,541608349.76,94553644.6
002222.SZ,20081231,149747277.41,81142225.12
002223.SZ,20081231,469351139.89,72966567.73
002225.SZ,20081231,680949324.58,97956720.3
002228.SZ,20081231,555494832.37,106949154.69
002229.SZ,20081231,190158490.91,11696677.36
002232.SZ,20081231,1160722450.42,110543368.33
002233.SZ,20081231,2529210525.46,891033123.55
002234.SZ,20081231,837275725.0,170081538.08
002236.SZ,20081231,692223132.84,36231357.96
