ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,revenue,total_revenue,oper_cost,operate_profit,total_profit,n_income,basic_eps
603729.SH,20160203,20160203,20151231,1,1,1320438943.93,1320438943.93,1187963883.15,50754660.51,60162673.22,49059500.98,0.65
002662.SZ,20160227,20160227,20151231,1,1,3615880558.42,3615880558.42,2511497081.05,585960585.22,590173418.12,463179484.89,0.6
002014.SZ,20160204,20160204,20151231,1,1,1783867801.24,1783867801.24,1405015913.02,200929677.96,212780244.82,182279719.81,0.55
002061.SZ,20160229,20160229,20151231,1,1,2479964542.26,2479964542.26,2274413768.39,-166917388.27,-174584636.32,-183344270.26,-0.4
000971.SZ,20160202,20160202,20151231,1,1,157405960.45,157405960.45,103560198.7,9696602.25,9578203.99,2601929.41,0.01
002655.SZ,20160229,20160229,20151231,1,1,705260903.48,705260903.48,514760049.45,11220541.64,22466709.74,19198923.68,0.05
600226.SH,20160227,20160227,20151231,1,1,1010102392.17,1010102392.17,868065161.0,127270873.38,134669481.25,134551051.09,0.13
600237.SH,20160226,20160226,20151231,1,1,599572544.35,599572544.35,530952980.38,-120141480.08,7108041.49,9290187.96,0.02
600898.SH,20160226,20160226,20151231,1,1,879894002.28,879894002.28,764796301.49,29697662.44,31671929.47,23408784.15,0.0927
000034.SZ,20160227,20160227,20151231,1,1,458063353.6,458063353.6,409062925.8,-7069084.04,24545321.58,21363244.02,0.06
600671.SH,20160203,20160203,20151231,1,1,94765832.55,94765832.55,64992269.21,-21265020.19,-21204302.66,-22491900.27,-0.18
000050.SZ,20160219,20160219,20151231,1,1,10530002724.0,10530002724.0,8809723501.0,18992079.0,607948426.0,555573174.0,0.4901
000413.SZ,20160206,20160206,20151231,1,1,4650208448.1,4650208448.1,2800353518.04,1073208894.17,1630306693.05,1392523686.18,0.48
002667.SZ,20160225,20160225,20151231,1,1,161574436.42,161574436.42,91331039.3,-642902.46,5621519.82,6039883.36,0.05
002522.SZ,20160202,20160202,20151231,1,1,483762770.35,483762770.35,324105010.51,74394739.08,77212529.68,64298037.91,0.08
300125.SZ,20160204,20160204,20151231,1,1,374410455.57,374410455.57,293503547.35,-28811952.35,7545803.45,9790891.31,0.07
600106.SH,20160226,20160226,20151231,1,1,320334783.94,320334783.94,39322043.16,232085571.44,233978344.39,224749854.22,0.25
000976.SZ,20160203,20160203,20151231,1,1,662714225.64,662714225.64,618021574.79,-18311610.12,15374322.11,15363221.69,0.03
300324.SZ,20160223,20160223,20151231,1,1,980319199.5,980319199.5,490408294.63,129284758.88,151090011.75,115601483.6,0.2172
300278.SZ,20160225,20160225,20151231,1,1,1749708679.42,1749708679.42,1435977322.28,112880942.08,118289269.42,100736176.89,0.18
300259.SZ,20160227,20160227,20151231,1,1,380486279.73,380486279.73,223814623.83,74091958.23,90589882.6,79080589.14,0.17
300227.SZ,20160206,20160206,20151231,1,1,225775923.43,225775923.43,136958445.94,25665233.36,28384788.51,24329203.8,0.1883
300228.SZ,20160227,20160227,20151231,1,1,1303394137.58,1303394137.58,912354129.26,-10730643.34,8658396.97,12081772.26,0.06
002601.SZ,20160227,20160227,20151231,1,1,2634532199.73,2659797209.9,2146858738.14,125790404.21,135663303.34,118958219.46,0.57
002585.SZ,20160226,20160226,20151231,1,1,2380537380.43,2380537380.43,2136085572.6,90047569.77,136242115.54,120507729.98,0.17
300243.SZ,20160227,20160227,20151231,1,1,804852778.91,804852778.91,596454130.0,59001300.98,62789251.23,47309546.57,0.23
300233.SZ,20160226,20160226,20151231,1,1,1178560300.47,1178560300.47,762933853.17,165065030.18,173110094.0,169204944.33,0.68
300175.SZ,20160226,20160226,20151231,1,1,846528937.29,846528937.29,724569345.33,38465073.29,38771193.62,37590279.38,0.076
601155.SH,20160205,20160205,20151231,1,1,23568793145.0,23568793145.0,17250341611.0,3272224420.0,3290853855.0,2399604653.0,1.51
600689.SH,20160206,20160206,20151231,1,1,1128476975.39,1128476975.39,1050755487.35,11192847.45,-46762695.16,-38437573.95,-0.19
300162.SZ,20160227,20160227,20151231,1,1,380790683.12,380790683.12,247521182.71,16415066.26,23714247.57,18304512.67,0.06
600890.SH,20160205,20160205,20151231,1,1,15919322.11,15919322.11,11705052.62,9430637.86,12938923.79,12132921.66,0.02
