ts_code,ann_date,end_date,operate_profit
000998.SZ,20200829,20200630,934015.35
601127.SH,20200829,20200630,-751955058.96
000980.SZ,20200829,20200630,-1080683541.15
600795.SH,20200829,20200630,4744242406.77
601010.SH,20200829,20200630,112826768.27
601633.SH,20200829,20200630,1160482187.05
002310.SZ,20200829,20200630,-296830207.15
000543.SZ,20200829,20200630,718437025.37
000032.SZ,20200829,20200630,47340678.15
688567.SH,20200829,20200630,-237740338.37
000060.SZ,20200829,20200630,415453961.95
000591.SZ,20200829,20200630,693247186.84
000727.SZ,20200829,20200630,-1210295762.18
000528.SZ,20200829,20200630,819531969.29
603799.SH,20200829,20200630,437317425.04
000703.SZ,20200829,20200630,2685112529.23
000685.SZ,20200829,20200630,722122134.24
603188.SH,20200829,20200630,-202875989.46
603198.SH,20200829,20200630,463756527.92
000669.SZ,20200829,20200630,-181272370.46
603228.SH,20200829,20200630,556536565.65
002602.SZ,20200829,20200630,1843531864.6
600635.SH,20200829,20200630,338310831.38
002277.SZ,20200829,20200630,48642819.73
601800.SH,20200829,20200630,8680916449.0
000158.SZ,20200829,20200630,-66477358.53
000408.SZ,20200829,20200630,-76686068.36
000413.SZ,20200829,20200630,-837308442.52
000426.SZ,20200829,20200630,-150686560.61
000501.SZ,20200829,20200630,-51336433.13
000725.SZ,20200829,20200630,597217929.0
601888.SH,20200829,20200630,1184326630.76
002399.SZ,20200829,20200630,693457152.66
000816.SZ,20200829,20200630,22600613.49
601801.SH,20200829,20200630,477557762.27
601866.SH,20200829,20200630,961240663.31
600393.SH,20200829,20200630,261711013.75
601869.SH,20200829,20200630,274471873.0
000839.SZ,20200829,20200630,-188255017.53
601766.SH,20200829,20200630,5385859000.0
601919.SH,20200829,20200630,2277601417.25
601898.SH,20200829,20200630,5464103000.0
600088.SH,20200829,20200630,-81166116.2
600221.SH,20200829,20200630,-16310137000.0
600098.SH,20200829,20200630,665155773.76
000066.SZ,20200829,20200630,-286905097.78
600377.SH,20200829,20200630,638217120.51
000100.SZ,20200829,20200630,760573000.0
000088.SZ,20200829,20200630,165456281.46
000046.SZ,20200829,20200630,-335498276.68
000008.SZ,20200829,20200630,-308243078.02
600058.SH,20200829,20200630,180993023.94
600004.SH,20200829,20200630,-94138250.91
601717.SH,20200829,20200630,1525219757.43
002271.SZ,20200829,20200630,1397668032.03
601933.SH,20200829,20200630,2195875825.46
000826.SZ,20200829,20200630,360280208.88
601965.SH,20200829,20200630,238226364.8
300347.SZ,20200829,20200630,1126324219.21
600006.SH,20200829,20200630,330791717.29
600085.SH,20200829,20200630,930356383.86
600037.SH,20200829,20200630,84930424.38
600008.SH,20200829,20200630,751499090.17
600068.SH,20200829,20200630,2279260078.6
600009.SH,20200829,20200630,-514190000.84
000800.SZ,20200829,20200630,2936975630.37
600029.SH,20200829,20200630,-12300000000.0
600067.SH,20200829,20200630,-46732487.49
000831.SZ,20200829,20200630,168492075.15
601727.SH,20200829,20200630,3022176000.0
000813.SZ,20200829,20200630,244248778.7
688180.SH,20200829,20200630,-580306686.3
600392.SH,20200829,20200630,74695788.63
600089.SH,20200829,20200630,1214711767.62
600406.SH,20200829,20200630,1745839809.88
600289.SH,20200829,20200630,-118643490.39
600158.SH,20200829,20200630,64991173.12
600170.SH,20200829,20200630,1756799820.73
600171.SH,20200829,20200630,94531971.9
600179.SH,20200829,20200630,-481211854.53
600180.SH,20200829,20200630,192862523.86
600188.SH,20200829,20200630,7167549000.0
600236.SH,20200829,20200630,1379618197.47
600252.SH,20200829,20200630,402089802.25
600259.SH,20200829,20200630,35228542.51
600059.SH,20200829,20200630,88887115.12
600295.SH,20200829,20200630,788666709.46
600153.SH,20200829,20200630,4326663086.49
000050.SZ,20200829,20200630,836110904.53
688012.SH,20200829,20200630,129826564.81
000063.SZ,20200829,20200630,2840600000.0
002491.SZ,20200829,20200630,-119161417.72
600642.SH,20200829,20200630,1517165151.5
600640.SH,20200829,20200630,-100855638.22
002925.SZ,20200829,20200630,482072806.7
002901.SZ,20200829,20200630,311346734.48
002850.SZ,20200829,20200630,46474337.18
600416.SH,20200829,20200630,-139900756.27
600157.SH,20200829,20200630,305306950.91
600292.SH,20200829,20200630,47374011.95
600150.SH,20200829,20200630,-81849439.38
600546.SH,20200829,20200630,1041219407.4
600418.SH,20200829,20200630,-259160914.82
600138.SH,20200829,20200630,-172422650.63
600425.SH,20200829,20200630,186743437.09
600481.SH,20200829,20200630,13433322.44
600485.SH,20200829,20200630,-1231624217.24
600498.SH,20200829,20200630,66384313.94
600100.SH,20200829,20200630,-120060801.14
600500.SH,20200829,20200630,1009415332.02
600516.SH,20200829,20200630,232129284.83
600545.SH,20200829,20200630,-175648000.0
600499.SH,20200829,20200630,176581851.2
600115.SH,20200829,20200630,-12156000000.0
600122.SH,20200829,20200630,-615889587.03
600580.SH,20200829,20200630,448187387.93
600587.SH,20200829,20200630,178670579.53
600588.SH,20200829,20200630,28814236.0
600362.SH,20200829,20200630,1148525553.0
600320.SH,20200829,20200630,-36138410.0
600300.SH,20200829,20200630,196007738.25
600297.SH,20200829,20200630,952800312.99
600563.SH,20200829,20200630,276596284.71
601669.SH,20200828,20200630,6677213392.53
002407.SZ,20200828,20200630,37744611.21
002405.SZ,20200828,20200630,-186947331.22
601778.SH,20200828,20200630,254647741.43
601607.SH,20200828,20200630,3633508880.43
002595.SZ,20200828,20200630,603108257.65
603939.SH,20200828,20200630,624238585.94
688126.SH,20200828,20200630,-69929249.72
603893.SH,20200828,20200630,92708153.02
603983.SH,20200828,20200630,325876112.08
603927.SH,20200828,20200630,134232545.96
002402.SZ,20200828,20200630,200602505.11
601611.SH,20200828,20200630,719524340.21
002410.SZ,20200828,20200630,177770306.26
002603.SZ,20200828,20200630,852627297.75
601298.SH,20200828,20200630,2887221692.0
002841.SZ,20200828,20200630,541790807.57
002831.SZ,20200828,20200630,415578660.22
002818.SZ,20200828,20200630,368004043.59
688006.SH,20200828,20200630,227167246.0
002738.SZ,20200828,20200630,98789852.7
000009.SZ,20200828,20200630,475692602.42
002698.SZ,20200828,20200630,321758480.6
601333.SH,20200828,20200630,-766786453.0
601989.SH,20200828,20200630,77986314.82
688100.SH,20200828,20200630,160358804.15
688019.SH,20200828,20200630,55656683.44
603256.SH,20200828,20200630,74640245.93
002608.SZ,20200828,20200630,1922674189.59
002589.SZ,20200828,20200630,550356535.35
000818.SZ,20200828,20200630,106592455.39
600863.SH,20200828,20200630,890102208.44
600875.SH,20200828,20200630,1182841983.26
002663.SZ,20200828,20200630,-18034339.9
000683.SZ,20200828,20200630,2864913.01
000681.SZ,20200828,20200630,87168815.09
002118.SZ,20200828,20200630,-218868730.51
600733.SH,20200828,20200630,-1982853578.22
002110.SZ,20200828,20200630,1604753275.59
002074.SZ,20200828,20200630,42119116.88
000717.SZ,20200828,20200630,1032046398.86
002063.SZ,20200828,20200630,90707335.88
000612.SZ,20200828,20200630,194797624.16
000631.SZ,20200828,20200630,182851356.82
002122.SZ,20200828,20200630,41305792.45
688981.SH,20200828,20200630,1429391000.0
000039.SZ,20200828,20200630,588681000.0
600764.SH,20200828,20200630,260398125.9
600801.SH,20200828,20200630,3117085950.0
601880.SH,20200828,20200630,610619921.0
601179.SH,20200828,20200630,180811672.4
603528.SH,20200828,20200630,20850345.78
601877.SH,20200828,20200630,2236035413.08
600765.SH,20200828,20200630,210347055.29
601668.SH,20200828,20200630,43259633000.0
601872.SH,20200828,20200630,3060401450.75
603556.SH,20200828,20200630,257654296.85
603569.SH,20200828,20200630,45830681.84
603589.SH,20200828,20200630,652516616.03
600737.SH,20200828,20200630,572274853.25
688027.SH,20200828,20200630,-21255807.87
002190.SZ,20200828,20200630,-1369428.02
002665.SZ,20200828,20200630,-87168853.41
002292.SZ,20200828,20200630,-65462495.22
002458.SZ,20200828,20200630,216314051.62
002450.SZ,20200828,20200630,-554647666.72
688520.SH,20200828,20200630,-341293503.72
002157.SZ,20200828,20200630,2646772957.82
002106.SZ,20200828,20200630,250629073.22
000403.SZ,20200828,20200630,79084567.57
000550.SZ,20200828,20200630,248547998.0
000539.SZ,20200828,20200630,1688088317.0
000540.SZ,20200828,20200630,565558675.44
002219.SZ,20200828,20200630,-33014424.58
000858.SZ,20200828,20200630,15057459890.59
000541.SZ,20200828,20200630,177243271.09
002161.SZ,20200828,20200630,-204892949.93
000503.SZ,20200828,20200630,-119301133.84
002432.SZ,20200828,20200630,316270802.89
000568.SZ,20200828,20200630,4287090741.67
000155.SZ,20200828,20200630,314122403.47
002180.SZ,20200828,20200630,607330583.69
000559.SZ,20200828,20200630,215432548.3
000726.SZ,20200828,20200630,175307062.82
002332.SZ,20200828,20200630,258715873.58
000537.SZ,20200828,20200630,1878844664.27
000878.SZ,20200828,20200630,607169243.27
000547.SZ,20200828,20200630,377950225.09
600628.SH,20200828,20200630,-16141346.43
600617.SH,20200828,20200630,-359474217.98
600612.SH,20200828,20200630,1326054343.11
600611.SH,20200828,20200630,219113622.49
601600.SH,20200828,20200630,380897000.0
002468.SZ,20200828,20200630,99536854.63
002472.SZ,20200828,20200630,12067005.81
601598.SH,20200828,20200630,1562040151.92
002437.SZ,20200828,20200630,816242082.48
600862.SH,20200828,20200630,373725244.15
600887.SH,20200828,20200630,4782294593.83
002583.SZ,20200828,20200630,260569109.94
300002.SZ,20200828,20200630,110431996.31
601777.SH,20200828,20200630,-1799173741.41
002946.SZ,20200828,20200630,79246432.84
601816.SH,20200828,20200630,543495408.9
300003.SZ,20200828,20200630,1375409273.34
600825.SH,20200828,20200630,8948746.5
002440.SZ,20200828,20200630,451544226.61
600831.SH,20200828,20200630,23525318.52
603290.SH,20200828,20200630,93899459.78
601126.SH,20200828,20200630,61310833.8
600851.SH,20200828,20200630,86285326.5
603288.SH,20200828,20200630,3839128963.76
603260.SH,20200828,20200630,521356485.93
601369.SH,20200828,20200630,508728431.08
002558.SZ,20200828,20200630,583590770.4
002517.SZ,20200828,20200630,65095806.48
688256.SH,20200828,20200630,-201860324.45
002508.SZ,20200828,20200630,735777452.49
688301.SH,20200828,20200630,122349232.89
002505.SZ,20200828,20200630,16491738.51
002503.SZ,20200828,20200630,41744442.38
002498.SZ,20200828,20200630,407414040.16
002497.SZ,20200828,20200630,181633988.37
002129.SZ,20200828,20200630,839641712.97
600820.SH,20200828,20200630,754539324.3
000636.SZ,20200828,20200630,389981979.21
600200.SH,20200828,20200630,-21476787.15
000930.SZ,20200828,20200630,474881142.32
600026.SH,20200828,20200630,3250536360.42
600410.SH,20200828,20200630,881801095.85
300297.SZ,20200828,20200630,-82497131.89
300373.SZ,20200828,20200630,175774619.79
300383.SZ,20200828,20200630,536390571.22
300408.SZ,20200828,20200630,659909696.84
000338.SZ,20200828,20200630,6623764350.48
600161.SH,20200828,20200630,495439684.12
300442.SZ,20200828,20200630,-35534445.09
300459.SZ,20200828,20200630,508993593.02
300482.SZ,20200828,20200630,552380405.89
300604.SZ,20200828,20200630,15084359.82
300677.SZ,20200828,20200630,2288409923.12
300760.SZ,20200828,20200630,3908669788.0
600131.SH,20200828,20200630,190521388.91
600125.SH,20200828,20200630,351666681.68
300769.SZ,20200828,20200630,-12097109.04
300782.SZ,20200828,20200630,407029067.03
300888.SZ,20200828,20200630,1216758225.26
600108.SH,20200828,20200630,12743114.94
600104.SH,20200828,20200630,12418284591.03
302132.SZ,20200828,20200630,165529629.54
600086.SH,20200828,20200630,-591142531.0
600018.SH,20200828,20200630,5106991318.27
600019.SH,20200828,20200630,6167564238.25
600031.SH,20200828,20200630,10118644000.0
300346.SZ,20200828,20200630,90373820.91
600198.SH,20200828,20200630,-155640709.14
600515.SH,20200828,20200630,1172103328.54
000869.SZ,20200828,20200630,414477452.0
600518.SH,20200828,20200630,-1429132110.16
600586.SH,20200828,20200630,98748425.23
002001.SZ,20200828,20200630,2574246021.57
001696.SZ,20200828,20200630,403242381.36
000762.SZ,20200828,20200630,-42136030.24
600489.SH,20200828,20200630,985727110.77
600482.SH,20200828,20200630,408203531.11
000777.SZ,20200828,20200630,21924795.79
002022.SZ,20200828,20200630,376074807.2
000979.SZ,20200828,20200630,-889833572.08
600468.SH,20200828,20200630,65369487.39
600466.SH,20200828,20200630,2075043357.44
002354.SZ,20200828,20200630,-178780610.28
000785.SZ,20200828,20200630,582941508.56
000883.SZ,20200828,20200630,1839453386.87
600582.SH,20200828,20200630,793666531.92
002358.SZ,20200828,20200630,20549030.69
000758.SZ,20200828,20200630,111444125.01
300113.SZ,20200828,20200630,83157538.97
600575.SH,20200828,20200630,297025946.75
002392.SZ,20200828,20200630,267791680.32
002032.SZ,20200828,20200630,806502677.15
002366.SZ,20200828,20200630,-165846104.4
000893.SZ,20200828,20200630,22921148.56
600547.SH,20200828,20200630,1701203418.71
002368.SZ,20200828,20200630,24798281.97
600507.SH,20200828,20200630,1281007958.74
600536.SH,20200828,20200630,-493321628.35
600525.SH,20200828,20200630,135179252.12
002396.SZ,20200828,20200630,17550580.32
600409.SH,20200828,20200630,-385070580.65
600167.SH,20200828,20200630,1238902436.63
600022.SH,20200828,20200630,858348966.76
603225.SH,20200828,20200630,189102260.23
603001.SH,20200828,20200630,28874771.56
601828.SH,20200828,20200630,1622889838.29
601216.SH,20200828,20200630,1547233524.21
603728.SH,20200828,20200630,91206916.11
603719.SH,20200828,20200630,227965575.17
601857.SH,20200828,20200630,-19753000000.0
603708.SH,20200828,20200630,389730217.99
000729.SZ,20200828,20200630,421474756.49
601928.SH,20200828,20200630,829700765.51
603233.SH,20200828,20200630,817885718.32
600881.SH,20200828,20200630,81655645.04
601908.SH,20200828,20200630,255560311.4
300072.SZ,20200828,20200630,-328414915.94
600939.SH,20200828,20200630,207933249.54
603000.SH,20200828,20200630,28810196.37
601106.SH,20200828,20200630,72912785.78
601012.SH,20200828,20200630,4877363246.69
601098.SH,20200828,20200630,676673434.17
600995.SH,20200828,20200630,206984411.35
600380.SH,20200828,20200630,1866438666.4
603185.SH,20200828,20200630,171610613.35
601001.SH,20200828,20200630,1048976656.86
603160.SH,20200828,20200630,581732679.92
601006.SH,20200828,20200630,7970298453.0
600705.SH,20200828,20200630,3357516279.38
600707.SH,20200828,20200630,-1767794636.94
603698.SH,20200828,20200630,23675171.87
002152.SZ,20200828,20200630,449963548.14
603833.SH,20200828,20200630,568804289.25
603077.SH,20200828,20200630,31667311.74
603888.SH,20200828,20200630,-9607128.78
600260.SH,20200828,20200630,432430181.71
600378.SH,20200828,20200630,283608284.46
600373.SH,20200828,20200630,933028602.75
600339.SH,20200828,20200630,521541982.01
600335.SH,20200828,20200630,284958964.82
600317.SH,20200828,20200630,827764339.12
300100.SZ,20200828,20200630,54437932.47
300147.SZ,20200828,20200630,177138245.7
300159.SZ,20200828,20200630,-12160458.48
600291.SH,20200828,20200630,-58848914368.0
300166.SZ,20200828,20200630,80492177.17
600284.SH,20200828,20200630,197087294.07
600280.SH,20200828,20200630,-28927320.35
300180.SZ,20200828,20200630,53904822.38
600277.SH,20200828,20200630,297702273.47
300134.SZ,20200828,20200630,47434753.41
300182.SZ,20200828,20200630,115864904.4
000963.SZ,20200828,20200630,2119269312.18
603377.SH,20200828,20200630,-53037549.52
600258.SH,20200828,20200630,-853843279.18
600804.SH,20200828,20200630,408084973.18
601886.SH,20200828,20200630,305668025.46
000806.SZ,20200828,20200630,5561309.89
300114.SZ,20200828,20200630,165529629.54
603858.SH,20200828,20200630,1093337015.0
300274.SZ,20200828,20200630,480242297.7
600233.SH,20200828,20200630,1192851147.41
300267.SZ,20200828,20200630,74687848.91
300197.SZ,20200828,20200630,-202003167.42
300212.SZ,20200827,20200630,184377942.07
300202.SZ,20200827,20200630,14043133.09
300324.SZ,20200827,20200630,-26150434.31
300223.SZ,20200827,20200630,12821695.67
300253.SZ,20200827,20200630,67848446.21
300266.SZ,20200827,20200630,-23994148.77
300285.SZ,20200827,20200630,306803267.05
300308.SZ,20200827,20200630,430588717.98
300315.SZ,20200827,20200630,552875337.07
300316.SZ,20200827,20200630,319065919.57
300573.SZ,20200827,20200630,16517486.57
300413.SZ,20200827,20200630,1120552777.92
300432.SZ,20200827,20200630,183232060.72
300438.SZ,20200827,20200630,84639862.97
300487.SZ,20200827,20200630,117145770.77
300567.SZ,20200827,20200630,60577921.13
300595.SZ,20200827,20200630,145234149.01
603517.SH,20200827,20200630,392038000.13
300630.SZ,20200827,20200630,165699546.21
300676.SZ,20200827,20200630,2008759741.22
000566.SZ,20200827,20200630,57126149.9
300118.SZ,20200827,20200630,482078389.39
300168.SZ,20200827,20200630,-212171592.96
600618.SH,20200827,20200630,167061154.71
300682.SZ,20200827,20200630,92986077.78
002251.SZ,20200827,20200630,219617783.73
300724.SZ,20200827,20200630,285454903.53
601718.SH,20200827,20200630,43048201.31
002252.SZ,20200827,20200630,815300605.69
300803.SZ,20200827,20200630,97408553.0
300857.SZ,20200827,20200630,58800426.03
300043.SZ,20200827,20200630,-75123681.18
300759.SZ,20200827,20200630,536591105.81
002265.SZ,20200827,20200630,-29117486.43
600338.SH,20200827,20200630,156180460.63
300027.SZ,20200827,20200630,-225489073.81
002851.SZ,20200827,20200630,165212497.11
000555.SZ,20200827,20200630,144321686.01
300750.SZ,20200827,20200630,2594040723.68
300017.SZ,20200827,20200630,219832558.61
000932.SZ,20200827,20200630,3800306681.38
600017.SH,20200827,20200630,587353254.08
003816.SZ,20200827,20200630,8982038234.65
002865.SZ,20200827,20200630,5701369.22
002238.SZ,20200827,20200630,96134804.98
