ts_code,ann_date,f_ann_date,end_date,n_cashflow_act,c_pay_acq_const_fiolta,comp_type,report_type,end_type
601012.SH,20190430,20190430,20181231,1173271527.53,3824073145.09,,,
000007.SZ,20190430,20190430,20181231,-6874171.3,910660.1,,,
603986.SH,20190430,20190430,20181231,619644515.93,297435025.03,,,
002842.SZ,20190430,20190430,20181231,233431312.55,351042926.14,,,
002637.SZ,20190430,20190430,20181231,563774728.72,160113566.28,,,
600177.SH,20190430,20190430,20181231,2721612786.83,718498618.88,,,
002279.SZ,20190430,20190430,20181231,442286465.26,69392124.12,,,
603661.SH,20190430,20190430,20181231,15506135.27,189331521.57,,,
000592.SZ,20190430,20190430,20181231,-639446759.51,146733794.17,,,
002452.SZ,20190430,20190430,20181231,-67728174.06,17012110.87,,,
002210.SZ,20190430,20190430,20181231,-4666716927.7,81485113.81,,,
000607.SZ,20190430,20190430,20181231,263810621.42,35915239.38,,,
603076.SH,20190430,20190430,20181231,73947.84,61273267.49,,,
600900.SH,20190430,20190430,20181231,39736666414.81,3118888618.75,,,
920953.BJ,20190430,20190430,20181231,18103619.47,1052822.71,,,
300123.SZ,20190430,20190430,20181231,-254765309.04,221918207.4,,,
000536.SZ,20190430,20190430,20181231,-1082559222.51,1982829254.5,,,
600255.SH,20190430,20190430,20181231,118873910.13,22536367.52,,,
002219.SZ,20190430,20190516,20181231,522565203.01,220413067.88,,,
920415.BJ,20190430,20200717,20181231,-1302133.66,3624567.0,,,
002065.SZ,20190430,20190430,20181231,351460807.64,116395517.11,,,
002118.SZ,20190430,20190430,20181231,-767432118.44,150231821.27,1,1,4
002018.SZ,20190430,20190430,20181231,-119263936.4,2156512.74,1,1,4
600783.SH,20190430,20190430,20181231,-131602947.35,11370219.11,,,
600487.SH,20190430,20190430,20181231,1853250917.16,3799669896.87,,,
002343.SZ,20190430,20190430,20181231,-101699978.57,4639761.76,,,
000587.SZ,20190430,20190430,20181231,-3038364555.9,4007590.27,1,1,4
000511.SZ,20190430,20190430,20181231,278663819.76,8981640.96,1,1,4
000413.SZ,20190430,20190430,20181231,388252004.52,5397726636.77,1,1,4
920195.BJ,20190430,20190430,20181231,26863889.58,11147098.55,,,
600645.SH,20190430,20190430,20181231,130081956.12,128133182.86,,,
002421.SZ,20190430,20190430,20181231,-190975018.52,463221849.92,,,
002931.SZ,20190430,20190430,20181231,24536758.18,46020516.18,,,
000564.SZ,20190430,20190430,20181231,3981434714.95,360381087.24,,,
600629.SH,20190430,20190430,20181231,338073328.56,88024798.28,,,
002432.SZ,20190430,20190430,20181231,-104174567.0,179693616.7,,,
300163.SZ,20190430,20190430,20181231,-57155522.57,22628780.2,,,
600191.SH,20190430,20190430,20181231,-43051684.89,,,,
002333.SZ,20190430,20190430,20181231,15152444.08,66743846.6,,,
002624.SZ,20190430,20190430,20181231,-129988896.12,140696707.84,,,
002445.SZ,20190430,20190430,20181231,149890550.37,26247896.67,,,
000850.SZ,20190430,20190430,20181231,-69654141.28,298742975.53,,,
300411.SZ,20190430,20190430,20181231,-198239959.29,41586118.85,,,
600319.SH,20190430,20190430,20181231,151397984.11,344354.45,,,
300135.SZ,20190430,20190430,20181231,196187581.14,38280869.66,,,
002122.SZ,20190430,20190430,20181231,-67360799.06,101921323.2,1,1,4
600004.SH,20190430,20190430,20181231,3119314301.61,1816217290.36,,,
600105.SH,20190430,20190430,20181231,-136165183.03,525703173.44,,,
002450.SZ,20190430,20210228,20181231,-3409483384.18,700161048.81,1,1,4
600199.SH,20190430,20190430,20181231,-184290361.92,62606777.42,,,
601258.SH,20190430,20190430,20181231,-12231901289.0,460486429.0,1,1,4
002716.SZ,20190430,20190430,20181231,-54227355.61,267939653.3,,,
600811.SH,20190430,20190430,20181231,229317243.13,314019573.67,1,1,4
600687.SH,20190430,20190430,20181231,-207296049.65,9594020.74,1,1,4
603308.SH,20190430,20190430,20181231,383803119.95,350763995.53,,,
600393.SH,20190430,20190430,20181231,930947506.47,92661456.6,1,1,4
000158.SZ,20190430,20190430,20181231,867710334.61,438320168.56,,,
600291.SH,20190430,20190430,20181231,-120026746138.89,1079376661.33,3,1,4
600594.SH,20190430,20190430,20181231,214297431.19,321327489.58,,,
002174.SZ,20190430,20190430,20181231,273338494.93,332537514.24,,,
600521.SH,20190430,20190430,20181231,67895840.39,1124500415.64,,,
600734.SH,20190430,20210918,20181231,-274146508.21,125049671.45,,,
600086.SH,20190430,20190430,20181231,-146911163.64,607061.0,1,1,4
600079.SH,20190430,20190430,20181231,602993621.21,1317685960.83,1,1,4
002304.SZ,20190430,20190430,20181231,9056748816.28,471045188.55,,,
002540.SZ,20190430,20190430,20181231,430707154.35,73439416.7,,,
300156.SZ,20190430,20190430,20181231,-381353184.7,951265.73,1,1,4
300147.SZ,20190430,20190430,20181231,91238235.4,495464449.38,1,1,4
002699.SZ,20190430,20190430,20181231,136570390.5,13704378.5,1,1,4
603198.SH,20190430,20190430,20181231,891788426.3,356243603.93,,,
002512.SZ,20190430,20190430,20181231,63871405.48,69144113.32,1,1,4
002509.SZ,20190430,20190430,20181231,-160329302.47,44511766.72,1,1,4
002185.SZ,20190430,20190430,20181231,1133031257.1,1635949638.49,,,
002755.SZ,20190430,20190430,20181231,497158803.95,95843458.57,,,
600108.SH,20190430,20190430,20181231,165550862.61,80756530.82,,,
002632.SZ,20190430,20190430,20181231,137023982.59,97378827.52,,,
920263.BJ,20190430,20200718,20181231,-1701775.08,6458442.58,,,
002527.SZ,20190430,20190430,20181231,38226255.09,165086119.15,,,
600613.SH,20190430,20190430,20181231,148525997.88,110245370.26,,,
600518.SH,20190430,20200618,20181231,305616727.44,4593296419.68,,,
600690.SH,20190430,20190430,20181231,18934252899.16,6757036466.58,,,
600250.SH,20190430,20190430,20181231,-72348250.76,1088689.26,,,
603908.SH,20190430,20190430,20181231,28262920.25,7625846.31,,,
601212.SH,20190430,20190430,20181231,3030955607.86,950865949.29,,,
002638.SZ,20190430,20190430,20181231,-141928237.18,73576342.77,,,
002399.SZ,20190429,20190429,20181231,667869389.74,535009430.66,,,
603131.SH,20190429,20190429,20181231,59974671.1,87228411.23,,,
002803.SZ,20190429,20190429,20181231,256986153.81,38704546.46,,,
002035.SZ,20190429,20190429,20181231,629242404.66,176413234.71,,,
603159.SH,20190429,20190429,20181231,55606852.67,58199759.53,,,
002001.SZ,20190429,20190429,20181231,3660322312.11,4914575975.73,,,
002120.SZ,20190429,20190429,20181231,3714468466.28,3469731936.52,,,
300478.SZ,20190429,20190429,20181231,-50804238.74,56662154.21,,,
002787.SZ,20190429,20190429,20181231,37203335.79,128323091.43,,,
002451.SZ,20190429,20190429,20181231,64592885.29,4960040.99,,,
603776.SH,20190429,20190429,20181231,296879428.76,284059274.9,,,
000890.SZ,20190429,20190429,20181231,1306697847.27,16654045.5,,,
002950.SZ,20190429,20190429,20181231,3008664.38,287071567.52,,,
600739.SH,20190429,20190429,20181231,485979117.45,500324936.62,,,
600052.SH,20190429,20190429,20181231,162781446.5,3328902.3,,,
600260.SH,20190429,20190429,20181231,1637067698.71,77909617.48,1,1,4
603937.SH,20190429,20190429,20181231,43732811.31,90916390.99,,,
002411.SZ,20190429,20190429,20181231,403220829.94,1711896453.22,1,1,4
002802.SZ,20190429,20190429,20181231,51035702.35,26465596.67,,,
000410.SZ,20190429,20190429,20181231,-56913955.87,82480125.09,,,
603609.SH,20190429,20190429,20181231,501404915.59,427473918.37,,,
300677.SZ,20190429,20190429,20181231,185778014.7,308552702.69,,,
002823.SZ,20190429,20190429,20181231,257395638.09,608951533.09,,,
600522.SH,20190429,20190429,20181231,2381279014.89,2797687300.87,,,
600480.SH,20190429,20190429,20181231,342998381.03,739391309.69,,,
002730.SZ,20190429,20190429,20181231,41371119.95,36859784.53,,,
002681.SZ,20190429,20190429,20181231,586753289.92,567007174.68,,,
603633.SH,20190429,20190429,20181231,76986028.96,191388202.21,,,
000035.SZ,20190429,20190429,20181231,209786562.05,603897930.86,,,
000939.SZ,20190429,20190429,20181231,-329394155.37,384689945.37,1,1,4
002517.SZ,20190429,20190429,20181231,896256737.67,45630946.13,,,
002811.SZ,20190429,20190429,20181231,-23924646.71,28268739.95,,,
000901.SZ,20190429,20190429,20181231,323042835.49,390060528.11,,,
002292.SZ,20190429,20190429,20181231,73285213.18,66749671.71,,,
000796.SZ,20190429,20190429,20181231,226148422.27,62027863.46,,,
002542.SZ,20190429,20190429,20181231,114992664.95,307754956.78,,,
600201.SH,20190429,20190429,20181231,422460842.44,545467029.17,,,
002591.SZ,20190429,20190429,20181231,-37199645.26,10483163.73,,,
600117.SH,20190429,20190429,20181231,-236001495.14,29521250.05,,,
002005.SZ,20190429,20191118,20181231,995428496.59,576961098.41,1,1,4
002196.SZ,20190429,20190429,20181231,38904937.47,148500237.42,,,
002629.SZ,20190429,20190429,20181231,1262925.39,1934736.89,,,
600406.SH,20190429,20190429,20181231,3208251553.77,1713957108.62,,,
002276.SZ,20190429,20190429,20181231,638571286.93,278795236.69,,,
002929.SZ,20190429,20190429,20181231,170930253.78,20636277.76,,,
000861.SZ,20190429,20190429,20181231,509689536.82,670879809.84,1,1,4
603009.SH,20190429,20190429,20181231,93141334.42,301918826.2,,,
002387.SZ,20190429,20190429,20181231,876171160.96,13725995452.64,,,
000651.SZ,20190429,20190429,20181231,26940791542.98,3837549166.56,,,
603358.SH,20190429,20190429,20181231,282658561.7,294179456.44,,,
000599.SZ,20190429,20190429,20181231,-229026018.01,357090703.33,,,
000669.SZ,20190429,20190429,20181231,920555870.82,607675541.75,1,1,4
000627.SZ,20190429,20190429,20181231,14981339569.6,274670559.96,1,1,4
