ts_code,ann_date,end_date,total_liab,money_cap,total_assets
603127.SH,20231031,20230930,1992522648.68,2904297343.53,10232670064.53
600637.SH,20231031,20230930,9524232558.64,7112918031.95,43940561670.45
600580.SH,20231031,20230930,14373706657.44,2881684925.54,25506523612.8
002161.SZ,20231031,20230930,1198596474.4,228666901.73,2679505241.3
002555.SZ,20231031,20230930,6275943726.61,6741946656.73,18720368965.64
601319.SH,20231031,20230930,1181027000000.0,19922000000.0,1506727000000.0
600867.SH,20231031,20230930,369161765.59,662331704.31,7203786663.44
000951.SZ,20231031,20230930,23995241571.1,15725783072.81,39192831413.43
000921.SZ,20231031,20230930,45918396347.33,4281183816.16,64442317561.8
000034.SZ,20231031,20230930,28518186244.74,2969809268.33,37374021470.99
002551.SZ,20231031,20230930,1237879023.06,655096782.65,4177485525.85
601877.SH,20231031,20230930,69338724137.64,9012594780.21,115100289782.9
600928.SH,20231031,20230930,395844146000.0,,426319020000.0
002938.SZ,20231031,20230930,13018387985.83,8511485173.33,41360760969.04
600737.SH,20231031,20230930,14649763085.52,4158050433.69,25977471629.69
600007.SH,20231031,20230930,3262197361.0,3792525953.0,12708851138.0
601228.SH,20231031,20230930,25156062547.45,7683341458.28,48500136955.68
002120.SZ,20231031,20230930,19055034187.69,3306779716.85,37544879157.39
688017.SH,20231031,20230930,772373283.13,1104128698.96,2771550399.74
600155.SH,20231031,20230930,30540156737.08,7238493736.81,50246174641.19
600118.SH,20231031,20230930,6614021993.59,2788536318.34,14896452453.77
600018.SH,20231031,20230930,61687388462.05,29156596467.21,194019584401.18
601611.SH,20231031,20230930,177120258203.85,15196728747.14,215409334710.52
600875.SH,20231031,20230930,86700356047.02,17552054408.81,127406215442.5
600373.SH,20231031,20230930,14039275026.62,13128766936.57,31986695680.37
688318.SH,20231031,20230930,188534617.08,592736168.26,3509489716.2
601919.SH,20231031,20230930,228457432907.56,198955638006.15,480145495761.23
689009.SH,20231031,20230930,5449535035.81,5117202092.4,10813706956.69
002701.SZ,20231031,20230930,8160035026.0,1521537276.0,16985928765.0
002081.SZ,20231031,20230930,23905944935.38,5031414494.71,37335885278.86
002563.SZ,20231031,20230930,6251465670.81,7260857876.76,17458863359.75
000155.SZ,20231031,20230930,11650922693.57,3707815957.88,21307744850.79
600295.SH,20231031,20230930,23121417296.31,5916718124.38,49176695071.4
601138.SH,20231031,20230930,139095032000.0,79826634000.0,272344998000.0
688185.SH,20231031,20230930,3812394223.51,3221172324.19,9610642425.3
000685.SZ,20231031,20230930,10878985371.71,2123684485.06,27404182619.08
688289.SH,20231031,20230930,878680935.43,3462324654.57,8307763727.79
601688.SH,20231031,20230930,692885037645.66,140645965049.46,868055921602.09
601169.SH,20231031,20230930,3347933000000.0,,3672418000000.0
000568.SZ,20231031,20230930,22584318041.39,26766954814.33,61405540815.15
600329.SH,20231031,20230930,3764451442.28,2019892765.61,10281701203.62
601012.SH,20231031,20230930,92721609622.61,56755481867.66,164536007079.33
002352.SZ,20231031,20230930,121365478000.0,37775998000.0,222415935000.0
000681.SZ,20231031,20230930,696503792.16,402126504.46,4234156526.08
600528.SH,20231031,20230930,28693742289.98,5965518204.69,54291531436.83
600623.SH,20231031,20230930,36055878759.78,14867111976.87,62477139920.39
600959.SH,20231031,20230930,14170502822.25,4571706237.82,37197793387.91
002251.SZ,20231031,20230930,20230604486.81,529419224.28,24647238279.45
000012.SZ,20231031,20230930,14432102020.0,2614449508.0,28880915246.0
002375.SZ,20231031,20230930,14072040696.9,2000240891.97,22258084122.84
000785.SZ,20231031,20230930,32902828395.4,2867219337.32,53596198217.41
600150.SH,20231031,20230930,130235938212.85,65587592495.11,182479720998.75
002345.SZ,20231031,20230930,1973108311.72,784477017.85,5733905930.99
002142.SZ,20231031,20230930,2473941000000.0,,2670228000000.0
002428.SZ,20231031,20230930,1052564413.83,143096599.23,2539337023.48
002867.SZ,20231031,20230930,1893873738.88,823153903.37,8058461553.14
000898.SZ,20231031,20230930,39905000000.0,4113000000.0,96639000000.0
600884.SH,20231031,20230930,24990940626.64,4632410801.71,49205441741.07
601211.SH,20231031,20230930,707033315499.0,160352444667.0,879323733868.0
603883.SH,20231031,20230930,14072910973.0,1950604867.0,21325004356.0
601390.SH,20231031,20230930,1290488426000.0,194139541000.0,1739147898000.0
000425.SZ,20231031,20230930,107051783172.44,21965317618.34,164084046263.9
600339.SH,20231031,20230930,80151733475.19,22657616418.46,106392058345.49
000625.SZ,20231031,20230930,112579439336.16,72191836944.65,186378350873.66
002153.SZ,20231031,20230930,1401131992.79,4487153672.5,9542241261.99
600031.SH,20231031,20230930,85367315000.0,19420304000.0,154307992000.0
000338.SZ,20231031,20230930,214933612425.73,82044365964.52,325221278958.0
603288.SH,20231031,20230930,6830723958.16,17657875745.64,34810385955.47
002399.SZ,20231031,20230930,7621518381.46,1791292771.63,20120561011.47
601857.SH,20231031,20230930,1184359000000.0,276590000000.0,2782085000000.0
000680.SZ,20231031,20230930,7055296328.46,2682115503.49,12638819515.72
000725.SZ,20231031,20230930,221272179733.0,66135392324.0,415655512105.0
600004.SH,20231031,20230930,9079183690.29,2438325068.17,26765302213.71
600739.SH,20231031,20230930,14492927165.68,4712814152.52,46749782257.18
000709.SZ,20231031,20230930,186829629765.91,36319188233.95,256909375510.41
601816.SH,20231031,20230930,76910607970.14,10568858286.34,292434950080.17
000592.SZ,20231031,20230930,1791122143.35,204338281.05,4095690239.5
003031.SZ,20231031,20230930,1513647853.24,1468053371.12,4818678134.04
601818.SH,20231031,20230930,6284532000000.0,,6834936000000.0
000651.SZ,20231031,20230930,269040538306.53,181989340566.93,385937436431.4
000088.SZ,20231031,20230930,5550864176.69,3087372389.34,16884239008.31
000488.SZ,20231031,20230930,58258500667.28,12308496881.61,79826170457.29
000501.SZ,20231031,20230930,21234592411.79,3417887265.27,32142241167.39
000511.SZ,20231031,20230930,2562032342.09,70699590.69,1946259209.79
002594.SZ,20231031,20230930,482216639000.0,55759753000.0,623283496000.0
603379.SH,20231031,20230930,718486980.69,3426448441.44,6569712276.4
601166.SH,20231031,20230930,9128634000000.0,,9923294000000.0
600030.SH,20231031,20230930,1145161521036.96,287094915618.51,1412821215130.52
000333.SZ,20231031,20230930,296757722000.0,68099578000.0,465019979000.0
600900.SH,20231031,20230930,370669994082.15,7762267042.93,578872092340.74
