trade_date,adj_close
20210818,8.721639999999999
20210817,8.89843
20210816,8.48592
20210813,8.48592
20210812,8.48592
20210811,8.42699
20210810,8.48592
20210809,8.30913
20210806,8.19127
20210805,8.36806
20210804,8.42699
20210803,8.42699
20210802,8.2502
20210730,8.2502
20210729,8.48592
20210728,8.42699
20210727,8.8395
20210726,8.89843
20210723,9.19308
20210722,9.4288
20210721,9.36987
20210720,9.36987
20210719,9.13415
20210716,9.13415
20210715,9.13415
20210714,9.36987
20210713,9.60559
20210712,9.546660000000001
20210709,9.07522
20210708,8.95736
20210707,9.25201
20210706,9.19308
20210705,9.19308
20210702,9.07522
20210701,8.89843
20210630,9.31094
20210629,9.72345
20210628,9.72345
20210625,10.077029999999999
20210624,9.90024
20210623,9.72345
20210622,9.78238
20210621,9.31094
20210618,9.31094
20210617,9.25201
20210616,9.546660000000001
20210615,9.60559
20210611,10.135959999999999
20210610,10.25382
20210609,9.78238
20210608,10.077029999999999
20210607,9.60559
20210604,9.78238
20210603,9.78238
20210602,9.66452
20210601,9.78238
20210531,10.31275
20210528,10.37168
20210527,10.25382
20210526,9.78238
20210525,9.31094
20210524,8.8395
20210521,8.42699
20210520,8.36806
20210519,8.603779999999999
20210518,8.19127
20210517,7.77876
20210514,8.19127
20210512,7.83769
20210511,7.955550000000001
20210510,7.71983
20210507,7.36625
20210506,7.130529999999999
20210430,7.30732
20210429,7.36625
20210428,7.012669999999999
20210427,6.776949999999999
20210426,7.130529999999999
20210423,7.071599999999999
20210422,7.071599999999999
20210421,7.130529999999999
20210420,7.24839
20210419,7.48411
20210416,7.42518
20210415,7.1894599999999995
20210414,7.30732
20210413,7.36625
20210412,7.48411
20210409,7.24839
20210408,7.36625
20210407,7.48411
20210406,7.30732
20210402,6.95374
20210401,6.89481
20210331,6.776949999999999
20210330,6.776949999999999
20210329,6.8358799999999995
20210326,6.8358799999999995
20210325,6.95374
20210324,7.071599999999999
20210323,7.071599999999999
20210322,6.89481
20210319,6.95374
20210318,7.071599999999999
20210317,6.8358799999999995
20210316,6.8358799999999995
20210315,6.718019999999999
20210312,6.659089999999999
20210311,6.600160000000001
20210310,6.5412300000000005
20210309,6.600160000000001
20210308,6.95374
20210305,7.1894599999999995
20210304,7.1894599999999995
20210303,6.95374
20210302,6.659089999999999
20210301,6.89481
20210226,6.600160000000001
20210225,6.659089999999999
20210224,6.659089999999999
20210223,6.36444
20210222,6.06979
20210219,6.06979
20210218,5.893
20210210,5.716209999999999
20210209,5.657279999999999
20210208,5.657279999999999
20210205,5.59835
20210204,5.657279999999999
20210203,5.59835
20210202,5.53942
20210201,5.59835
20210129,5.893
20210128,5.83407
20210127,5.53942
20210126,5.53942
20210125,5.53942
20210122,5.716209999999999
20210121,5.83407
20210120,6.01086
20210119,6.06979
20210118,6.06979
20210115,5.893
20210114,5.59835
20210113,5.4804900000000005
20210112,5.53942
20210111,5.36263
20210108,5.59835
20210107,5.893
20210106,6.187335
20210105,6.246262
20210104,6.364116
20201231,6.305189
20201230,6.423043
20201229,6.423043
20201228,6.599824
20201225,6.599824
20201224,6.364116
20201223,6.4819700000000005
20201222,6.246262
20201221,6.305189
20201218,6.4819700000000005
20201217,6.364116
20201216,6.246262
20201215,6.4819700000000005
20201214,6.187335
20201211,6.423043
20201210,6.776604999999999
20201209,6.776604999999999
20201208,6.835531999999999
20201207,6.776604999999999
20201204,6.8944589999999994
20201203,7.0712399999999995
20201202,7.012312999999999
20201201,6.953385999999999
20201130,6.953385999999999
20201127,7.012312999999999
20201126,7.189093999999999
20201125,7.189093999999999
20201124,7.542656
20201123,7.542656
20201120,7.837291
20201119,7.483728999999999
20201118,7.365874999999999
20201117,7.012312999999999
20201116,6.776604999999999
20201113,6.835531999999999
20201112,6.953385999999999
20201111,6.599824
20201110,6.540897
20201109,6.364116
20201106,6.246262
20201105,6.305189
20201104,6.246262
20201103,6.187335
20201102,6.364116
20201030,6.717677999999999
20201029,6.658750999999999
20201028,6.717677999999999
20201027,6.8944589999999994
20201026,6.599824
20201023,6.717677999999999
20201022,6.835531999999999
20201021,6.953385999999999
