trade_date,adj_close,adj_factor,ts_code,close
20210414,54.2892,1.0,,
20210415,54.54772,1.0,,
20210416,55.06476,1.0,,
20210419,55.32328,1.0,,
20210420,55.06476,1.0,,
20210421,54.41846,1.0,,
20210422,54.41846,1.0,,
20210423,54.2892,1.0,,
20210426,54.03068,1.0,,
20210427,54.2892,1.0,,
20210428,54.9355,1.0,,
20210429,55.32328,1.0,,
20210430,54.67698000000001,1.0,,
20210506,55.45254,1.0,,
20210507,55.5818,1.0,,
20210510,55.32328,1.0,,
20210511,55.71106,1.0,,
20210512,55.71106,1.0,,
20210513,55.45254,1.0,,
20210514,56.48662,1.0,,
20210517,56.09884,1.0,,
20210518,56.2281,1.0,,
20210519,55.840320000000006,1.0,,
20210520,55.45254,1.0,,
20210521,55.45254,1.0,,
20210524,55.32328,1.0,,
20210525,55.96958,1.0,,
20210526,56.48662,1.0,,
20210527,56.61588,1.0,,
20210528,56.48662,1.0,,
20210531,55.840320000000006,1.0,,
20210601,55.840320000000006,1.0,,
20210602,56.2281,1.0,,
20210603,56.2281,1.0,,
20210604,55.5818,1.0,,
20210607,55.840320000000006,1.0,,
20210608,55.840320000000006,1.0,,
20210609,56.48662,1.0,,
20210610,55.96958,1.0,,
20210611,55.840320000000006,1.0,,
20210615,54.9355,1.0,,
20210616,54.54772,1.0,,
20210617,54.2892,1.0,,
20210618,54.03068,1.0,,
20210621,54.159940000000006,1.0,,
20210622,54.54772,1.0,,
20210623,54.67698000000001,1.0,,
20210624,54.67698000000001,1.0,,
20210625,54.81072,1.0,,
20210628,55.21374,1.0,,
20210629,54.94506,1.0,,
20210630,54.94506,1.0,,
20210701,55.61675999999999,1.0,,
20210702,55.07939999999999,1.0,,
20210705,55.21374,1.0,,
20210706,55.48242,1.0,,
20210707,55.34808,1.0,,
20210708,54.81072,1.0,,
20210709,55.21374,1.0,,
20210712,55.34808,1.0,,
20210713,55.34808,1.0,,
20210714,55.07939999999999,1.0,,
20210715,54.81072,1.0,,
20210716,55.07939999999999,1.0,,
20210719,55.61675999999999,1.0,,
20210720,55.21374,1.0,,
20210721,55.48242,1.0,,
20210722,55.61675999999999,1.0,,
20210723,55.88544,1.0,,
20210726,55.34808,1.0,,
20210727,54.13902,1.0,,
20210728,53.33298,1.0,,
20210729,53.467319999999994,1.0,,
20210730,53.0643,1.0,,
20210802,53.33298,1.0,,
20210803,53.19864,1.0,,
20210804,52.929959999999994,1.0,,
20210805,53.19864,1.0,,
20210806,52.929959999999994,1.0,,
20210809,53.60166,1.0,,
20210810,53.736,1.0,,
20210811,53.736,1.0,,
20210812,53.736,1.0,,
20210813,53.736,1.0,,
20210816,53.87033999999999,1.0,,
20210817,53.60166,1.0,,
20210818,54.00467999999999,1.0,,
20210819,53.736,1.0,,
20210820,53.87033999999999,1.0,,
20210823,53.87033999999999,1.0,,
20210824,54.40769999999999,1.0,,
20210825,55.21374,1.0,,
20210826,55.61675999999999,1.0,,
20210827,55.7511,1.0,,
20210830,55.34808,1.0,,
20210831,55.88544,1.0,,
20210901,56.55714,1.0,,
20210902,56.82582,1.0,,
20210903,56.69147999999999,1.0,,
20210906,56.82582,1.0,,
20210907,57.36317999999999,1.0,,
20210908,58.706579999999995,1.0,,
20210909,59.1096,1.0,,
20210910,58.84092,1.0,,
20210913,60.72167999999999,1.0,,
20210914,58.706579999999995,1.0,,
20210915,59.1096,1.0,,
20210916,59.24394,1.0,,
20210917,58.30356,1.0,,
20210922,59.7813,1.0,,
20210923,61.66206,1.0,,
20210924,60.72167999999999,1.0,,
20210927,58.03488,1.0,,
20210928,58.57224,1.0,,
20210929,57.36317999999999,1.0,,
20210930,57.90053999999999,1.0,,
20211008,58.84092,1.0,,
20211011,58.84092,1.0,,
20211012,57.49752,1.0,,
20211013,57.90053999999999,1.0,,
20211014,60.72167999999999,1.0,,
20211015,59.24394,1.0,,
20211018,60.04997999999999,1.0,,
20211019,59.51261999999999,1.0,,
20211020,58.57224,1.0,,
20211021,58.43789999999999,1.0,,
20211022,57.22883999999999,1.0,,
20211025,57.49752,1.0,,
20211026,56.96016,1.0,,
20211027,55.61675999999999,1.0,,
20211028,55.48242,1.0,,
20211029,53.87033999999999,1.0,,
20211101,54.00467999999999,1.0,,
20211102,52.79562,1.0,,
20211103,53.0643,1.0,,
20211104,54.00467999999999,1.0,,
20211105,53.87033999999999,1.0,,
20211108,53.736,1.0,,
20211109,53.87033999999999,1.0,,
20211110,53.60166,1.0,,
20211111,54.13902,1.0,,
20211112,54.27336,1.0,,
20211115,54.40769999999999,1.0,,
20211116,54.13902,1.0,,
20211117,53.87033999999999,1.0,,
20211118,54.00467999999999,1.0,,
20211119,54.13902,1.0,,
20211122,54.13902,1.0,,
20211123,54.40769999999999,1.0,,
20211124,54.67638,1.0,,
20211125,54.54203999999999,1.0,,
20211126,54.40769999999999,1.0,,
20211129,53.736,1.0,,
20211130,53.87033999999999,1.0,,
20211201,54.54203999999999,1.0,,
20211202,54.27336,1.0,,
20211203,54.81072,1.0,,
20211206,54.94506,1.0,,
20211207,55.07939999999999,1.0,,
20211208,55.07939999999999,1.0,,
20211209,55.48242,1.0,,
20211210,55.07939999999999,1.0,,
20211213,54.94506,1.0,,
20211214,54.81072,1.0,,
20211215,55.34808,1.0,,
20211216,56.01978,1.0,,
20211217,55.88544,1.0,,
20211220,55.88544,1.0,,
20211221,56.82582,1.0,,
20211222,56.69147999999999,1.0,,
20211223,56.15411999999999,1.0,,
20211224,56.01978,1.0,,
20211227,56.4228,1.0,,
20211228,56.15411999999999,1.0,,
20211229,56.15411999999999,1.0,,
20211230,56.69147999999999,1.0,,
20211231,56.69147999999999,1.0,,
20220104,57.49752,1.0,,
20220105,57.36317999999999,1.0,,
20220106,57.7662,1.0,,
20220107,57.90053999999999,1.0,,
20220110,57.90053999999999,1.0,,
20220111,57.90053999999999,1.0,,
20220112,57.49752,1.0,,
20220113,57.7662,1.0,,
20220114,56.15411999999999,1.0,,
20220117,56.4228,1.0,,
20220118,56.55714,1.0,,
20220119,57.0945,1.0,,
20220120,56.69147999999999,1.0,,
20220121,55.88544,1.0,,
20220124,55.7511,1.0,,
20220125,54.27336,1.0,,
20220126,54.27336,1.0,,
20220127,54.00467999999999,1.0,,
20220128,54.27336,1.0,,
20220207,56.15411999999999,1.0,,
20220208,58.03488,1.0,,
20220209,57.90053999999999,1.0,,
20220210,58.16922,1.0,,
20220211,57.63186,1.0,,
20220214,57.22883999999999,1.0,,
20220215,56.96016,1.0,,
20220216,57.90053999999999,1.0,,
20220217,57.36317999999999,1.0,,
20220218,58.43789999999999,1.0,,
20220221,58.30356,1.0,,
20220222,58.03488,1.0,,
20220223,57.90053999999999,1.0,,
20220224,56.15411999999999,1.0,,
20220225,56.69147999999999,1.0,,
20220228,56.55714,1.0,,
20220301,57.7662,1.0,,
20220302,57.90053999999999,1.0,,
20220303,58.84092,1.0,,
20220304,58.30356,1.0,,
20220307,57.63186,1.0,,
20220308,56.28846,1.0,,
20220309,54.94506,1.0,,
20220310,57.22883999999999,1.0,,
20220311,57.0945,1.0,,
20220314,56.01978,1.0,,
20220315,52.79562,1.0,,
20220316,54.27336,1.0,,
20220317,54.00467999999999,1.0,,
20220318,54.94506,1.0,,
20220321,54.81072,1.0,,
20220322,55.88544,1.0,,
20220323,55.7511,1.0,,
20220324,55.07939999999999,1.0,,
20220325,55.48242,1.0,,
20220328,56.28846,1.0,,
20220329,55.88544,1.0,,
20220330,56.28846,1.0,,
20220331,57.0945,1.0,,
20220401,57.49752,1.0,,
20220406,58.30356,1.0,,
20220407,56.96016,1.0,,
20220408,60.31866,1.0,,
20220411,63.00546,1.0,,
20220412,61.527719999999995,1.0,,
20220413,58.84092,1.0,,
20220414,59.51261999999999,1.0,,
20220415,58.43789999999999,1.0,,
20220418,58.43789999999999,1.0,,
20220419,59.37828,1.0,,
20220420,58.43789999999999,1.0,,
20220421,56.69147999999999,1.0,,
20220422,57.63186,1.0,,
20220425,54.13902,1.0,,
20220426,53.60166,1.0,,
20220427,54.94506,1.0,,
20220428,53.87033999999999,1.0,,
20220429,54.67638,1.0,,
20220505,55.34808,1.0,,
20220506,53.467319999999994,1.0,,
20220509,54.13902,1.0,,
20220510,54.40769999999999,1.0,,
20220511,53.87033999999999,1.0,,
20220512,54.67638,1.0,,
20220513,58.706579999999995,1.0,,
20220516,60.04997999999999,1.0,,
20220517,59.51261999999999,1.0,,
20220518,59.1096,1.0,,
20220519,58.03488,1.0,,
20220520,58.30356,1.0,,
20220523,58.57224,1.0,,
20220524,56.28846,1.0,,
20220525,59.91564,1.0,,
20220526,60.18432,1.0,,
20220527,60.990359999999995,1.0,,
20220530,61.39338,1.0,,
20220531,60.58733999999999,1.0,,
20220601,60.31866,1.0,,
20220602,59.51261999999999,1.0,,
20220606,59.1096,1.0,,
20220607,58.97525999999999,1.0,,
20220608,58.97525999999999,1.0,,
20220609,59.1096,1.0,,
20220610,58.97525999999999,1.0,,
20220613,58.16922,1.0,,
20220614,58.84092,1.0,,
20220615,59.64696,1.0,,
20220616,59.91564,1.0,,
20220617,60.18432,1.0,,
20220620,59.7813,1.0,,
20220621,59.1096,1.0,,
