trade_date,adj_close,adj_factor,ts_code,close
20160719,48.414089999999995,1.0,,
20160720,48.39786,1.0,,
20160721,48.80361,1.0,,
20160722,48.12195,1.0,,
20160725,48.31671,1.0,,
20160726,48.83607,1.0,,
20160727,48.25179,1.0,,
20160728,49.59888,1.0,,
20160729,48.94968,1.0,,
20160801,47.44029,1.0,,
20160802,47.52144,1.0,,
20160803,47.488980000000005,1.0,,
20160804,47.829809999999995,1.0,,
20160805,48.154410000000006,1.0,,
20160808,48.2031,1.0,,
20160809,48.38163,1.0,,
20160810,48.13818,1.0,,
20160811,47.862269999999995,1.0,,
20160812,48.34917,1.0,,
20160815,49.22559,1.0,,
20160816,49.03083,1.0,,
20160817,49.27428,1.0,,
20160818,48.98214,1.0,,
20160819,48.56016,1.0,,
20160822,48.18687,1.0,,
20160823,48.38163,1.0,,
20160824,48.18687,1.0,,
20160825,48.2031,1.0,,
20160826,48.08949,1.0,,
20160829,48.2031,1.0,,
20160830,48.25179,1.0,,
20160831,48.12195,1.0,,
20160901,48.05703,1.0,,
20160902,47.81358,1.0,,
20160905,48.47901,1.0,,
20160906,49.90725,1.0,,
20160907,49.923480000000005,1.0,,
20160908,50.23185,1.0,,
20160909,49.89102,1.0,,
20160912,49.42035,1.0,,
20160913,50.65383,1.0,,
20160914,50.36169,1.0,,
20160919,51.70878,1.0,,
20160920,52.60142999999999,1.0,,
20160921,52.30929,1.0,,
20160922,52.17945,1.0,,
20160923,51.70878,1.0,,
20160926,51.62763,1.0,,
20160927,51.18942,1.0,,
20160928,52.04961,1.0,,
20160929,51.514019999999995,1.0,,
20160930,51.62763,1.0,,
20161010,52.19568,1.0,,
20161011,52.35798,1.0,,
20161012,52.34175,1.0,,
20161013,52.84488,1.0,,
20161014,52.60142999999999,1.0,,
20161017,51.35172,1.0,,
20161018,51.67632,1.0,,
20161019,52.27683,1.0,,
20161020,51.64386,1.0,,
20161021,51.27057,1.0,,
20161024,51.46533,1.0,,
20161025,51.41664,1.0,,
20161026,51.43287,1.0,,
20161027,50.6376,1.0,,
20161028,50.41038,1.0,,
20161031,50.54022,1.0,,
20161101,51.15696,1.0,,
20161102,50.86482,1.0,,
20161103,51.31926,1.0,,
20161104,51.38418,1.0,,
20161107,51.02712,1.0,,
20161108,51.07581,1.0,,
20161109,51.01089,1.0,,
20161110,51.23811,1.0,,
20161111,50.71875,1.0,,
20161114,50.54022,1.0,,
20161115,50.45907,1.0,,
20161116,50.45907,1.0,,
20161117,49.9884,1.0,,
20161118,50.05332,1.0,,
20161121,50.296769999999995,1.0,,
20161122,50.16693,1.0,,
20161123,50.52399,1.0,,
20161124,50.4753,1.0,,
20161125,50.4753,1.0,,
20161128,50.76744,1.0,,
20161129,50.81613,1.0,,
20161130,50.11824,1.0,,
20161201,50.89728,1.0,,
20161202,50.32923,1.0,,
20161205,50.41038,1.0,,
20161206,50.52399,1.0,,
20161207,50.13447,1.0,,
20161208,49.72872,1.0,,
